frame	PSR
2	1.81441
3	1.72611
4	1.61061
5	1.4596
6	1.56228
7	1.71147
8	1.43817
9	1.68418
10	1.81152
11	1.36188
12	1.5821
13	1.65999
14	1.58952
15	1.77641
16	1.6836
17	1.54102
18	1.55413
19	1.55897
20	1.57748
21	1.66029
22	1.51936
23	1.60267
24	1.63971
25	1.42644
26	1.56531
27	1.44837
28	1.71631
29	1.58929
30	1.32437
31	1.83838
32	1.66737
33	1.77298
34	1.68078
35	1.6775
36	1.33769
37	1.49174
38	1.46647
39	1.44604
40	1.72405
41	1.36113
42	1.78856
43	1.67678
44	1.68173
45	1.52661
46	1.74098
47	1.47101
48	1.60704
49	1.41244
50	1.68525
51	1.90455
52	1.20912
53	1.74675
54	1.60748
55	1.32949
56	1.42052
57	1.57478
58	1.86387
59	1.8193
60	1.53627
61	1.62236
62	1.78205
63	1.80429
64	1.45105
65	1.4231
66	1.87504
67	1.68314
68	1.84882
69	1.56604
70	1.75816
71	1.48073
72	1.76443
73	1.55749
74	2.03011
75	1.5127
76	1.65141
77	1.3323
78	1.38874
79	1.57117
80	1.49207
81	1.50435
82	1.45249
83	1.78337
84	1.70088
85	1.89497
86	1.47376
87	1.25053
88	1.52401
89	1.32636
90	1.26346
91	1.34339
92	1.66719
93	1.23347
94	1.65465
95	1.94581
96	1.76629
97	1.69679
98	1.29539
99	1.54137
100	1.62078
101	1.67492
102	1.22339
103	1.51134
104	1.38276
105	1.53294
106	1.60469
107	1.83797
108	1.67454
109	1.85527
110	1.62194
111	1.80611
112	1.41391
113	1.63049
114	1.75893
115	1.48974
116	1.96752
117	1.70558
118	1.85387
119	1.19809
120	1.94791
121	1.41726
122	1.8521
123	1.28315
124	1.5679
125	1.49174
126	1.52981
127	1.22652
128	1.57822
129	1.60667
130	1.80359
131	1.62002
132	1.56539
133	1.65245
134	1.70236
135	1.51678
136	1.75873
137	1.41451
138	1.76385
139	1.36478
140	1.20658
141	1.67402
142	1.7321
143	1.52489
144	1.58305
145	1.69659
146	1.80703
147	1.70981
148	1.41375
149	1.69039
150	1.74776
151	1.61339
152	1.58213
153	1.36777
154	1.46194
155	1.4416
156	1.60808
157	1.59836
158	1.40756
159	1.51863
160	1.4213
161	1.86711
162	1.20134
163	1.42279
164	1.63648
165	1.51324
166	1.49039
167	1.50112
168	1.37091
169	1.69165
170	1.33852
171	1.42006
172	1.78137
173	1.72266
174	1.57323
175	1.75135
176	1.30457
177	1.64774
178	1.3792
179	1.5743
180	1.39323
181	1.56446
182	1.45067
183	1.35069
184	1.867
185	1.6034
186	1.27373
187	1.57527
188	1.36793
189	1.68912
190	1.53911
191	1.68661
192	1.87315
193	1.30049
194	1.30169
195	1.46035
