frame	ave_fps
2	17.3684
3	21.7177
4	25.3795
5	28.3346
6	30.169
7	32.2446
8	33.2703
9	33.8673
10	34.3553
11	35.5722
12	37.7936
13	39.8493
14	41.7704
15	43.6483
16	45.2001
17	46.6215
18	48.1906
19	49.6593
20	50.6248
21	51.827
22	52.3468
23	52.847
24	53.8937
25	54.9717
26	55.9649
27	57.0074
28	57.8804
29	58.724
30	59.2793
31	59.804
32	60.1924
33	60.649
34	60.993
35	61.5984
36	62.1308
37	60.816
38	59.959
39	58.9953
40	58.7226
41	57.5483
42	56.8385
43	56.3471
44	55.6147
45	55.438
46	55.2925
47	54.8694
48	54.4384
49	53.9972
50	53.4092
51	52.8879
52	52.5132
53	52.2811
54	51.9719
55	51.832
56	51.3656
57	50.9744
58	50.4369
59	50.114
60	49.8421
61	49.4129
62	48.7883
63	48.7344
64	48.2864
65	48.032
66	47.575
67	47.7375
68	48.0457
69	48.3258
70	48.3543
71	48.6257
72	48.8912
73	49.1532
74	49.3751
75	49.4092
76	49.605
77	49.7812
78	49.9806
79	49.9519
80	49.9833
81	50.1562
82	50.4615
83	50.7698
84	51.0735
85	51.3146
86	51.5935
87	51.8894
88	52.1951
89	52.4932
90	52.8077
91	53.108
92	53.395
93	53.6995
94	53.9556
95	54.2151
96	54.4951
97	54.7846
98	55.0525
99	55.3212
100	55.5768
101	55.8255
102	56.1096
103	56.329
104	56.583
105	56.8512
106	57.1027
107	57.3577
108	57.6117
109	57.8456
110	58.1143
111	58.3613
112	58.499
113	58.6944
114	58.8966
115	59.1085
116	59.3255
117	59.5326
118	59.7391
119	59.9585
120	60.1959
121	60.3948
122	60.5482
123	60.6081
124	60.796
125	60.916
126	61.0944
127	61.2475
128	61.3377
129	61.2588
130	61.4237
131	61.5886
132	61.6915
133	61.6894
134	61.7522
135	61.8533
136	61.9874
137	62.1513
138	62.2502
139	62.391
140	62.5474
141	62.7221
142	62.8932
143	63.0418
144	63.1835
145	63.3639
146	63.4964
147	63.6505
148	63.8142
149	63.9364
150	64.0567
151	64.1622
152	64.3028
153	64.4121
154	64.4811
155	64.6014
156	64.7122
157	64.8598
158	64.9017
159	64.911
160	64.9173
161	64.8912
162	64.9483
163	65.0159
164	65.1159
165	65.219
166	65.2932
167	65.0288
168	64.7351
169	64.5164
170	64.2483
171	64.3691
172	64.4777
173	64.587
174	64.7002
175	64.8208
176	64.8594
177	64.9728
178	65.0918
179	65.2125
180	65.3168
181	65.448
182	65.5804
183	65.5779
184	65.5681
185	65.6725
186	65.7641
187	65.8475
188	65.9209
189	66.0325
190	66.1406
191	66.2641
192	66.347
193	66.4415
194	66.5217
195	66.6415
