frame	x	y	width	height
1	291	124	150	139
2	251	98	153	153
3	247	98	146	150
4	274	81	116	157
5	285	57	110	153
6	293	50	103	149
7	286	56	96	145
8	289	58	90	142
9	296	62	83	138
10	301	69	87	137
11	313	70	85	137
12	307	77	98	142
13	294	96	101	134
14	285	108	97	137
15	278	114	115	140
16	283	108	105	144
17	274	108	115	141
18	262	110	117	140
19	254	111	118	139
20	242	102	119	138
21	227	94	121	137
22	222	85	122	136
23	214	90	123	135
24	202	96	125	134
25	192	109	123	125
26	190	106	127	132
27	190	115	129	131
28	189	124	130	130
29	188	134	128	130
30	192	167	106	97
31	183	170	112	104
32	191	176	110	104
33	197	181	109	106
34	191	187	107	103
35	189	187	107	111
36	218	207	71	77
37	213	187	89	86
38	201	163	107	107
39	210	163	102	97
40	211	159	102	100
41	211	150	95	100
42	217	142	94	99
43	224	141	93	98
44	229	143	93	97
45	229	143	92	95
46	252	153	66	70
47	257	146	65	70
48	254	140	64	69
49	240	136	75	80
50	239	117	73	78
51	227	90	79	91
52	223	90	77	88
53	219	85	75	85
54	228	65	72	83
55	238	59	70	80
56	234	65	68	78
57	226	71	66	75
58	235	68	63	73
59	238	78	61	70
60	234	101	59	68
61	233	114	57	65
62	232	125	55	63
63	229	134	56	63
64	229	130	57	64
65	214	129	59	65
66	204	124	56	62
67	198	98	58	63
68	184	88	60	64
69	173	89	62	66
70	155	99	63	67
71	142	94	63	67
72	139	85	63	66
73	140	83	65	67
74	143	77	67	69
75	142	85	67	68
76	139	92	70	71
77	145	94	71	70
78	151	95	70	70
79	150	88	83	88
80	145	75	89	98
81	144	91	83	91
82	140	103	81	88
83	143	107	68	72
84	141	93	73	74
85	137	83	87	90
86	139	85	90	93
87	140	84	93	94
88	143	88	94	93
89	155	91	89	89
90	161	93	93	91
91	164	99	94	93
92	167	104	106	102
93	173	109	105	100
94	181	113	103	97
95	189	117	101	95
96	188	134	99	92
97	182	142	97	90
98	191	144	90	80
99	192	132	89	78
100	184	127	88	76
101	177	126	87	75
102	175	122	86	73
103	175	124	85	71
104	173	128	84	70
105	170	131	83	68
106	168	135	82	67
107	162	141	82	68
108	164	140	83	69
109	177	130	84	70
110	189	121	85	72
111	179	116	86	73
112	170	103	86	74
113	165	91	87	75
114	159	73	88	77
115	140	64	89	78
116	122	55	90	79
117	116	47	91	81
118	122	39	93	82
119	124	51	95	83
120	113	58	98	85
121	99	67	100	86
122	98	75	102	87
123	113	85	105	89
124	114	91	107	90
125	119	94	110	92
126	113	91	112	93
127	115	88	114	94
128	126	88	117	96
129	133	80	119	97
130	134	77	122	99
131	131	79	123	100
132	129	72	133	113
133	127	65	144	126
134	124	57	154	140
135	113	56	152	136
136	113	54	149	133
137	116	54	147	130
138	117	61	144	126
139	118	68	142	123
140	119	76	139	120
141	128	82	137	117
142	131	82	138	117
143	122	59	163	148
144	128	54	161	146
145	147	47	160	143
146	146	42	165	148
147	134	49	163	145
148	122	46	169	152
149	134	52	164	145
150	142	53	175	156
151	141	68	162	141
152	140	83	150	126
153	135	87	151	127
154	140	92	153	128
155	150	94	155	130
156	157	101	157	131
157	151	102	158	133
158	133	109	160	134
159	139	109	162	136
160	156	100	164	137
161	163	92	166	139
162	144	79	167	140
163	137	84	168	141
164	140	90	169	143
165	151	87	171	144
166	154	85	172	146
167	160	82	173	147
168	152	80	174	149
169	148	83	175	150
170	143	86	176	152
171	139	88	177	153
172	134	91	178	154
173	130	94	179	156
174	125	97	180	157
175	126	98	180	157
176	126	100	179	156
177	127	99	179	155
178	129	98	178	154
179	131	97	178	153
180	132	96	177	153
181	134	95	177	152
182	135	94	176	151
183	137	93	176	150
184	139	93	176	150
185	136	91	175	149
186	133	90	175	149
187	130	89	175	149
188	130	92	175	149
189	129	94	175	149
190	129	97	175	149
191	129	99	175	149
192	129	102	175	149
193	129	103	175	149
194	130	104	175	149
195	131	105	175	149
196	132	107	175	149
