frame	x	y	width	height
2	256	113	150	139
3	249	110	150	139
4	263	95	150	139
5	275	76	150	139
6	275	62	150	139
7	269	61	150	139
8	264	60	150	139
9	270	57	150	139
10	284	69	150	139
11	302	68	150	139
12	304	77	150	139
13	296	89	150	139
14	285	104	150	139
15	288	106	150	139
16	289	106	150	139
17	288	97	150	139
18	280	100	143	132
19	275	99	143	132
20	262	94	143	132
21	260	83	136	126
22	246	79	136	126
23	246	80	136	126
24	238	94	130	120
25	236	100	123	114
26	235	103	123	114
27	232	109	123	114
28	230	123	118	109
29	231	136	112	104
30	222	150	112	104
31	212	159	112	104
32	217	168	112	104
33	216	171	112	104
34	214	179	112	104
35	211	184	112	104
36	218	183	112	104
37	222	174	112	104
38	200	167	112	104
39	200	165	112	104
40	203	161	112	104
41	205	154	112	104
42	211	145	112	104
43	221	144	112	104
44	228	144	112	104
45	231	148	107	99
46	237	139	107	99
47	239	134	107	99
48	238	128	107	99
49	229	128	107	99
50	227	113	107	99
51	218	94	107	99
52	211	88	107	99
53	210	81	107	99
54	217	60	107	99
55	225	49	107	99
56	221	53	107	99
57	214	55	107	99
58	220	51	107	99
59	223	61	107	99
60	222	81	102	94
61	219	94	102	94
62	217	104	102	94
63	214	116	102	94
64	211	116	102	94
65	195	118	102	94
66	184	111	102	94
67	177	89	102	94
68	166	77	102	94
69	154	81	102	94
70	137	91	102	94
71	125	88	102	94
72	123	77	102	94
73	125	72	102	94
74	127	69	102	94
75	129	69	102	94
76	128	80	102	94
77	132	84	102	94
78	140	85	102	94
79	142	85	107	99
80	141	78	107	99
81	137	86	107	99
82	132	98	107	99
83	128	97	107	99
84	129	86	107	99
85	134	82	107	99
86	136	84	107	99
87	140	85	107	99
88	144	88	107	99
89	150	90	107	99
90	157	95	107	99
91	160	101	107	99
92	168	109	107	99
93	171	113	107	99
94	181	116	107	99
95	190	118	107	99
96	185	131	107	99
97	181	141	107	99
98	184	137	107	99
99	188	126	107	99
100	185	119	107	99
101	176	117	107	99
102	174	112	107	99
103	174	111	107	99
104	175	114	107	99
105	172	116	107	99
106	170	120	107	99
107	166	128	107	99
108	167	128	107	99
109	175	119	107	99
110	190	111	107	99
111	184	105	107	99
112	173	97	107	99
113	169	83	107	99
114	165	65	107	99
115	147	55	107	99
116	128	48	107	99
117	123	39	107	99
118	131	33	107	99
119	134	40	107	99
120	119	47	112	104
121	107	53	112	104
122	105	63	118	109
123	117	74	118	109
124	124	79	118	109
125	128	84	118	109
126	125	80	123	114
127	126	79	123	114
128	136	74	130	120
129	145	68	130	120
130	143	64	136	126
131	142	66	136	126
132	141	66	136	126
133	144	63	136	126
134	145	61	136	126
135	139	59	136	126
136	137	57	136	126
137	135	53	143	132
138	138	55	143	132
139	137	60	143	132
140	138	66	143	132
141	144	71	143	132
142	147	69	150	139
143	146	60	150	139
144	150	56	150	139
145	167	48	150	139
146	168	43	158	146
147	151	41	165	153
148	144	45	165	153
149	150	46	165	153
150	159	50	165	153
151	159	61	165	153
152	154	70	165	153
153	147	71	174	161
154	151	76	174	161
155	162	82	174	161
156	166	81	182	169
157	159	84	182	169
158	144	91	182	169
159	149	91	182	169
160	160	82	191	177
161	164	72	191	177
162	158	65	191	177
163	144	64	191	177
164	142	64	201	186
165	152	65	201	186
166	161	64	201	186
167	163	62	201	186
168	162	61	201	186
169	160	63	201	186
170	153	66	201	186
171	145	72	201	186
172	144	74	201	186
173	139	74	201	186
174	135	78	201	186
175	136	82	201	186
176	136	82	201	186
177	133	81	201	186
178	130	80	201	186
179	135	77	201	186
180	145	74	201	186
181	146	74	201	186
182	145	75	201	186
183	145	73	201	186
184	146	71	201	186
185	145	71	201	186
186	140	71	201	186
187	140	68	201	186
188	140	67	201	186
189	141	68	201	186
190	140	71	201	186
191	138	75	201	186
192	136	80	201	186
193	136	82	201	186
194	138	82	201	186
195	138	83	201	186
