frame	PSR
2	4.01756
3	3.74179
4	3.66337
5	3.57033
6	3.82717
7	3.96696
8	3.84564
9	3.62046
10	3.44193
11	3.63712
12	3.03391
13	2.91672
14	3.23926
15	2.91278
16	2.65394
17	3.08834
18	2.47239
19	2.81388
20	2.42176
21	2.2194
22	2.69345
23	3.10844
24	3.28025
25	3.34852
26	3.12732
27	3.07464
28	3.21668
29	3.77007
30	3.31999
31	2.92059
32	2.90818
33	3.37503
34	3.43591
35	2.87406
36	2.95595
37	3.218
38	3.30775
39	3.15684
40	3.03004
41	3.30058
42	3.21389
43	3.50957
44	3.45575
45	3.73382
46	3.52752
47	3.41794
48	3.40214
49	3.61934
50	2.74613
51	2.6876
52	2.73248
53	2.71175
54	3.21624
55	3.08068
56	3.51301
57	3.39286
58	3.26631
59	3.68201
60	3.65743
61	3.77158
62	3.30579
63	3.03412
64	3.4003
65	2.65354
66	2.65682
67	2.73978
68	2.89897
69	3.07767
70	2.81479
71	3.11799
72	3.10746
73	2.74834
74	2.42303
75	2.6268
76	2.50143
77	2.47491
78	3.37698
79	3.34082
80	3.54312
81	2.79781
82	3.0204
83	2.37684
84	2.62141
85	2.5943
86	3.01197
87	2.92727
88	2.1933
89	3.09168
90	3.01707
91	2.9398
92	2.53278
93	2.37425
94	3.29619
95	3.04858
96	2.33449
97	2.26071
98	2.68788
99	2.64232
100	2.16973
101	2.0951
102	2.75581
103	2.80224
104	2.82166
