frame	ave_fps
2	41.5185
3	40.854
4	40.6473
5	40.4627
6	41.307
7	40.2638
8	40.7146
9	39.851
10	39.0917
11	38.311
12	38.7373
13	38.2393
14	38.6453
15	39.1195
16	39.4361
17	38.9429
18	38.9438
19	39.0801
20	39.3087
21	39.7756
22	39.6106
23	39.3504
24	39.3171
25	39.5634
26	39.396
27	39.4214
28	38.8261
29	38.4917
30	38.4087
31	38.4011
32	38.5129
33	38.4838
34	38.5156
35	38.4678
36	38.5676
37	38.553
38	38.6458
39	38.6537
40	38.8009
41	38.9544
42	39.2698
43	39.0781
44	39.1393
45	38.9971
46	38.8271
47	38.6553
48	38.6961
49	38.7732
50	38.814
51	38.702
52	38.668
53	38.8661
54	38.8933
55	39.0107
56	38.8848
57	38.805
58	38.8481
59	38.93
60	39.0563
61	39.0728
62	39.1074
63	39.0766
64	39.1369
65	39.0884
66	39.1195
67	39.2216
68	39.2244
69	39.1326
70	39.0922
71	38.8891
72	38.8623
73	38.8032
74	38.7996
75	38.8065
76	38.695
77	38.6614
78	38.5682
79	38.4561
80	38.4017
81	38.384
82	38.4211
83	38.4075
84	38.4224
85	38.4884
86	38.5702
87	38.5127
88	38.448
89	38.4161
90	38.3417
91	38.3385
92	38.306
93	38.3495
94	38.3896
95	38.3588
96	38.1537
97	38.1323
98	38.1515
99	38.1088
100	38.0352
101	38.0834
102	38.1133
103	38.1624
104	38.1737
