frame	x	y	width	height
1	492	417	47	46
2	492	401	47	45
3	492	387	47	45
4	493	378	47	45
5	495	371	47	45
6	495	365	47	45
7	496	366	47	45
8	497	366	47	45
9	500	372	47	45
10	499	382	47	45
11	501	394	47	45
12	503	406	47	45
13	504	428	47	45
14	505	422	47	45
15	506	392	47	45
16	506	369	47	45
17	506	349	47	45
18	509	332	47	45
19	506	323	47	45
20	506	311	47	45
21	505	305	47	45
22	506	299	47	45
23	507	297	47	45
24	507	302	47	45
25	508	306	47	45
26	507	315	47	45
27	508	324	47	45
28	509	337	47	45
29	510	354	47	45
30	509	377	47	45
31	508	400	47	45
32	512	426	47	45
33	513	433	48	45
34	516	409	48	45
35	518	383	48	45
36	521	368	48	45
37	523	354	48	45
38	526	344	48	45
39	530	333	48	45
40	529	329	48	45
41	532	325	48	45
42	536	328	48	45
43	539	331	48	45
44	541	340	48	45
45	544	349	48	45
46	546	357	48	45
47	551	377	48	45
48	555	396	48	45
49	551	375	48	45
50	544	348	48	45
51	533	321	48	45
52	526	303	48	45
53	520	285	48	45
54	514	271	48	45
55	508	256	48	45
56	501	248	48	45
57	494	242	48	45
58	484	237	48	45
59	480	240	48	45
60	472	244	48	45
61	465	248	48	45
62	457	260	48	45
63	449	273	48	45
64	444	290	49	45
65	437	313	49	45
66	430	336	49	45
67	422	359	49	45
68	412	395	49	45
69	406	380	49	45
70	407	362	49	45
71	404	356	49	45
72	401	350	49	45
73	398	343	49	45
74	398	341	49	45
75	393	340	49	45
76	393	346	49	45
77	393	353	49	45
78	388	362	49	45
79	387	375	49	45
80	384	392	49	45
81	382	412	49	45
82	380	435	49	45
83	378	459	49	45
84	380	441	49	45
85	379	425	49	45
86	385	408	49	45
87	383	394	49	45
88	384	379	49	44
89	385	371	49	44
90	386	369	49	44
91	387	367	49	44
92	383	367	49	44
93	392	374	49	44
94	389	382	49	44
95	391	390	49	44
96	391	406	50	44
97	390	422	50	44
98	394	442	50	44
99	397	458	50	44
100	403	432	50	44
101	408	410	50	44
102	415	389	50	44
103	418	373	50	44
104	427	359	50	44
105	433	349	50	44
