frame	x	y	width	height
2	527	55	19	20
3	525	64	19	20
4	523	80	19	20
5	522	88	20	21
6	524	92	20	21
7	528	92	21	22
8	528	91	22	23
9	531	94	23	24
10	531	95	23	24
11	529	91	23	24
12	528	91	24	26
13	534	92	25	27
14	528	80	25	27
15	529	86	24	26
16	533	82	25	27
17	532	78	27	28
18	535	73	27	28
19	536	73	27	28
20	534	73	27	28
21	534	73	27	28
22	533	72	28	30
23	533	73	29	31
24	533	69	29	31
25	535	75	29	31
26	535	76	29	31
27	537	75	29	31
28	536	74	31	33
29	536	73	31	33
30	537	75	31	33
31	540	78	29	31
32	540	86	29	31
33	539	84	31	33
34	539	77	32	34
35	534	71	34	36
36	533	70	34	36
37	532	70	34	36
38	531	71	32	34
39	532	71	32	34
40	532	73	32	34
