frame	PSR
2	9.83627
3	9.385
4	8.87446
5	7.76185
6	7.05296
7	7.25709
8	6.43982
9	5.99234
10	5.85701
11	5.96734
12	5.46474
13	5.80563
14	5.68835
15	4.8856
16	4.58559
17	5.16805
18	5.54538
19	5.87792
20	5.43803
21	5.11309
22	5.12484
23	4.90603
24	4.54364
25	4.81818
26	5.76195
27	4.79858
28	5.3111
29	4.69702
30	4.98408
31	4.85221
32	5.10757
33	5.13093
34	4.81571
35	4.67434
36	4.82461
37	4.91203
38	5.22943
39	4.61829
40	5.051
41	5.09179
42	5.3931
43	5.71012
44	5.81282
45	5.70379
46	5.56155
47	5.41714
48	5.7367
49	5.19727
50	4.88718
51	4.89846
52	4.86534
53	4.77769
54	4.94447
55	5.46058
56	5.4308
57	5.2524
58	5.61548
59	5.45996
60	5.36996
61	5.57426
62	4.80287
63	4.91147
64	5.20583
65	5.10839
66	5.69927
67	5.95864
68	6.26462
69	5.24382
70	4.90892
71	5.44291
72	5.0624
73	5.12796
74	5.09381
75	4.56464
76	4.87052
77	5.95798
78	6.62009
79	5.68383
80	6.15775
81	5.67784
82	5.37065
83	5.27905
84	4.39906
85	4.69403
86	4.22352
87	4.2753
88	4.57155
89	4.63999
90	4.78623
91	5.06764
92	5.12164
93	5.01758
94	4.75865
95	4.33208
96	4.59892
97	4.26773
98	4.0472
99	4.34245
100	4.79024
101	4.81976
102	4.53757
103	4.41013
104	4.85146
105	4.91684
106	4.77169
107	4.49784
108	4.79048
109	4.52605
110	4.79527
111	4.93489
112	4.99366
113	4.97858
114	5.39374
115	5.33054
116	5.47353
117	5.11111
118	5.20059
119	5.25449
120	5.67787
121	5.40527
122	5.541
123	5.26068
124	5.27961
125	5.56609
126	5.5407
127	5.3712
128	5.42711
129	5.66227
130	5.68854
131	5.89874
132	5.93466
133	5.98026
134	5.96095
135	6.28069
136	6.4672
137	6.38506
138	6.14013
139	6.27557
140	6.27492
141	6.41919
142	6.49514
143	6.50246
144	6.1225
145	6.02991
146	5.77948
147	5.74653
148	5.94126
149	6.17165
150	6.3253
151	6.38497
152	6.36314
153	6.17963
154	6.14156
155	5.80332
156	6.43981
157	6.19333
158	6.24263
159	6.43603
160	6.73551
161	6.80195
162	6.87027
163	6.88489
164	6.82523
165	6.52501
166	6.36946
167	6.09658
168	6.04555
169	6.06649
170	6.18987
171	6.13794
172	6.19766
173	6.06469
174	6.20976
175	6.01184
176	5.68874
177	6.10822
178	6.15064
179	6.17771
