frame	ave_fps
2	86.8993
3	58.5006
4	66.3401
5	72.3912
6	71.727
7	69.7433
8	68.3335
9	73.2596
10	78.1756
11	82.0198
12	86.3881
13	90.0811
14	75.4855
15	72.3687
16	72.0559
17	69.2205
18	70.5579
19	68.1464
20	66.0697
21	64.8492
22	65.9746
23	67.1054
24	68.7129
25	69.7451
26	70.8486
27	71.9019
28	72.7265
29	73.0787
30	73.6436
31	74.4952
32	75.7924
33	76.1081
34	76.6324
35	76.9311
36	77.7957
37	78.6279
38	78.9979
39	79.7796
40	80.8879
41	81.8123
42	82.8491
43	83.8185
44	84.7276
45	85.6013
46	86.4055
47	86.961
48	87.3372
49	88.1238
50	89.0176
51	89.667
52	90.4487
53	91.0416
54	91.7898
55	92.4169
56	93.1091
57	93.2174
58	93.8543
59	94.4328
60	94.774
61	94.7263
62	94.8369
63	95.2943
64	95.2746
65	95.4058
66	95.652
67	95.8147
68	95.6695
69	96.0324
70	96.6399
71	96.7662
72	97.3541
73	97.8967
74	98.3396
75	98.9372
76	99.3638
77	99.9359
78	100.448
79	101.025
80	101.42
81	101.795
82	102.16
83	102.617
84	102.973
85	103.403
86	103.861
87	104.287
88	104.718
89	105.018
90	105.423
91	105.743
92	106.149
93	106.398
94	106.785
95	107.015
96	107.413
97	107.76
98	108.097
99	108.413
100	108.632
101	108.957
102	108.867
103	109.006
104	109.332
105	109.311
106	108.949
107	108.919
108	108.898
109	109.273
110	109.152
111	109.512
112	109.667
113	109.581
114	109.925
115	110.019
116	109.39
117	108.923
118	108.749
119	108.876
120	109.086
121	109
122	108.769
123	108.769
124	108.874
125	108.873
126	109.057
127	108.602
128	108.486
129	108.608
130	108.762
131	108.836
132	108.789
133	109.017
134	108.986
135	109.308
136	109.592
137	109.595
138	109.826
139	109.895
140	109.947
141	110.199
142	110.181
143	110.486
144	110.644
145	110.582
146	110.858
147	110.725
148	110.483
149	110.188
150	110.024
151	110.297
152	110.509
153	110.446
154	110.723
155	110.271
156	110.198
157	110.198
158	110.285
159	110.549
160	110.576
161	110.759
162	110.982
163	110.702
164	110.767
165	111.02
166	110.815
167	111.008
168	108.671
169	106.949
170	106.558
171	106.534
172	106.725
173	106.765
174	106.815
175	106.111
176	105.789
177	105.507
178	105.733
179	105.837
180	105.857
181	106.093
182	106.007
183	106.034
184	105.794
185	105.791
186	106.027
187	105.991
188	106.038
189	106.224
190	106.094
191	106.007
192	106.228
193	106.377
194	106.33
195	106.56
196	106.66
197	106.516
198	106.326
199	106.505
200	106.666
201	106.797
202	106.82
203	106.939
204	107.041
205	107.225
206	107.364
207	107.566
208	107.641
209	107.807
210	107.937
211	108.071
212	108.232
213	108.352
214	108.514
215	108.626
216	108.785
217	108.978
218	109.166
219	109.316
220	109.505
221	109.691
222	109.591
223	109.792
224	109.921
225	110.11
226	110.263
227	110.453
228	110.515
229	110.663
230	110.662
231	110.771
232	110.942
233	110.58
234	109.572
235	108.386
236	107.887
237	107.623
238	107.752
239	107.927
240	107.393
241	107.543
242	107.715
243	107.884
244	107.794
245	107.517
246	107.156
247	106.994
248	107.145
249	107.319
250	107.475
251	107.64
252	107.748
253	107.913
254	108.059
255	108.202
256	108.256
257	108.362
258	108.447
259	108.602
260	108.682
261	108.753
262	108.884
263	108.945
264	109.063
265	109.171
266	109.29
267	109.334
268	109.416
269	109.54
270	109.613
271	109.622
272	109.758
273	109.766
274	109.878
275	109.934
276	110.044
277	110.093
278	110.152
279	110.061
280	110.17
281	110.098
282	110.164
283	110.261
284	110.3
285	110.405
286	110.398
287	110.494
288	110.466
289	110.557
290	110.621
291	110.735
292	110.71
293	110.829
294	110.875
295	110.898
296	110.996
297	110.957
298	111.034
299	111.159
300	111.216
301	111.302
302	111.306
303	111.225
304	111.205
305	111.307
306	111.405
307	111.481
308	111.504
309	111.561
310	111.652
311	111.582
312	111.336
313	111.327
314	111.312
315	111.174
316	111.204
317	111.124
318	111.099
319	110.927
320	110.745
321	110.803
322	110.883
323	110.948
324	111.035
325	111.088
326	111.077
