frame	x	y	width	height
1	187	209	48	110
2	186	210	47	110
3	185	210	47	110
4	182	211	46	110
5	182	215	46	110
6	182	220	46	110
7	180	222	45	110
8	179	226	45	109
9	181	230	44	109
10	184	231	44	109
11	185	231	43	109
12	182	229	43	109
13	185	228	43	109
14	188	227	42	109
15	191	225	42	109
16	194	224	41	108
17	197	223	41	108
18	200	222	40	108
19	203	221	40	108
20	207	221	40	108
21	210	221	39	108
22	213	221	39	108
23	217	221	38	108
24	219	222	38	108
25	220	224	39	108
26	219	227	39	108
27	223	226	40	108
28	228	226	40	108
29	232	225	41	109
30	236	225	41	109
31	241	225	42	109
32	245	224	42	109
33	249	224	43	110
34	253	223	43	110
35	258	223	44	110
36	262	222	44	110
37	266	222	45	110
38	270	224	46	111
39	274	227	48	111
40	277	227	50	112
41	279	228	51	112
42	281	229	53	112
43	283	231	55	113
44	282	230	56	113
45	282	230	58	114
46	281	229	60	114
47	281	229	61	114
48	280	228	63	115
49	280	228	65	115
50	280	227	67	116
51	277	227	68	116
52	275	227	70	117
53	273	226	72	117
54	270	226	73	117
55	268	226	75	118
56	266	226	77	118
57	264	225	78	119
58	261	225	80	119
59	257	225	82	119
60	252	226	83	120
61	247	226	85	120
62	243	227	87	121
63	238	227	88	121
64	234	228	90	121
65	229	228	92	122
66	224	228	93	122
67	220	229	95	123
68	214	228	94	123
69	208	227	93	123
70	203	226	92	123
71	197	225	91	123
72	192	224	90	123
73	186	223	89	123
74	180	222	88	123
75	175	221	87	123
76	169	220	86	123
77	164	219	85	123
78	159	218	84	123
79	154	217	83	123
80	149	216	82	123
81	144	215	81	123
82	140	214	80	123
83	135	213	79	123
84	130	212	78	123
85	125	211	77	123
86	121	212	76	123
87	118	212	75	123
88	114	213	74	123
89	111	213	73	123
90	107	213	72	123
91	104	214	71	123
92	103	209	71	123
93	102	205	70	122
94	99	204	69	122
95	97	204	69	122
96	94	204	68	122
97	92	204	67	121
98	93	203	67	121
99	95	201	66	121
100	96	200	65	121
101	98	199	64	120
102	99	197	64	120
103	101	196	63	120
