frame	x	y	width	height
2	186	209	48	110
3	185	210	48	110
4	183	208	50	115
5	182	210	48	110
6	181	210	48	110
7	180	209	48	110
8	181	209	48	110
9	181	207	48	110
10	182	208	48	110
11	182	208	48	110
12	183	207	48	110
13	185	206	48	110
14	187	209	48	110
15	189	213	48	110
16	189	210	48	110
17	191	213	46	105
18	193	210	46	105
19	194	209	46	105
20	202	199	46	105
21	203	201	46	105
22	206	203	46	105
23	209	205	46	105
24	212	207	46	105
25	219	201	46	105
26	220	202	46	105
27	225	202	46	105
28	227	201	48	110
29	233	198	48	110
30	239	198	48	110
31	242	198	48	110
32	245	196	48	110
33	247	194	48	110
34	251	194	48	110
35	255	194	48	110
36	258	194	48	110
37	256	213	48	110
38	257	221	48	110
39	261	225	48	110
40	263	229	48	110
41	266	232	48	110
42	269	236	46	105
43	272	237	46	105
44	274	236	46	105
45	274	232	48	110
46	275	229	48	110
47	276	229	48	110
48	276	225	50	115
49	277	225	50	115
50	276	225	48	110
51	275	221	48	110
52	273	219	48	110
53	271	217	48	110
54	271	219	48	110
55	269	218	48	110
56	268	217	48	110
57	267	217	50	115
58	266	218	50	115
59	266	221	50	115
60	263	222	50	115
61	261	222	53	121
62	260	226	50	115
63	259	229	50	115
64	256	229	50	115
65	253	232	50	115
66	249	232	50	115
67	244	232	50	115
68	241	233	50	115
69	236	234	50	115
70	232	237	50	115
71	233	240	48	110
72	228	239	48	110
73	220	234	48	110
74	213	237	46	105
75	206	236	46	105
76	198	235	46	105
77	188	234	46	105
78	179	234	46	105
79	174	237	46	105
80	171	241	46	105
81	171	240	46	105
82	167	240	46	105
83	161	239	46	105
84	155	239	46	105
85	148	241	46	105
86	146	234	46	105
87	142	232	46	105
88	138	232	46	105
89	131	233	46	105
90	128	236	46	105
91	126	237	48	110
92	125	237	48	110
93	123	239	48	110
94	120	239	48	110
95	117	238	50	115
96	112	236	53	121
97	109	234	53	121
98	110	210	53	121
99	108	206	53	121
100	107	205	53	121
101	108	204	53	121
102	111	203	53	121
103	112	200	56	127
104	115	201	56	127
105	116	199	56	127
106	117	193	56	127
107	119	190	56	127
108	121	188	56	127
109	124	188	56	127
110	126	189	56	127
111	129	185	58	134
112	131	182	58	134
113	131	177	61	140
114	134	173	61	140
115	136	168	61	140
116	138	164	61	140
117	142	161	61	140
118	146	160	61	140
119	150	161	61	140
120	154	162	61	140
121	158	163	61	140
122	162	160	64	147
123	167	158	64	147
124	170	159	64	147
125	172	159	64	147
126	174	158	64	147
127	177	155	64	147
128	181	156	61	140
129	184	156	61	140
130	187	160	58	134
131	190	159	58	134
132	193	158	58	134
133	196	159	58	134
134	197	157	58	134
135	198	155	58	134
136	198	150	61	140
137	198	148	61	140
138	200	146	61	140
139	201	145	61	140
140	204	148	58	134
141	205	149	58	134
142	206	150	58	134
143	208	149	58	134
144	210	148	58	134
145	211	148	58	134
146	214	148	58	134
147	217	146	58	134
148	218	145	58	134
149	219	144	58	134
150	221	144	58	134
151	223	145	58	134
152	224	146	58	134
153	225	146	58	134
154	225	143	61	140
155	228	146	58	134
156	229	146	58	134
157	231	144	58	134
158	233	142	58	134
159	237	144	56	127
160	239	144	56	127
161	239	142	58	134
162	240	142	58	134
163	242	142	58	134
164	244	142	58	134
165	247	143	58	134
166	250	142	58	134
167	253	142	58	134
168	257	143	58	134
169	259	143	58	134
170	259	142	61	140
171	260	142	61	140
172	262	143	61	140
173	265	143	61	140
174	265	143	61	140
175	266	144	61	140
176	267	142	61	140
177	268	140	61	140
178	269	138	61	140
179	269	138	61	140
180	268	138	61	140
181	268	138	61	140
182	268	138	61	140
183	269	138	61	140
184	269	138	61	140
185	269	139	61	140
186	270	141	61	140
187	271	140	61	140
188	271	142	61	140
189	271	141	61	140
190	271	141	61	140
191	271	140	61	140
192	270	142	61	140
193	270	142	61	140
194	271	145	61	140
195	271	145	61	140
196	272	145	61	140
197	272	148	58	134
198	271	148	58	134
199	271	149	58	134
200	271	150	58	134
201	271	150	58	134
202	272	149	58	134
203	273	149	58	134
204	273	149	58	134
205	274	149	58	134
206	274	150	58	134
207	273	148	61	140
208	274	148	61	140
209	275	149	61	140
210	275	149	61	140
211	274	149	61	140
212	273	148	61	140
213	272	149	61	140
214	270	146	64	147
215	270	148	64	147
216	269	148	64	147
217	270	148	64	147
218	270	149	64	147
219	269	149	64	147
220	269	151	64	147
221	268	152	64	147
222	268	152	64	147
223	268	153	64	147
224	266	153	64	147
225	264	149	68	155
226	262	150	68	155
227	260	152	68	155
228	260	151	68	155
229	258	152	68	155
230	255	149	71	163
231	253	150	71	163
232	251	150	71	163
233	249	149	71	163
234	247	149	71	163
235	246	150	71	163
236	244	151	71	163
237	240	147	74	171
238	238	149	74	171
239	236	148	74	171
240	234	149	74	171
241	232	151	74	171
242	229	151	74	171
243	226	152	74	171
244	223	154	74	171
245	221	154	74	171
246	219	156	74	171
247	214	153	78	179
248	212	153	78	179
249	210	154	78	179
250	209	153	78	179
251	208	153	78	179
252	207	151	78	179
253	205	149	78	179
254	203	148	78	179
255	202	149	78	179
256	200	149	78	179
257	199	151	78	179
258	195	147	82	188
259	192	148	82	188
260	187	144	86	198
261	186	144	86	198
262	184	144	86	198
263	183	143	86	198
264	181	142	86	198
265	178	138	91	207
266	178	137	91	207
267	177	137	91	207
268	176	135	91	207
269	172	131	95	218
270	172	132	95	218
271	173	136	91	207
272	175	138	91	207
273	174	134	91	207
274	174	135	91	207
275	174	137	91	207
276	173	139	91	207
277	173	138	91	207
278	172	138	91	207
279	173	137	91	207
280	172	138	91	207
281	170	137	91	207
282	172	138	91	207
283	169	126	95	218
284	170	123	95	218
285	167	115	100	229
286	169	116	100	229
287	171	116	100	229
288	173	116	100	229
289	175	117	100	229
290	177	115	100	229
291	178	114	100	229
292	179	112	100	229
293	179	109	105	240
294	180	109	105	240
295	183	110	105	240
296	183	110	105	240
297	184	110	105	240
298	183	109	105	240
299	182	102	110	252
300	183	102	110	252
301	185	102	110	252
302	186	102	110	252
303	188	102	110	252
304	191	101	110	252
305	194	102	110	252
306	195	95	116	265
307	198	102	110	252
308	199	101	110	252
309	200	101	110	252
310	201	103	110	252
311	202	103	110	252
312	204	102	110	252
313	205	100	110	252
314	206	101	110	252
315	207	100	110	252
316	209	101	110	252
317	213	107	105	240
318	214	107	105	240
319	215	109	105	240
320	217	109	105	240
321	218	108	105	240
322	220	113	100	229
323	218	107	105	240
324	219	109	105	240
325	219	108	105	240
326	219	109	105	240
327	220	111	105	240
328	221	110	105	240
329	221	110	105	240
330	221	110	105	240
331	222	112	105	240
332	222	114	105	240
333	222	115	105	240
334	223	116	105	240
335	224	117	105	240
336	225	119	105	240
337	225	120	105	240
338	226	120	105	240
339	226	120	105	240
340	228	121	105	240
341	227	121	105	240
342	225	117	110	252
343	225	118	110	252
