frame	ave_fps
2	35.5179
3	42.8477
4	58.1295
5	70.8048
6	79.1653
7	87.7906
8	94.3728
9	101.599
10	102.361
11	107.114
12	112.049
13	107.315
14	98.6115
15	86.3041
16	85.1432
17	88.127
18	91.2232
19	94.0822
20	94.6336
21	97.2917
22	99.2611
23	101.673
24	100.215
25	102.374
26	104.019
27	106.041
28	107.19
29	109.159
30	107.289
31	104.746
32	104.251
33	100.724
34	99.4269
35	97.4766
36	91.5071
37	90.9168
38	88.6166
39	87.3277
40	82.839
41	81.5506
42	79.5382
43	74.6893
44	71.5458
45	69.7929
46	69.3497
47	68.8251
48	68.6196
49	69.0574
50	69.4328
51	69.7219
52	70.328
53	70.8909
54	71.5965
55	72.1205
56	72.9883
57	73.8401
58	74.69
59	75.5282
60	76.0963
61	76.815
62	77.2526
63	77.6283
64	77.919
65	78.3125
66	78.9514
67	79.5296
68	79.8182
69	80.151
70	80.826
71	81.498
72	82.0383
73	82.7483
74	83.1812
75	83.7275
76	84.1041
77	84.7463
78	85.1345
79	85.7414
80	86.3771
81	86.9649
82	87.5574
83	88.17
84	88.6967
85	89.291
86	89.9087
87	90.4834
88	90.9307
89	91.5107
90	92.0482
91	92.6134
92	93.1615
93	93.3401
94	93.5655
95	93.9729
96	94.4424
97	94.8522
98	95.1151
99	95.2316
100	95.4335
101	95.5412
102	95.9928
103	96.2935
104	96.7014
105	97.1219
106	97.6168
107	98.0548
108	98.4143
109	98.4079
110	98.2331
111	97.8839
112	98.2369
113	98.6878
114	99.0793
115	99.3902
116	99.405
117	99.6638
118	100.107
119	100.334
120	100.535
121	100.819
122	101.174
123	101.386
124	101.65
125	101.953
126	102.234
127	102.514
128	102.646
129	102.801
130	102.773
131	102.882
132	103.041
133	102.604
134	100.203
135	99.2942
136	99.1354
137	99.4409
138	99.6543
139	100.017
140	100.054
141	100.308
142	100.595
143	100.852
144	101.143
145	101.471
146	101.692
147	102.046
148	102.407
149	102.746
150	103.071
151	103.437
152	103.57
153	103.468
154	102.629
155	102.666
156	102.15
157	101.251
158	100.786
159	100.462
160	99.7739
161	99.9648
162	99.2465
163	98.7732
164	97.5545
165	96.0463
166	95.1501
167	94.4491
168	93.4958
169	92.14
170	91.6706
171	91.2703
172	91.2209
173	91.1864
174	91.1045
175	91.079
176	91.3129
177	91.5586
178	91.6812
179	91.8673
180	92.0431
181	92.2157
182	92.4649
183	92.6227
184	92.8753
185	93.0399
186	92.9764
187	92.9582
188	93.1853
189	93.4213
190	93.62
191	93.7722
192	93.9024
193	94.1128
194	94.3352
195	94.4331
196	94.6151
197	94.8266
198	94.946
199	94.9304
200	95.1772
201	95.414
202	95.6594
203	95.9156
204	96.1329
205	96.3984
206	96.6638
207	96.8797
208	96.9003
209	97.0892
210	97.3352
211	97.5343
212	97.7821
213	98.0233
214	98.2437
215	98.4857
216	98.6351
217	98.8781
218	99.0972
219	99.331
220	99.578
221	99.8198
222	100.056
223	100.26
224	100.441
225	100.681
226	100.82
227	101.013
228	101.232
229	101.446
230	101.64
231	101.881
232	101.604
233	99.6964
234	99.3536
235	99.4865
236	99.7054
237	99.9187
238	100.143
239	100.187
240	100.386
241	100.594
242	100.772
243	100.932
244	101.128
245	101.293
246	101.371
247	101.51
248	101.734
249	101.91
250	102.125
251	102.209
252	101.555
253	101.144
254	100.89
255	100.709
256	100.393
257	100.253
258	99.9642
259	99.7578
260	99.4537
261	98.0516
262	97.9648
263	97.9581
264	97.4338
265	96.0919
266	95.7796
267	94.751
268	94.273
269	94.4349
270	94.1971
271	94.3246
272	94.4475
273	94.5928
274	94.7284
275	94.9171
276	95.0585
277	95.2028
278	95.393
279	95.5307
280	95.6174
281	95.6446
282	95.7483
283	95.8397
284	95.9657
285	96.1068
286	96.137
287	96.3253
288	96.44
289	96.5568
290	96.6453
291	96.7942
292	96.9266
293	97.0192
294	97.0672
295	97.1853
296	97.361
297	97.5089
298	97.685
299	97.8512
300	98.0246
301	98.1962
302	98.3228
303	98.494
304	98.5271
305	98.6885
306	98.7208
307	98.7621
308	98.9059
309	99.0381
310	99.178
311	99.2908
312	99.4625
313	99.5964
314	99.7699
315	99.9378
316	100.079
317	100.245
318	100.349
319	100.507
320	100.601
321	100.765
322	100.873
323	101.04
324	101.107
325	101.216
326	101.377
327	101.514
328	101.68
329	101.807
330	101.954
331	102.108
332	102.171
333	102.249
334	102.379
335	102.374
336	102.486
337	102.554
338	102.613
