frame	x	y	width	height
1	506	224	86	35
2	515	236	86	34
3	515	234	88	45
4	516	232	91	55
5	518	241	90	48
6	520	250	90	41
7	523	259	89	34
8	525	262	89	33
9	527	265	88	32
10	529	268	88	32
11	532	271	87	31
12	530	267	91	44
13	529	263	94	58
14	528	264	96	60
15	532	275	93	53
16	536	285	91	46
17	540	296	88	39
18	540	298	86	32
19	541	301	84	25
20	538	301	84	30
21	535	301	85	35
22	522	321	111	29
23	528	321	101	32
24	535	320	92	34
25	541	320	83	37
26	539	322	74	40
27	529	346	101	22
28	537	353	95	23
29	535	347	89	24
30	543	332	70	53
31	544	331	70	59
32	532	362	114	23
33	538	351	96	47
34	544	341	78	72
35	546	338	66	59
36	527	355	102	37
37	561	354	43	34
38	546	342	72	53
39	544	333	71	60
40	531	337	97	55
41	539	341	81	52
42	548	325	57	64
43	546	322	52	59
44	546	325	56	53
45	531	311	69	62
46	530	312	70	55
47	542	301	62	51
48	538	287	71	60
49	537	286	65	53
50	531	296	74	36
51	515	295	94	45
52	520	313	65	31
53	524	304	60	33
54	529	298	60	35
55	527	290	60	43
56	523	285	64	48
57	506	310	97	33
58	518	321	77	36
59	525	316	61	35
60	518	309	73	32
61	523	300	55	43
62	508	312	87	42
63	518	323	88	44
64	527	333	69	40
65	532	325	58	44
66	532	317	56	50
67	523	335	83	39
68	519	351	86	38
69	538	357	48	30
70	535	337	61	57
71	535	341	48	47
72	518	364	97	31
73	528	364	68	25
74	529	349	61	41
75	541	348	39	40
76	535	349	55	34
77	520	350	93	29
78	527	350	73	23
79	537	350	68	22
80	535	339	57	28
81	532	330	56	37
82	537	320	69	50
83	529	341	97	25
84	540	349	75	25
85	550	345	66	32
86	547	344	73	26
87	559	319	53	46
88	550	318	60	51
89	541	331	92	48
90	546	343	91	48
91	554	345	73	45
92	563	348	56	42
93	561	342	70	55
94	559	336	85	69
95	559	354	90	50
96	559	362	102	50
97	567	361	85	64
98	569	342	89	92
99	572	376	100	55
100	572	380	95	54
101	589	378	76	53
102	577	363	84	66
103	586	375	82	50
104	585	379	85	47
105	592	374	83	52
106	590	372	70	46
107	585	351	73	61
108	587	360	86	46
109	589	370	99	30
110	610	371	68	28
111	610	357	56	35
112	589	328	68	61
113	587	335	89	44
114	588	344	89	33
115	597	339	87	35
116	611	319	53	49
117	591	304	66	60
118	578	307	80	54
119	587	305	98	43
120	590	300	94	45
121	592	282	73	53
122	594	265	52	62
123	590	270	67	53
124	587	275	82	45
125	584	280	97	37
126	603	281	69	32
127	588	253	72	63
128	578	240	67	68
129	594	246	44	57
130	598	236	50	66
131	597	245	73	58
132	590	238	74	60
133	590	232	47	63
134	580	232	53	57
135	575	237	53	50
136	570	231	76	65
137	582	260	75	25
138	582	253	68	27
139	575	244	74	36
140	583	232	48	46
141	570	231	74	50
142	570	253	101	32
143	588	262	79	41
144	573	260	90	35
145	572	255	89	34
146	571	246	88	34
147	570	248	92	41
148	569	249	95	47
149	571	255	94	45
150	571	260	93	44
151	572	266	91	42
152	574	271	90	40
153	576	277	88	38
154	569	273	99	50
155	569	278	92	55
156	577	290	87	43
157	583	320	83	31
158	580	320	87	39
159	578	320	92	47
160	576	320	96	55
161	580	333	96	56
162	584	346	95	56
163	591	348	95	57
164	595	349	94	58
165	599	350	94	58
166	603	356	93	59
167	606	349	82	63
168	617	348	68	64
169	601	361	92	61
170	601	368	90	59
171	619	371	73	53
172	626	360	54	66
173	622	365	61	62
174	606	378	93	50
175	617	396	76	30
176	620	381	54	42
