frame	PSR
2	6.22375
3	6.37794
4	6.05539
5	6.11122
6	6.0879
7	6.11623
8	5.80161
9	5.75343
10	5.6333
11	5.36875
12	5.31624
13	5.23094
14	5.43192
15	5.86931
16	5.74204
17	5.20255
18	5.61785
19	5.40604
20	5.83304
21	5.7112
22	5.78111
23	5.82413
24	5.66284
25	5.46933
26	5.29459
27	4.6513
28	4.9837
29	5.17433
30	4.88945
31	5.45101
32	5.27591
33	5.44381
34	5.22206
35	5.68199
36	5.81842
37	5.53564
38	5.57649
39	5.5594
40	5.51262
41	5.23114
42	5.16972
43	4.95985
44	5.09092
45	4.74486
46	4.65713
47	4.66096
48	4.57262
49	4.7341
50	4.97189
51	4.83934
52	4.81978
53	4.6981
54	4.85875
55	4.86099
56	4.7176
57	4.65692
58	4.75707
59	4.94994
60	5.00126
61	4.83048
62	4.69878
63	4.69587
64	4.9007
65	4.63382
66	4.41756
67	4.35856
68	4.09549
69	4.26239
70	4.2032
71	4.24343
72	4.25558
73	3.66906
74	4.16455
75	3.85353
76	4.00399
77	4.0852
78	4.16549
79	4.55612
80	4.46741
81	4.59483
82	4.39621
83	4.57675
84	4.70214
85	4.80963
86	4.75346
87	4.61971
88	4.73794
89	4.75269
90	4.53508
91	4.89875
92	4.71599
93	5.05327
94	5.10456
95	5.07518
96	5.13976
97	5.16614
98	5.3005
99	5.21858
100	5.2854
101	5.35528
102	5.52235
103	5.51121
104	5.49556
105	5.45001
106	5.61125
107	5.52657
108	5.5568
109	5.56849
110	5.36739
111	5.51965
112	5.51998
113	5.51391
114	5.44097
115	5.41532
116	5.48698
117	5.40887
118	5.27136
119	5.2719
120	5.03928
121	5.10142
122	4.84842
123	4.8889
124	5.00045
125	5.16607
126	5.17194
127	5.28688
128	5.3329
129	5.30247
130	5.04889
131	5.00769
132	5.15888
133	5.28657
134	5.3421
135	5.34581
136	5.43078
137	5.24543
138	5.40807
139	5.29943
140	5.38514
141	5.32258
142	5.26844
143	5.35239
144	5.33194
145	5.30997
146	5.43009
147	5.45922
148	5.53179
149	5.65805
150	5.6552
151	5.77357
152	5.684
153	5.79252
154	5.61064
155	5.67642
156	5.62039
157	5.66069
158	5.52709
159	5.67538
160	5.65658
161	5.68096
162	5.6259
163	5.52371
164	5.57416
165	5.58199
166	5.36435
167	5.17041
168	5.11073
169	4.73864
170	4.85625
171	4.54322
172	4.61372
173	4.61483
174	4.38178
175	4.93501
176	4.7108
177	5.01435
178	5.05917
179	5.01142
180	5.07725
181	5.11075
182	4.99565
183	5.0214
184	4.9922
185	5.05844
186	5.12779
187	4.99454
188	5.08988
189	5.03553
190	5.22031
191	5.06738
192	4.80359
193	5.05561
194	4.75584
195	4.83535
196	4.82625
197	5.0065
198	5.10289
199	5.05173
200	5.11782
201	5.19989
202	5.1623
203	5.20454
204	5.17854
205	5.13307
