frame	x	y	width	height
2	441	380	93	54
3	440	380	98	57
4	439	378	103	60
5	439	378	103	60
6	440	377	103	60
7	441	378	103	60
8	444	378	103	60
9	445	378	103	60
10	446	379	103	60
11	448	378	103	60
12	452	378	103	60
13	456	378	103	60
14	465	379	98	57
15	467	379	98	57
16	477	379	93	54
17	483	379	93	54
18	484	379	93	54
19	488	379	93	54
20	486	378	98	57
21	487	378	98	57
22	489	378	98	57
23	488	376	103	60
24	488	377	103	60
25	490	377	103	60
26	492	377	103	60
27	498	378	98	57
28	502	379	98	57
29	504	379	98	57
30	509	379	98	57
31	510	378	98	57
32	514	377	98	57
33	515	377	98	57
34	518	377	93	54
35	519	377	93	54
36	520	377	93	54
37	524	379	89	51
38	524	379	89	51
39	524	379	89	51
40	525	378	89	51
41	528	380	84	49
42	528	380	84	49
43	529	381	84	49
44	530	381	84	49
45	530	381	84	49
46	531	381	84	49
47	532	381	84	49
48	532	381	84	49
49	532	382	84	49
50	532	381	84	49
51	534	381	84	49
52	535	381	84	49
53	536	381	84	49
54	537	381	84	49
55	537	381	84	49
56	537	381	84	49
57	537	381	84	49
58	537	381	84	49
59	537	381	84	49
60	538	381	84	49
61	539	382	80	47
62	537	382	80	47
63	534	381	80	47
64	534	381	80	47
65	532	382	80	47
66	532	383	80	47
67	531	384	80	47
68	530	384	80	47
69	529	384	80	47
70	528	384	80	47
71	526	384	80	47
72	522	383	84	49
73	516	384	84	49
74	518	385	80	47
75	514	386	80	47
76	513	387	80	47
77	511	386	80	47
78	510	385	80	47
79	508	385	80	47
80	506	385	80	47
81	506	384	80	47
82	504	385	80	47
83	503	384	80	47
84	502	384	80	47
85	501	383	80	47
86	499	384	80	47
87	499	383	80	47
88	499	383	77	44
89	498	383	77	44
90	497	383	77	44
91	497	383	77	44
92	496	382	77	44
93	495	382	77	44
94	496	383	77	44
95	495	383	77	44
96	496	383	77	44
97	497	383	77	44
98	497	383	77	44
99	497	384	77	44
100	499	384	77	44
101	499	383	77	44
102	500	384	77	44
103	500	384	77	44
104	501	383	77	44
105	500	383	77	44
106	501	383	77	44
107	500	384	77	44
108	500	383	77	44
109	500	383	77	44
110	499	383	77	44
111	499	383	77	44
112	499	383	77	44
113	500	383	77	44
114	501	384	77	44
115	502	384	77	44
116	502	384	77	44
117	502	384	80	47
118	504	384	80	47
119	505	385	80	47
120	507	385	80	47
121	509	384	80	47
122	512	385	80	47
123	515	384	80	47
124	516	383	80	47
125	516	383	80	47
126	517	382	80	47
127	518	382	80	47
128	518	382	80	47
129	517	382	80	47
130	515	382	80	47
131	512	383	80	47
132	508	383	84	49
133	507	383	84	49
134	506	384	84	49
135	505	384	84	49
136	504	384	84	49
137	503	383	84	49
138	502	382	84	49
139	501	383	84	49
140	500	383	84	49
141	499	383	84	49
142	498	383	84	49
143	498	382	84	49
144	498	382	84	49
145	497	383	84	49
146	499	384	80	47
147	498	384	80	47
148	498	384	80	47
149	498	383	80	47
150	498	383	80	47
151	498	384	80	47
152	497	384	80	47
153	497	384	80	47
154	498	384	80	47
155	498	385	80	47
156	499	385	80	47
157	499	386	80	47
158	500	385	80	47
159	501	385	80	47
160	501	385	80	47
161	502	385	80	47
162	503	385	80	47
163	504	385	80	47
164	505	385	80	47
165	505	385	80	47
166	507	385	80	47
167	509	385	80	47
168	511	385	80	47
169	516	385	80	47
170	517	385	80	47
171	522	385	80	47
172	524	386	80	47
173	526	387	80	47
174	530	387	80	47
175	531	386	80	47
176	534	386	80	47
177	535	386	80	47
178	536	385	80	47
179	537	384	80	47
180	537	384	80	47
181	538	383	80	47
182	538	383	80	47
183	538	383	80	47
184	538	383	80	47
185	537	383	80	47
186	538	383	80	47
187	539	383	80	47
188	540	383	80	47
189	542	383	80	47
190	542	383	80	47
191	545	383	80	47
192	549	383	80	47
193	550	383	80	47
194	552	383	80	47
195	551	381	84	49
196	554	380	84	49
197	556	380	84	49
198	556	380	84	49
199	558	379	84	49
200	559	379	84	49
201	560	379	84	49
202	561	379	84	49
203	561	379	84	49
204	562	378	84	49
205	562	379	84	49
206	563	379	84	49
207	564	380	84	49
208	564	380	84	49
209	566	379	84	49
210	567	379	84	49
211	568	379	84	49
212	569	378	84	49
213	570	377	84	49
214	571	378	84	49
215	571	377	84	49
216	570	376	89	51
217	570	376	89	51
218	570	376	89	51
219	571	376	89	51
220	571	376	89	51
221	571	376	89	51
222	571	376	89	51
223	572	375	89	51
224	572	375	89	51
225	572	375	89	51
226	572	375	89	51
227	572	375	89	51
228	573	376	89	51
229	572	375	89	51
230	573	375	89	51
231	573	375	89	51
232	573	375	89	51
233	573	375	89	51
234	573	375	89	51
235	573	376	89	51
236	574	375	89	51
237	574	375	89	51
238	574	375	89	51
239	574	375	89	51
240	574	375	89	51
241	574	376	89	51
242	573	375	89	51
243	574	375	89	51
244	574	375	89	51
245	574	375	89	51
246	574	375	89	51
247	574	375	89	51
248	574	375	89	51
249	575	375	89	51
250	575	375	89	51
251	575	375	89	51
252	574	374	89	51
253	575	375	89	51
254	574	374	89	51
255	574	374	89	51
256	575	374	89	51
257	575	375	89	51
258	574	374	89	51
259	575	374	89	51
260	574	374	89	51
261	574	374	89	51
262	574	374	89	51
263	575	374	89	51
264	574	374	89	51
265	575	375	89	51
266	574	375	89	51
267	574	374	89	51
268	574	374	89	51
269	574	375	89	51
270	574	374	89	51
271	574	374	89	51
272	574	374	89	51
273	574	374	89	51
274	574	375	89	51
275	574	375	89	51
276	574	375	89	51
277	574	375	89	51
278	574	374	89	51
279	575	374	89	51
280	574	374	89	51
281	575	374	89	51
282	575	375	89	51
283	575	374	89	51
284	575	375	89	51
285	574	374	89	51
286	575	375	89	51
287	575	374	89	51
288	575	374	89	51
289	575	375	89	51
290	575	374	89	51
291	575	374	89	51
292	575	375	89	51
293	575	374	89	51
294	575	374	89	51
295	575	374	89	51
296	575	374	89	51
297	574	374	89	51
298	573	373	89	51
299	573	373	89	51
300	573	373	89	51
301	572	373	89	51
302	573	373	89	51
303	573	373	89	51
304	573	373	89	51
305	574	373	89	51
306	574	373	89	51
307	574	373	89	51
308	573	373	89	51
309	574	373	89	51
310	574	373	89	51
311	573	373	89	51
312	573	374	89	51
313	573	373	89	51
314	573	373	89	51
315	573	373	89	51
316	573	373	89	51
317	574	373	89	51
318	573	373	89	51
319	574	374	89	51
320	574	373	89	51
321	573	373	89	51
322	573	373	89	51
323	572	373	89	51
324	572	374	89	51
325	571	373	89	51
326	570	373	89	51
327	569	373	89	51
328	569	373	89	51
329	568	374	89	51
330	567	374	89	51
331	567	374	89	51
332	566	374	89	51
333	565	374	89	51
334	565	374	89	51
335	564	374	89	51
336	563	374	89	51
337	562	374	89	51
338	563	374	89	51
339	562	373	89	51
340	561	373	89	51
341	560	373	89	51
342	559	373	89	51
343	560	373	89	51
344	559	373	89	51
345	559	373	89	51
346	559	373	89	51
347	559	373	89	51
348	559	373	89	51
349	559	374	89	51
350	562	378	89	51
