frame	PSR
2	9.79829
3	9.06997
4	6.99429
5	6.72009
6	8.5295
7	9.312
8	7.70007
9	6.9131
10	7.18907
11	7.78199
12	7.14153
13	6.7857
14	7.18231
15	7.41138
16	7.59591
17	7.41971
18	8.69329
19	8.65649
20	8.12695
21	8.90382
22	7.9288
23	6.63246
24	6.3442
25	6.38557
26	6.52025
27	7.65215
28	7.52351
29	7.66933
30	6.98997
31	6.64248
32	6.02481
33	6.1754
34	6.09991
35	6.15215
36	6.16305
37	5.62985
38	6.03849
39	5.45264
40	5.24612
41	4.88492
42	4.99006
43	4.80629
44	4.31295
45	4.85749
46	5.3139
47	6.09846
48	5.47973
49	5.70958
50	5.78798
51	5.5104
52	6.55362
53	5.78488
54	5.54247
55	6.15503
56	5.12475
57	5.48556
58	5.38162
59	5.93596
60	5.12116
61	3.59358
62	4.04873
63	4.93449
64	4.94633
65	4.77406
66	5.78184
67	5.9583
68	6.58883
69	6.57531
70	6.35418
71	6.28149
72	6.3737
73	6.28493
74	5.79138
75	4.93922
76	5.24536
77	5.33643
78	5.76526
79	5.45381
80	5.03025
81	4.31487
82	4.5239
83	4.86151
84	4.53664
85	5.17241
86	5.94026
87	6.00711
88	6.10207
89	6.17738
90	6.62566
91	6.45236
92	7.16488
93	7.34019
94	7.26598
95	7.22995
96	7.6275
97	7.35676
98	7.73515
99	7.73238
100	7.84895
101	7.96859
102	7.82424
103	7.86791
104	7.76972
105	7.8075
106	8.02916
107	8.1322
108	8.28042
109	8.16016
110	8.2393
111	8.2993
112	8.44186
113	8.43361
114	8.48352
115	8.4996
116	8.50202
117	8.81743
118	8.79814
119	8.89692
120	8.82533
121	8.80792
122	8.60365
123	8.88599
124	9.08943
125	8.90804
126	8.74106
127	8.75508
128	8.4449
129	7.45238
130	7.15537
131	6.2502
132	6.55975
133	6.47449
134	7.09742
135	7.71476
136	7.72301
137	7.94043
138	7.91002
139	8.00342
140	8.19643
141	8.2624
142	8.16767
143	8.06838
144	8.11192
145	8.42834
146	8.60439
147	8.46991
148	8.43277
149	8.27401
150	8.57316
151	8.50439
152	6.8933
153	6.36117
154	7.44676
155	8.6478
156	8.84069
157	8.90008
158	8.65545
159	8.78567
160	8.91065
161	8.82243
162	8.83564
163	8.68038
164	8.77287
165	8.79028
166	8.58539
167	8.36299
168	7.73728
169	8.07159
170	8.2365
171	8.00211
172	8.20839
173	7.99516
174	7.99832
175	8.10632
176	8.20023
177	7.90965
178	6.71645
179	6.4122
180	6.702
181	6.36511
182	7.09275
183	7.11781
184	7.36899
185	8.09928
186	7.23898
187	7.41258
188	7.46706
189	7.28042
190	6.80218
191	7.01886
192	6.65767
193	7.8735
194	7.93273
195	8.02266
196	7.82981
197	7.97533
198	8.03908
199	8.1943
200	7.48327
201	6.78186
202	7.71178
203	8.04648
204	8.48345
205	8.77305
206	8.36026
207	7.62801
208	7.64487
209	7.54376
210	7.71964
211	7.79684
212	8.05911
213	7.46125
214	8.28499
215	8.17308
216	8.40065
217	8.52908
218	8.49884
219	8.26628
220	8.79458
221	8.52223
222	8.55782
223	8.90492
224	9.13289
