frame	ave_fps
2	141.163
3	118.203
4	126.425
5	130.544
6	123.96
7	132.688
8	126.59
9	130.522
10	118.526
11	118.35
12	122.063
13	117.103
14	118.6
15	118.951
16	122.498
17	125.369
18	127.935
19	130.392
20	132.862
21	135.239
22	137.512
23	139.091
24	140.834
25	142.662
26	144.423
27	145.835
28	147.177
29	148.41
30	149.728
31	151.062
32	152.27
33	153.379
34	153.946
35	155.079
36	156.157
37	155.852
38	156.76
39	157.413
40	158.347
41	159.244
42	160.06
43	160.839
44	161.442
45	162.204
46	162.943
47	159.606
48	152.302
49	153.089
50	153.768
51	154.617
52	155.248
53	155.978
54	156.65
55	155.478
56	155.339
57	155.369
58	155.387
59	155.169
60	155.112
61	155.21
62	155.112
63	155.001
64	155.039
65	155.1
66	155.007
67	154.96
68	154.948
69	154.883
70	151.959
71	151.504
72	151.074
73	150.492
74	151.063
75	151.58
76	152.127
77	152.648
78	153.073
79	153.515
80	153.986
81	154.459
82	154.684
83	154.932
84	155.387
85	155.822
86	156.296
87	156.662
88	157.054
89	157.486
90	155.557
91	155.515
92	155.649
93	155.79
94	155.56
95	155.558
96	155.672
97	155.721
98	155.781
99	155.839
100	156.208
101	156.538
102	156.85
103	157.147
104	157.51
105	157.885
106	158.21
107	158.539
108	158.833
109	159.125
110	159.442
111	159.767
112	160.077
113	160.379
114	160.625
115	160.797
116	161.07
117	161.219
118	161.511
119	161.795
120	162.029
121	161.181
122	159.958
123	158.771
124	157.574
125	156.419
126	155.395
127	155.145
128	154.951
129	154.953
130	155.193
131	155.05
132	155.344
133	155.636
134	155.912
135	155.449
136	154.55
137	153.573
138	153.408
139	153.632
140	153.886
141	153.995
142	154.278
143	154.538
144	154.692
145	154.918
146	155.18
147	155.357
148	155.607
149	155.867
150	156.102
151	156.321
152	156.495
153	156.757
154	157.005
155	157.237
156	157.467
157	156.603
158	155.64
159	154.786
160	154.639
161	154.674
162	154.697
163	154.684
164	154.573
165	154.789
166	155.018
167	155.198
168	155.417
169	155.652
170	155.867
171	156.08
172	156.276
173	156.5
174	156.699
175	156.918
176	157.129
177	157.249
178	157.152
179	157.35
180	157.557
181	157.763
182	157.953
183	158.15
184	158.346
185	158.545
186	158.742
187	158.909
188	159.087
189	159.285
190	159.163
191	159.342
192	159.511
193	159.695
194	159.866
195	160.043
196	158.598
197	157.772
198	157.953
199	158.134
200	158.308
201	158.439
202	158.619
203	158.792
204	157.993
205	157.944
206	157.903
207	157.827
208	157.758
209	157.702
210	157.657
211	157.577
212	157.425
213	157.386
214	157.301
215	157.231
216	157.117
217	157.068
218	156.947
219	156.895
220	156.847
221	157.024
222	157.178
223	157.327
224	157.491
