frame	x	y	width	height
1	171	24	24	61
2	173	23	24	62
3	173	23	24	63
4	175	20	24	64
5	177	15	24	65
6	175	16	25	67
7	173	15	25	67
8	169	16	26	67
9	166	18	27	68
10	163	19	28	68
11	160	19	29	68
12	157	18	30	69
13	153	17	30	70
14	151	17	31	72
15	150	18	31	74
16	152	20	32	75
17	153	22	32	77
18	154	23	33	79
19	153	24	34	78
20	153	25	35	77
21	153	27	36	76
22	151	29	37	75
23	147	31	38	74
24	142	36	40	74
25	137	40	39	74
26	127	40	42	81
27	126	40	40	79
28	128	44	39	78
29	134	48	37	77
30	138	51	36	76
31	144	59	35	75
32	149	66	33	69
33	151	72	32	63
34	154	77	31	57
35	155	86	29	51
36	156	91	28	45
37	156	97	27	40
38	156	102	27	39
39	156	107	27	38
40	156	111	27	37
41	157	115	28	36
42	156	120	28	34
43	156	125	27	34
44	154	129	27	34
45	154	130	27	34
46	154	129	27	34
47	154	129	27	34
48	155	129	27	34
49	156	130	24	34
50	156	128	26	35
51	157	123	26	37
52	158	119	25	38
53	151	107	41	44
54	158	100	35	45
55	159	100	32	50
56	160	95	30	50
57	162	90	29	51
58	165	86	28	52
59	164	83	28	52
60	163	81	28	53
61	163	79	30	70
62	164	74	30	70
63	162	74	30	70
64	162	72	30	70
65	160	71	31	70
66	159	69	31	70
67	158	68	31	70
68	158	68	32	70
69	157	67	32	70
70	157	67	32	70
71	156	67	33	70
72	157	67	33	70
73	157	68	33	70
74	156	66	35	72
75	154	65	37	74
76	153	64	39	77
77	153	64	39	77
78	153	64	39	77
79	154	65	39	77
80	154	65	39	77
81	154	65	39	77
82	155	66	39	77
83	155	66	39	77
84	155	66	39	77
85	156	67	40	78
86	155	67	40	77
87	155	68	40	77
88	155	68	40	76
89	155	69	40	76
90	155	70	40	75
91	155	70	40	75
92	154	71	40	74
93	154	72	40	74
94	154	73	40	73
95	153	74	40	73
96	154	75	40	72
97	157	76	41	72
98	156	76	40	71
99	156	76	40	71
100	156	76	40	70
101	155	76	39	70
102	155	76	39	69
103	155	77	39	69
104	154	77	39	69
105	154	77	39	69
106	154	78	39	69
107	154	78	40	69
108	153	78	40	69
109	153	79	40	69
110	153	79	40	69
111	153	79	41	69
112	153	78	41	69
113	153	77	41	69
114	154	77	41	69
115	152	78	42	70
116	154	76	39	71
117	157	75	37	73
118	156	75	37	73
119	156	75	37	73
120	156	76	37	73
121	156	76	37	73
122	156	77	37	73
123	155	76	37	73
124	155	76	37	73
125	155	75	37	73
126	155	75	37	73
127	155	75	38	74
128	154	73	38	74
129	154	72	38	74
130	154	71	38	74
131	154	71	39	74
132	153	71	39	74
133	153	72	39	75
134	153	72	39	75
135	153	73	40	75
136	152	73	40	75
137	152	74	40	75
138	152	74	40	75
139	152	75	41	76
140	151	75	40	75
141	151	76	40	75
142	151	76	40	75
143	151	77	39	75
144	150	77	39	75
145	150	78	39	75
146	150	78	38	75
147	150	79	38	75
148	149	79	38	75
149	149	80	37	75
150	149	80	37	75
151	149	81	37	75
152	147	83	36	75
153	145	86	36	75
154	143	89	36	75
155	143	88	36	75
156	143	88	36	75
157	143	88	36	75
158	143	88	36	75
159	143	88	36	75
160	143	88	36	75
161	143	88	36	76
162	143	87	36	75
163	143	86	36	75
164	143	86	36	75
165	143	85	36	74
166	143	84	36	74
167	143	84	37	74
168	143	83	37	73
169	143	82	37	73
170	143	82	37	73
171	143	81	37	72
172	143	80	37	72
173	144	80	38	72
174	144	78	37	71
175	145	77	37	71
176	145	76	37	71
177	146	75	37	71
178	146	74	37	71
179	147	73	37	71
180	145	67	36	71
181	143	62	36	71
182	144	63	36	71
183	145	63	36	71
184	145	65	36	71
185	146	67	36	71
186	148	66	36	71
187	151	66	36	72
188	149	64	36	73
189	147	62	36	74
190	144	59	36	74
191	144	61	36	75
192	143	62	36	76
193	143	64	36	77
194	143	63	36	76
195	143	63	36	76
196	141	63	36	76
197	140	64	36	76
198	139	64	37	76
199	137	64	37	75
200	135	66	37	75
201	133	68	37	75
202	131	70	37	75
203	130	72	38	75
204	129	71	38	74
205	129	71	38	74
206	128	71	39	74
207	128	71	39	74
208	127	71	39	74
209	127	71	40	74
210	126	71	40	74
211	126	71	41	74
212	126	70	39	74
213	127	69	38	73
214	128	68	37	74
215	128	67	36	74
216	129	67	35	73
217	130	66	34	74
218	130	65	33	74
219	131	64	32	73
220	132	64	31	74
221	131	63	31	74
222	131	63	31	74
223	131	63	31	74
224	131	63	31	73
225	131	63	32	74
