frame	x	y	width	height
2	172	24	24	61
3	173	24	24	61
4	175	20	24	61
5	178	17	25	64
6	176	17	25	64
7	175	17	25	64
8	171	18	25	64
9	169	19	25	64
10	165	20	25	64
11	163	20	25	64
12	161	19	25	64
13	159	19	25	64
14	157	19	25	64
15	156	21	25	64
16	156	24	25	64
17	156	27	26	67
18	157	27	26	67
19	157	26	28	71
20	157	26	29	74
21	157	27	29	74
22	156	29	29	74
23	154	33	29	74
24	149	36	29	74
25	144	41	29	74
26	137	43	29	74
27	135	41	31	78
28	135	43	31	78
29	137	50	31	78
30	139	52	31	78
31	144	61	31	78
32	149	67	31	78
33	151	73	31	78
34	152	78	31	78
35	153	87	31	78
36	154	92	32	82
37	154	93	34	86
38	154	100	34	86
39	154	105	34	86
40	155	109	32	82
41	155	111	32	82
42	156	118	32	82
43	156	126	31	78
44	155	129	29	74
45	153	130	29	74
46	153	130	29	74
47	154	131	29	74
48	155	133	28	71
49	155	133	28	71
50	155	131	28	71
51	157	127	28	71
52	159	124	26	67
53	158	121	28	71
54	160	108	28	71
55	159	105	28	71
56	159	101	28	71
57	159	98	29	74
58	161	89	29	74
59	162	86	29	74
60	165	80	28	71
61	163	74	26	67
62	166	92	26	67
63	171	92	26	67
64	170	86	28	71
65	165	77	28	71
66	164	74	28	71
67	163	71	28	71
68	162	68	28	71
69	162	66	28	71
70	161	60	28	71
71	160	59	28	71
72	159	59	28	71
73	157	59	28	71
74	156	59	28	71
75	155	61	28	71
76	155	64	26	67
77	154	64	28	71
78	153	66	28	71
79	152	67	28	71
80	153	66	28	71
81	153	66	28	71
82	154	64	29	74
83	154	64	29	74
84	156	65	31	78
85	157	66	31	78
86	158	67	31	78
87	158	68	31	78
88	157	68	31	78
89	157	68	31	78
90	156	69	31	78
91	156	71	29	74
92	156	70	29	74
93	155	70	29	74
94	156	70	29	74
95	156	70	29	74
96	156	71	29	74
97	157	71	29	74
98	157	71	29	74
99	158	71	29	74
100	158	71	29	74
101	158	71	29	74
102	158	71	29	74
103	157	70	29	74
104	157	70	29	74
105	157	70	29	74
106	156	71	29	74
107	156	71	29	74
108	156	71	29	74
109	156	71	29	74
110	156	72	29	74
111	157	72	29	74
112	156	72	29	74
113	156	72	29	74
114	157	72	29	74
115	156	71	29	74
116	157	71	29	74
117	157	71	29	74
118	157	71	29	74
119	157	71	29	74
120	157	72	29	74
121	157	72	29	74
122	157	72	29	74
123	156	73	29	74
124	156	73	29	74
125	156	72	29	74
126	156	71	29	74
127	156	71	29	74
128	156	71	29	74
129	155	70	29	74
130	155	69	29	74
131	155	67	29	74
132	155	68	29	74
133	156	68	29	74
134	157	68	29	74
135	157	68	29	74
136	157	67	29	74
137	157	68	29	74
138	156	68	31	78
139	156	70	31	78
140	156	71	31	78
141	155	72	31	78
142	155	72	31	78
143	155	72	31	78
144	155	72	31	78
145	154	73	31	78
146	154	72	31	78
147	154	73	31	78
148	154	73	31	78
149	154	74	31	78
150	154	75	31	78
151	153	75	31	78
152	152	78	31	78
153	148	82	31	78
154	145	82	31	78
155	144	82	31	78
156	143	82	31	78
157	143	82	31	78
158	143	82	31	78
159	143	83	31	78
160	143	83	31	78
161	144	83	31	78
162	144	82	31	78
163	145	82	31	78
164	146	82	31	78
165	146	81	31	78
166	146	79	31	78
167	146	78	31	78
168	147	77	31	78
169	147	76	31	78
170	148	75	31	78
171	148	75	31	78
172	148	75	31	78
173	148	74	31	78
174	147	74	31	78
175	148	73	31	78
176	147	71	32	82
177	147	71	32	82
178	147	68	32	82
179	148	62	32	82
180	147	58	32	82
181	147	55	32	82
182	147	54	32	82
183	147	55	32	82
184	148	58	31	78
185	148	58	31	78
186	149	59	31	78
187	151	59	31	78
188	151	57	31	78
189	150	56	31	78
190	147	54	31	78
191	146	56	31	78
192	145	58	31	78
193	145	59	31	78
194	146	59	31	78
195	146	58	31	78
196	146	58	31	78
197	145	59	31	78
198	144	60	31	78
199	142	60	31	78
200	140	60	31	78
201	137	62	31	78
202	135	68	31	78
203	134	68	31	78
204	133	68	31	78
205	133	68	31	78
206	133	68	31	78
207	133	68	31	78
208	133	67	31	78
209	133	67	31	78
210	132	66	31	78
211	132	65	31	78
212	132	64	31	78
213	131	62	31	78
214	131	61	31	78
215	131	61	31	78
216	131	61	31	78
217	131	60	31	78
218	131	60	31	78
219	132	59	31	78
220	132	58	31	78
221	132	58	31	78
222	132	56	31	78
223	132	55	31	78
224	132	55	31	78
