frame	PSR
2	8.39074
3	8.16775
4	7.81013
5	7.64911
6	6.94202
7	4.94844
8	5.67006
9	5.5435
10	5.89727
11	5.42509
12	5.13489
13	5.11347
14	4.80712
15	5.25417
16	5.31659
17	5.0808
18	5.17536
19	4.5253
20	4.42427
21	5.00724
22	4.98315
23	4.97999
24	5.33153
25	5.54356
26	5.45736
27	4.93457
28	5.27969
29	5.06465
30	5.90954
31	5.33214
32	5.55892
33	4.78046
34	4.9247
35	4.67111
36	4.97983
37	4.71161
38	4.51343
39	4.22701
40	4.30634
41	4.2695
42	4.70261
43	4.83695
44	5.06615
45	5.26875
46	5.22925
47	5.16356
48	5.19268
49	5.48895
50	5.91467
51	5.506
52	5.74514
53	5.16079
54	4.85411
55	4.81671
56	4.37361
57	4.26754
58	4.30077
59	3.75124
60	3.40504
61	3.67308
62	4.18222
63	4.07181
64	3.79175
65	3.8719
66	4.41993
67	4.49475
68	4.16634
69	4.8303
70	5.02827
71	4.53423
72	4.70109
73	5.50081
74	5.32375
75	5.00306
