frame	ave_fps
2	72.684
3	84.2757
4	97.2033
5	89.5147
6	80.653
7	74.2019
8	71.1489
9	72.905
10	73.7935
11	75.0682
12	74.2515
13	75.1303
14	75.0067
15	76.1571
16	76.8609
17	77.049
18	77.0338
19	76.2327
20	77.6814
21	79.9624
22	79.5423
23	81.4249
24	83.3347
25	84.7075
26	86.2942
27	87.1328
28	87.4801
29	88.0728
30	89.1027
31	90.4555
32	91.8952
33	93.261
34	94.4318
35	94.958
36	95.7002
37	96.9418
38	97.4873
39	98.2956
40	99.2135
41	100.198
42	100.953
43	101.98
44	103.041
45	104.043
46	105.047
47	106.039
48	106.961
49	107.395
50	108.147
51	109.073
52	109.916
53	109.788
54	109.568
55	110.335
56	110.989
57	111.417
58	112.167
59	112.433
60	113.104
61	113.435
62	113.582
63	113.691
64	114.115
65	114.771
66	115.443
67	116.055
68	116.698
69	117.342
70	117.51
71	117.975
72	117.974
73	118.33
74	118.919
75	119.496
