frame	x	y	width	height
1	785	256	85	178
2	787	252	93	178
3	786	245	102	179
4	774	241	128	185
5	759	237	160	198
6	768	221	159	205
7	759	217	187	214
8	784	219	158	192
9	799	223	128	198
10	790	213	175	217
11	754	191	235	247
12	754	198	242	240
13	773	184	231	255
14	786	209	169	188
15	789	201	175	189
16	788	199	180	191
17	764	150	272	286
18	781	143	246	282
19	773	142	278	291
20	796	137	251	299
21	776	125	261	326
22	769	116	290	338
23	754	110	301	352
24	782	114	260	349
25	771	105	278	369
26	759	101	295	381
27	745	93	324	389
28	725	68	361	413
29	658	27	452	454
30	653	14	457	469
31	668	59	451	427
32	672	46	439	437
33	650	40	470	444
34	632	41	483	452
35	614	42	497	459
36	596	43	511	467
37	578	44	524	474
38	579	59	517	447
39	579	75	510	420
40	580	90	503	393
41	581	105	496	366
42	582	120	489	339
43	586	133	474	316
44	590	146	459	292
45	595	159	443	269
46	599	172	428	245
47	604	185	413	222
48	601	184	412	226
49	590	174	416	260
50	579	164	420	295
51	568	154	423	330
52	557	144	427	365
53	558	154	406	358
54	558	165	384	352
55	559	176	362	345
56	560	186	340	339
57	561	197	318	332
58	565	212	293	318
59	569	226	268	304
60	573	241	243	290
61	576	258	221	267
62	578	275	200	244
63	580	292	178	221
64	568	295	186	222
65	556	298	194	224
66	544	301	202	225
67	556	334	158	163
68	535	331	178	172
69	506	325	215	187
70	511	337	194	169
71	516	348	172	151
72	521	360	151	134
73	521	368	152	125
74	517	371	161	125
75	513	374	169	125
76	516	379	155	112
