frame	x	y	width	height
2	786	250	85	178
3	788	248	85	178
4	791	244	85	178
5	795	243	85	178
6	793	236	89	187
7	803	235	89	187
8	816	234	89	187
9	820	224	89	187
10	820	220	89	187
11	825	219	89	187
12	838	219	89	187
13	839	220	89	187
14	855	208	89	187
15	863	205	89	187
16	868	198	94	196
17	876	195	94	196
18	882	194	98	206
19	887	201	94	196
20	893	202	94	196
21	892	189	98	206
22	908	162	103	216
23	912	152	103	216
24	915	148	103	216
25	915	135	108	227
26	918	131	108	227
27	926	134	103	216
28	929	127	103	216
29	932	125	103	216
30	936	125	103	216
31	939	122	103	216
32	935	119	108	227
33	942	120	103	216
34	942	120	103	216
35	941	121	103	216
36	938	121	103	216
37	941	122	103	216
38	940	131	103	216
39	946	131	103	216
40	956	170	103	216
41	950	177	103	216
42	953	194	103	216
43	951	213	103	216
44	947	213	103	216
45	944	230	103	216
46	938	252	103	216
47	933	257	98	206
48	919	260	98	206
49	907	265	98	206
50	902	278	98	206
51	887	285	98	206
52	867	300	98	206
53	851	304	98	206
54	836	308	98	206
55	819	327	94	196
56	798	350	89	187
57	776	354	89	187
58	768	346	89	187
59	763	345	89	187
60	783	315	89	187
61	790	354	85	178
62	792	355	81	170
63	795	358	81	170
64	794	368	81	170
65	794	363	81	170
66	791	361	81	170
67	790	360	81	170
68	792	371	81	170
69	793	370	77	161
70	795	369	77	161
71	791	378	77	161
72	793	373	77	161
73	791	369	81	170
74	790	362	85	178
75	790	361	85	178
