frame	PSR
2	8.62362
3	8.00886
4	6.31806
5	5.37405
6	3.76924
7	4.84704
8	4.61971
9	4.37784
10	4.33107
11	7.14976
12	7.0934
13	6.76527
14	6.15066
15	5.97318
16	5.12767
17	5.49676
18	5.51816
19	4.09407
20	4.17385
21	5.17505
22	5.11084
23	5.68735
24	5.3138
25	5.90604
26	5.3525
27	6.12807
28	6.22585
29	4.94705
30	4.7132
31	4.90436
32	4.88426
33	5.71846
34	5.31626
35	5.93766
36	6.14396
37	5.99628
38	5.62
39	6.22162
40	4.43358
41	4.36329
42	5.00771
43	5.87826
44	5.55336
45	5.76749
46	5.91824
47	6.71085
48	6.66288
49	4.79029
50	3.69986
51	3.53957
52	5.10127
53	5.19689
54	5.30752
55	4.30861
56	6.17024
57	5.93654
58	5.72192
59	6.3103
60	4.75621
61	5.62725
62	5.54529
63	5.1944
64	5.52184
65	6.22208
66	5.98161
67	5.44223
68	5.14982
69	5.97805
70	5.77454
71	4.50757
72	5.04796
73	4.98783
74	5.3213
75	5.60118
76	5.73469
77	5.88037
78	5.78556
79	6.05721
80	5.2938
81	4.64092
82	4.36281
83	5.13719
84	5.51608
85	5.49269
86	5.50724
87	5.00085
88	5.5768
89	6.15358
90	5.55179
91	5.16104
92	3.87797
93	4.73109
94	5.16986
95	5.40678
96	5.60447
97	5.24837
98	5.36963
99	5.6536
100	6.00573
101	5.48813
102	4.246
103	4.50325
104	4.81748
105	5.20934
106	5.46308
107	5.26808
108	4.93968
109	5.7621
110	5.88482
111	5.86757
112	5.04006
113	4.76948
114	4.75484
115	4.83
116	5.08744
117	5.18325
118	4.91638
119	5.21204
120	6.14214
121	5.84488
122	5.49909
123	4.79184
124	5.06443
125	5.19063
126	4.63145
127	5.16713
128	4.71179
129	4.71733
130	5.28854
131	4.98705
132	4.49201
133	4.6101
134	4.26323
135	4.49077
136	4.88143
137	4.43257
138	4.87354
139	5.11017
140	4.29777
141	5.46904
142	5.33106
143	5.16846
144	4.83303
145	4.29293
146	4.08362
147	5.05311
148	5.46202
149	5.32162
150	4.67494
151	5.73275
152	6.19312
153	6.07014
154	5.66526
155	4.84508
156	4.56205
157	5.21231
158	5.09487
159	5.74107
160	5.76929
161	5.00061
162	5.16981
163	5.72241
164	5.53643
165	4.84884
166	5.01091
167	4.33798
168	4.64671
169	5.00752
170	5.38077
171	5.50951
172	4.95466
173	5.41547
174	6.13866
175	5.93586
176	5.85837
177	5.19415
178	4.80707
179	5.23062
180	4.95356
181	6.11189
182	6.10049
183	5.08658
184	5.77415
185	5.95233
186	5.86277
187	5.51999
188	5.8257
189	5.03537
190	6.10758
191	6.25178
192	5.62198
193	4.62864
194	5.42012
195	5.59729
196	5.55202
197	6.00675
198	6.06412
199	5.45711
200	5.42089
201	5.80141
202	5.82374
203	6.12342
204	5.94849
205	5.5579
206	6.29379
207	6.56775
208	6.52324
209	6.52048
210	6.02573
211	5.44935
212	5.94113
213	6.6958
214	5.97749
215	5.99014
216	5.8235
217	5.53043
218	5.67882
219	5.7949
220	5.89155
221	4.78287
222	4.52125
223	4.80812
224	5.51401
225	6.01557
226	5.97194
227	6.02707
228	5.52679
229	5.79937
230	6.25203
231	5.79816
232	5.88703
233	5.32376
234	5.212
235	5.16629
236	4.72579
237	4.74999
238	4.77608
239	4.24103
240	3.08231
241	4.46008
242	4.96902
243	5.32058
244	5.49169
245	5.17114
246	5.05264
247	4.97805
248	5.70187
249	5.40064
250	5.37368
251	4.49229
252	4.10444
253	5.07147
254	4.97789
255	5.22115
256	5.17097
257	5.16346
258	4.76616
259	5.68314
260	4.93016
261	5.13545
262	5.39882
263	4.39393
264	4.69258
265	5.33221
266	5.04956
267	4.87623
268	4.96584
269	5.25984
270	5.0774
271	5.20975
272	5.04078
273	5.54976
274	5.09928
275	5.09461
276	5.47449
277	6.18396
278	6.10797
279	6.18244
280	6.18545
281	5.74208
282	5.42473
283	5.79435
284	6.26611
285	6.14879
286	6.36529
287	5.55089
288	5.97329
289	5.9659
290	6.25167
291	6.81335
292	7.04996
293	6.44725
294	5.59918
295	5.86681
296	6.13018
297	6.19792
298	6.66429
299	6.68748
300	6.28934
301	5.20247
302	6.20971
303	5.97304
304	6.45588
305	6.06555
306	5.39546
307	5.2717
308	5.15322
309	5.33704
310	5.63032
311	6.02477
312	5.91891
313	5.07105
314	5.5988
315	5.94599
316	6.29156
317	6.30071
318	6.42365
319	6.77696
320	6.91466
321	7.28264
322	6.93596
323	6.73903
324	6.5126
325	6.37468
326	5.40955
327	5.45542
328	5.79391
329	5.9381
330	5.35173
331	5.46846
332	5.15495
333	4.7355
334	4.89842
335	4.15289
336	5.30011
337	5.68455
338	5.62233
339	5.09758
340	6.12345
341	5.68434
342	5.92199
343	6.25323
344	5.73621
345	5.19457
346	4.9486
347	5.0372
348	5.21915
349	6.19803
