frame	ave_fps
2	35.6927
3	27.6842
4	30.8972
5	32.0032
6	34.5798
7	38.8247
8	43.0609
9	47.0348
10	50.6966
11	54.0489
12	57.5414
13	60.6815
14	63.7292
15	66.2929
16	67.948
17	68.2266
18	69.7844
19	70.7702
20	72.547
21	74.5393
22	76.1597
23	77.0232
24	78.7283
25	80.4736
26	82.0461
27	83.4059
28	85.0738
29	86.5283
30	87.7833
31	89.3064
32	90.7389
33	91.6456
34	92.5949
35	93.9926
36	95.2785
37	95.6953
38	96.912
39	98.102
40	98.217
41	99.212
42	100.301
43	101.048
44	101.6
45	102.578
46	103.571
47	104.223
48	103.76
49	104.572
50	105.185
51	106.055
52	106.615
53	107.511
54	107.668
55	108.438
56	103.649
57	102.129
58	98.6733
59	90.8657
60	89.1567
61	87.4724
62	87.9863
63	88.4779
64	89.012
65	89.5383
66	90.1183
67	90.7117
68	90.9571
69	91.6482
70	91.1173
71	91.6689
72	92.285
73	92.9024
74	93.3488
75	93.9696
76	94.487
77	94.8436
78	95.2766
79	95.7389
80	96.0393
81	96.384
82	96.8521
83	97.3366
84	97.6616
85	98.0475
86	98.4659
87	98.9512
88	99.3381
89	99.7721
90	99.99
91	100.346
92	100.484
93	100.894
94	101.224
95	101.524
96	101.883
97	102.263
98	102.267
99	102.644
100	102.828
101	103.127
102	103.517
103	103.861
104	104.165
105	104.611
106	104.991
107	105.333
108	105.762
109	106.085
110	106.372
111	106.735
112	106.871
113	107.025
114	107.392
115	107.669
116	107.989
117	108.364
118	108.615
119	108.99
120	109.237
121	109.449
122	109.678
123	110.045
124	110.345
125	110.622
126	110.967
127	110.96
128	111.045
129	111.069
130	111.367
131	110.655
132	109.715
133	109.964
134	109.829
135	109.754
136	109.894
137	110.21
138	110.441
139	110.634
140	110.232
141	110.373
142	110.607
143	110.893
144	111.116
145	111.051
146	111.262
147	111.476
148	111.485
149	111.628
150	111.866
151	112.097
152	112.201
153	112.485
154	112.75
155	112.862
156	113.021
157	113.197
158	113.327
159	113.137
160	113.328
161	113.524
162	113.663
163	113.845
164	114.052
165	114.173
166	114.357
167	114.571
168	114.766
169	114.972
170	115.2
171	115.398
172	115.591
173	115.483
174	115.463
175	115.698
176	115.926
177	115.983
178	116.184
179	116.306
180	116.47
181	116.667
182	116.885
183	116.905
184	117.142
185	117.349
186	117.495
187	117.74
188	117.852
189	117.562
190	117.59
191	117.667
192	117.87
193	117.993
194	118.1
195	118.273
196	118.387
197	118.545
198	118.678
199	118.768
200	118.977
201	118.973
202	118.833
203	118.858
204	118.934
205	119.12
206	119.177
207	119.246
208	119.155
209	118.876
210	118.971
211	119.12
212	119.276
213	119.295
214	119.416
215	119.381
216	119.568
217	119.665
218	119.806
219	119.959
220	119.878
221	120.071
222	120.09
223	120.031
224	119.998
225	120.153
226	120.253
227	120.318
228	120.474
229	120.662
230	120.715
231	120.868
232	121.007
233	121.099
234	121.236
235	121.399
236	121.54
237	121.676
238	121.81
239	121.983
240	122.158
241	122.126
242	122.244
243	122.417
244	122.568
245	122.622
246	122.578
247	122.696
248	122.744
249	122.843
250	123.001
251	123.122
252	123.169
253	123.311
254	123.414
255	123.467
256	123.546
257	123.701
258	123.665
259	123.737
260	123.822
261	123.967
262	124.017
263	124.18
264	124.133
265	124.099
266	123.818
267	123.685
268	123.84
269	123.965
270	124.127
271	124.22
272	124.366
273	124.514
274	124.594
275	124.745
276	124.606
277	124.674
278	124.743
279	124.903
280	125.006
281	125.169
282	125.302
283	125.304
284	125.443
285	125.585
286	125.627
287	125.672
288	125.604
289	125.672
290	125.733
291	125.646
292	125.531
293	125.635
294	125.771
295	125.865
296	125.972
297	126.107
298	126.184
299	126.248
300	126.392
301	126.517
302	126.661
303	126.797
304	126.894
305	127.022
306	127.14
307	127.209
308	127.325
309	127.35
310	127.446
311	127.576
312	127.647
313	127.781
314	127.888
315	127.991
316	128.12
317	128.233
318	128.241
319	128.369
320	128.491
321	128.579
322	128.707
323	128.83
324	128.891
325	129.007
326	129.115
327	129.198
328	129.292
329	129.407
330	129.313
331	129.004
332	129.114
333	129.137
334	129.11
335	129.194
336	129.263
337	129.324
338	129.296
339	129.32
340	129.35
341	129.294
342	129.253
343	129.155
344	129.221
345	129.294
346	129.355
347	129.402
348	129.409
349	129.514
