frame	x	y	width	height
1	337	167	25	52
2	338	166	26	56
3	339	163	27	56
4	340	164	26	55
5	338	166	26	55
6	331	168	30	48
7	330	166	33	56
8	333	166	28	49
9	332	166	31	61
10	332	166	28	59
11	333	164	26	60
12	333	166	25	60
13	332	166	26	58
14	332	166	23	60
15	331	166	22	65
16	331	167	24	59
17	330	165	25	63
18	331	165	23	64
19	330	166	25	66
20	331	165	24	58
21	329	164	29	59
22	330	163	27	61
23	330	163	24	67
24	330	161	25	66
25	331	159	24	68
26	328	159	26	69
27	327	159	29	72
28	327	157	29	67
29	329	156	26	66
30	329	157	26	67
31	328	155	27	72
32	331	154	25	69
33	330	154	25	66
34	331	152	26	67
35	334	152	25	64
36	334	153	24	69
37	333	153	24	71
38	331	152	26	70
39	333	152	25	75
40	337	150	22	69
41	333	152	30	70
42	334	153	29	72
43	333	152	28	69
44	333	152	27	68
45	331	152	28	65
46	333	150	24	69
47	331	152	29	69
48	335	152	25	75
49	334	152	24	74
50	334	151	24	74
51	335	150	25	72
52	333	152	28	75
53	334	151	27	74
54	339	152	24	71
55	337	150	29	68
56	340	151	24	70
57	340	152	25	72
58	339	152	25	75
59	339	153	22	76
60	338	151	24	71
61	337	151	25	70
62	336	151	25	67
63	332	149	27	70
64	333	151	27	73
65	331	148	25	73
66	330	148	25	70
67	328	149	26	69
68	327	150	25	71
69	323	151	27	77
70	323	147	23	81
71	322	148	28	76
72	324	148	27	73
73	323	147	28	77
74	322	148	26	81
75	324	146	26	71
76	323	147	27	71
77	324	148	25	72
78	325	146	23	75
79	323	147	23	77
80	326	147	22	67
81	323	145	24	78
82	323	148	26	72
83	322	145	29	67
84	324	148	27	67
85	320	145	27	77
86	325	147	22	72
87	322	147	25	72
88	323	147	25	71
89	326	148	22	76
90	328	149	23	75
91	328	148	25	76
92	329	147	23	75
93	331	149	29	74
94	332	145	30	79
95	334	145	24	84
96	332	147	28	80
97	334	147	27	77
98	338	145	24	75
99	339	145	21	76
100	337	147	25	78
101	340	146	22	79
102	339	144	29	71
103	338	144	31	77
104	340	143	32	80
105	341	143	31	82
106	341	143	25	81
107	338	146	28	83
108	337	145	30	82
109	344	145	26	75
110	345	146	26	82
111	346	145	27	85
112	348	147	27	79
113	351	147	27	78
114	350	145	37	80
115	357	146	32	82
116	357	148	33	86
117	358	148	28	91
118	363	149	26	77
119	367	148	25	76
120	362	145	31	87
121	364	148	30	88
122	367	149	28	92
123	367	147	31	78
124	369	146	32	85
125	368	147	38	87
126	365	148	36	88
127	365	152	29	89
128	366	150	32	87
129	366	148	31	92
130	370	150	32	88
131	375	151	31	91
132	374	154	29	96
133	373	152	31	97
134	377	151	29	81
135	381	155	35	84
136	381	152	38	90
137	383	155	33	92
138	383	156	30	94
139	380	154	35	93
140	390	155	27	80
141	390	156	33	87
142	393	159	34	91
143	392	158	29	96
144	393	159	28	97
145	398	159	26	82
146	399	159	35	85
147	401	162	36	89
148	404	163	31	91
149	406	160	28	100
150	407	162	32	91
151	411	160	34	88
152	412	160	33	91
153	412	161	30	88
154	412	160	29	97
155	412	159	30	93
156	411	159	28	79
157	411	160	37	84
158	410	159	33	89
159	410	158	34	95
160	408	157	32	99
161	406	157	31	92
162	411	158	34	89
163	416	158	30	90
164	417	158	30	96
165	420	161	28	97
166	420	159	32	95
167	421	163	35	86
168	428	162	37	83
169	442	161	29	95
170	444	162	31	92
171	444	160	30	93
172	452	162	27	76
173	454	160	35	89
174	459	161	33	91
175	462	159	26	94
176	459	158	29	97
177	465	157	28	81
178	465	155	38	82
179	464	152	38	87
180	466	151	33	89
181	466	153	29	92
182	470	151	23	81
183	470	153	23	78
184	467	154	34	82
185	471	156	26	77
186	469	158	31	89
187	468	159	29	89
188	469	160	33	88
189	468	162	36	78
190	471	160	24	81
191	471	159	32	87
192	468	162	22	77
193	464	164	26	74
194	461	163	29	81
195	463	163	23	74
196	457	163	25	75
197	456	164	27	88
198	454	163	26	87
199	455	163	27	75
200	452	163	36	76
201	453	160	38	78
202	457	161	32	82
203	456	159	26	86
204	453	159	27	79
205	455	158	28	77
206	455	157	33	74
207	457	157	34	77
208	456	155	30	81
209	452	153	30	83
210	452	154	28	68
211	451	155	27	67
212	450	154	33	75
213	448	153	37	78
214	450	153	26	76
215	452	155	23	75
216	451	153	27	73
217	449	151	34	77
218	451	149	37	79
219	449	150	29	79
220	450	152	28	81
221	450	150	24	84
222	451	150	25	72
223	451	149	27	72
224	449	149	34	74
225	450	149	31	79
226	449	148	28	82
227	449	148	31	81
228	453	148	30	71
229	452	145	37	72
230	452	145	32	73
231	451	143	36	78
232	454	143	34	84
233	454	144	29	83
234	454	141	35	82
235	464	141	27	69
236	465	139	38	75
237	472	139	33	78
238	473	139	34	82
239	481	139	31	79
240	496	134	28	70
241	502	134	35	72
242	508	129	26	72
243	515	130	26	70
244	521	129	27	81
245	524	125	30	84
246	525	127	33	81
247	532	123	30	75
248	533	122	36	74
249	534	120	33	80
250	536	121	31	80
251	529	120	36	78
252	538	121	25	63
253	533	116	36	72
254	532	117	36	76
255	532	118	33	77
256	529	120	27	79
257	524	119	25	80
