frame	x	y	width	height
2	338	166	25	52
3	336	166	25	52
4	334	164	26	55
5	333	165	26	55
6	337	160	26	55
7	337	166	26	55
8	336	166	26	55
9	332	171	26	55
10	331	168	26	55
11	331	167	26	55
12	331	167	25	52
13	330	166	25	52
14	326	167	25	52
15	325	165	26	55
16	326	167	25	52
17	327	166	26	55
18	327	164	28	57
19	328	163	28	57
20	327	163	26	55
21	324	165	28	57
22	327	162	26	55
23	327	162	26	55
24	330	162	25	52
25	329	163	25	52
26	326	160	26	55
27	326	160	26	55
28	326	158	28	57
29	326	156	29	60
30	325	157	29	60
31	325	157	29	60
32	324	154	29	60
33	329	154	29	60
34	331	151	28	57
35	331	152	28	57
36	330	153	28	57
37	329	154	28	57
38	330	153	29	60
39	331	152	29	60
40	331	150	30	63
41	331	151	30	63
42	330	154	29	60
43	329	153	29	60
44	331	152	29	60
45	330	150	30	63
46	329	150	30	63
47	328	151	30	63
48	327	151	30	63
49	328	154	29	60
50	329	153	29	60
51	330	153	29	60
52	330	155	29	60
53	331	155	29	60
54	330	154	30	63
55	333	152	30	63
56	333	151	30	63
57	333	152	30	63
58	333	152	30	63
59	332	152	32	66
60	332	150	32	66
61	333	149	32	66
62	333	149	32	66
63	330	150	32	66
64	328	151	32	66
65	328	151	30	63
66	328	152	29	60
67	326	152	29	60
68	322	150	29	60
69	320	150	30	63
70	319	151	30	63
71	320	151	30	63
72	321	150	32	66
73	320	150	32	66
74	321	151	32	66
75	322	151	32	66
76	323	151	30	63
77	322	152	30	63
78	321	152	30	63
79	319	151	32	66
80	317	150	34	70
81	318	150	34	70
82	321	150	34	70
83	321	150	34	70
84	320	151	34	70
85	319	151	34	70
86	319	152	34	70
87	321	148	34	70
88	320	149	34	70
89	319	148	35	73
90	319	149	35	73
91	319	149	35	73
92	320	149	35	73
93	323	149	35	73
94	325	149	35	73
95	325	148	35	73
96	326	149	35	73
97	328	149	35	73
98	331	147	35	73
99	331	147	35	73
100	332	147	35	73
101	331	147	35	73
102	331	149	35	73
103	332	148	35	73
104	332	148	35	73
105	332	148	35	73
106	334	148	35	73
107	335	147	35	73
108	336	145	35	73
109	337	146	35	73
110	338	148	35	73
111	339	148	35	73
112	340	150	35	73
113	341	151	35	73
114	345	151	35	73
115	348	150	35	73
116	349	151	35	73
117	352	150	35	73
118	355	149	37	77
119	359	149	37	77
120	359	148	37	77
121	359	149	37	77
122	359	150	37	77
123	360	149	37	77
124	360	148	37	77
125	360	146	39	81
126	358	147	39	81
127	359	148	39	81
128	359	147	39	81
129	362	149	37	77
130	362	150	37	77
131	362	151	37	77
132	364	153	37	77
133	365	153	39	81
134	368	154	39	81
135	370	153	39	81
136	371	153	39	81
137	372	152	39	81
138	372	152	41	85
139	372	151	41	85
140	378	152	41	85
141	380	153	41	85
142	381	154	41	85
143	382	156	41	85
144	382	158	41	85
145	384	158	41	85
146	386	160	41	85
147	393	161	41	85
148	395	161	41	85
149	398	161	41	85
150	399	158	41	85
151	401	157	41	85
152	402	157	41	85
153	403	157	41	85
154	403	158	41	85
155	403	159	41	85
156	404	158	41	85
157	405	159	39	81
158	405	160	39	81
159	406	160	39	81
160	405	159	41	85
161	405	155	43	89
162	407	154	43	89
163	406	155	43	89
164	406	157	43	89
165	409	160	41	85
166	411	162	41	85
167	416	160	41	85
168	419	161	41	85
169	426	160	43	89
170	434	163	41	85
171	436	162	41	85
172	440	160	41	85
173	445	158	41	85
174	447	158	41	85
175	449	158	41	85
176	451	158	41	85
177	452	157	41	85
178	453	153	41	85
179	455	152	41	85
180	458	151	41	85
181	458	151	41	85
182	458	149	43	89
183	458	147	43	89
184	459	147	43	89
185	461	152	41	85
186	460	154	41	85
187	462	156	41	85
188	462	156	41	85
189	461	155	41	85
190	461	153	43	89
191	461	153	45	93
192	458	158	45	93
193	456	153	45	93
194	454	152	45	93
195	452	154	45	93
196	448	155	45	93
197	447	156	45	93
198	447	156	45	93
199	446	154	45	93
200	446	156	45	93
201	447	154	45	93
202	447	154	45	93
203	448	154	45	93
204	447	152	45	93
205	449	148	43	89
206	449	148	43	89
207	450	150	41	85
208	448	150	41	85
209	448	150	41	85
210	446	148	41	85
211	445	148	41	85
212	445	146	41	85
213	443	144	43	89
214	442	148	43	89
215	441	149	43	89
216	441	146	43	89
217	441	138	43	89
218	441	142	43	89
219	441	143	43	89
220	442	144	43	89
221	442	148	41	85
222	443	149	39	81
223	443	146	39	81
224	445	145	39	81
225	446	146	39	81
226	445	146	39	81
227	446	143	39	81
228	446	141	39	81
229	447	137	39	81
230	448	138	39	81
231	449	139	37	77
232	449	141	37	77
233	450	143	37	77
234	451	142	37	77
235	453	140	37	77
236	458	140	37	77
237	462	139	37	77
238	467	138	37	77
239	471	137	37	77
240	484	132	37	77
241	490	128	39	81
242	496	126	39	81
243	503	125	39	81
244	508	126	39	81
245	514	126	39	81
246	516	124	39	81
247	520	121	39	81
248	523	120	39	81
249	526	122	37	77
250	527	120	37	77
251	526	121	37	77
252	525	117	37	77
253	526	109	39	81
254	526	109	39	81
255	523	108	41	85
256	520	113	39	81
257	518	114	39	81
258	515	113	39	81
259	514	115	37	77
260	512	115	37	77
261	511	116	35	73
262	507	115	37	77
263	507	111	37	77
264	503	107	37	77
265	503	109	37	77
266	501	105	37	77
267	497	106	37	77
268	495	107	37	77
269	494	107	37	77
270	493	105	37	77
271	491	102	37	77
272	486	100	37	77
273	485	97	37	77
274	484	92	37	77
275	481	90	37	77
276	481	85	37	77
277	481	85	37	77
278	481	85	37	77
279	480	84	37	77
280	481	86	37	77
281	481	86	37	77
282	481	84	37	77
283	481	82	37	77
284	481	82	37	77
285	481	81	37	77
286	481	79	39	81
287	483	82	37	77
288	484	81	37	77
289	486	80	37	77
290	486	76	37	77
291	487	75	37	77
292	487	75	37	77
293	487	76	37	77
294	486	78	37	77
295	485	79	37	77
296	484	78	37	77
297	482	80	37	77
298	480	80	37	77
299	478	79	37	77
300	476	79	37	77
301	474	77	37	77
302	471	78	35	73
303	467	78	35	73
304	461	79	35	73
305	457	82	34	70
306	452	85	34	70
307	448	87	34	70
308	443	88	34	70
309	439	88	34	70
310	437	90	35	73
311	435	92	35	73
312	433	92	35	73
313	429	91	37	77
314	428	89	37	77
315	428	88	37	77
