frame	PSR
2	4.74948
3	2.7407
4	2.51959
5	2.57141
6	3.04978
7	3.6063
8	3.71159
9	3.04199
10	4.28268
11	3.17957
12	1.9892
13	2.81197
14	3.78245
15	3.9333
16	4.00302
17	3.93125
18	3.1541
19	3.60072
20	3.7047
21	4.04535
22	4.05366
23	4.29454
24	4.68625
25	4.17881
26	4.5024
27	4.4955
28	4.41899
29	4.12218
30	4.57213
31	4.5361
32	4.31667
33	4.58583
34	4.30521
35	4.57528
36	4.12883
37	4.77921
38	4.29859
39	4.75944
40	4.42238
41	5.03287
42	4.83461
43	4.65805
44	5.01984
45	4.70306
46	4.8888
47	4.26216
48	4.47094
49	4.3157
50	4.79939
51	5.01945
52	4.9206
53	4.42418
54	4.42707
55	5.03933
56	4.69127
57	4.86506
58	4.91575
59	5.11241
60	5.23804
61	4.81142
62	4.71073
63	5.19657
64	5.16999
65	5.10767
66	5.14432
67	5.07125
68	5.26522
69	5.18679
70	5.30182
71	4.8152
72	5.19174
73	4.68157
74	5.14602
75	5.02234
76	5.23889
77	5.09073
78	5.14011
79	5.17419
80	5.14181
81	4.74984
82	5.28096
83	5.25846
84	5.08582
85	5.06398
86	5.26617
87	5.1328
88	5.35466
89	5.11393
90	5.35548
91	5.17101
92	5.35396
93	5.35806
94	4.76536
95	5.12158
96	5.44288
97	5.24458
98	5.40083
99	5.33298
100	5.26568
101	5.06164
102	5.22562
103	4.5817
104	4.79506
105	5.07914
106	5.16206
107	4.79374
108	5.03063
109	4.8212
110	4.29106
111	4.95535
112	4.9227
113	4.95642
114	5.22301
115	4.97713
116	5.07525
117	4.70724
118	5.24325
119	4.83304
120	4.91778
121	5.00128
122	4.65685
123	4.90498
124	5.03551
125	5.22731
126	5.23024
127	5.33192
128	5.01257
129	5.04022
130	4.97792
131	5.36318
132	5.49249
133	5.42177
134	5.0039
135	4.85738
136	4.56444
137	5.30159
138	5.41218
139	4.9521
140	5.27386
141	4.98897
142	5.13198
143	5.08585
144	5.57954
145	5.30414
146	5.31546
147	5.45839
148	5.15377
149	5.41388
150	5.06664
151	5.40681
152	5.5389
153	5.15746
154	4.90993
155	5.23429
156	4.98025
157	5.06685
158	5.06944
159	4.76245
160	4.81674
161	5.16636
162	5.27277
163	4.68974
164	4.83294
165	4.81672
166	4.43511
167	4.84073
168	5.07972
169	4.50605
170	4.96738
171	4.86309
172	4.78211
173	4.16056
174	4.6222
