frame	ave_fps
2	65.1694
3	64.4194
4	55.9318
5	56.3815
6	58.074
7	62.9467
8	67.8284
9	70.6318
10	74.0491
11	76.347
12	78.9649
13	80.492
14	82.5366
15	83.4834
16	85.3813
17	86.3549
18	87.8234
19	87.5495
20	87.7227
21	86.5082
22	87.0748
23	88.1907
24	88.5753
25	89.6627
26	90.131
27	91.0582
28	91.3737
29	91.9182
30	92.1322
31	93.0017
32	93.2234
33	93.9148
34	94.1228
35	94.7562
36	94.9779
37	95.708
38	95.9228
39	96.498
40	96.7454
41	96.9334
42	97.0566
43	97.609
44	97.7432
45	98.1515
46	98.1216
47	98.6369
48	98.6647
49	99.0725
50	98.8365
51	99.2796
52	99.1925
53	99.6164
54	99.6303
55	99.7042
56	99.3912
57	99.3988
58	98.9568
59	99.1735
60	99.1581
61	99.4706
62	99.4695
63	99.8315
64	99.7771
65	100.137
66	99.7252
67	99.9796
68	99.9357
69	100.225
70	100.134
71	100.421
72	100.43
73	100.722
74	100.654
75	100.937
76	100.834
77	101.129
78	101.129
79	101.366
80	101.326
81	101.581
82	101.565
83	101.844
84	101.696
85	101.954
86	101.899
87	102.107
88	102.104
89	102.32
90	102.262
91	102.379
92	102.4
93	102.505
94	102.41
95	102.513
96	102.516
97	102.724
98	102.697
99	102.886
100	102.883
101	103.036
102	102.982
103	103.18
104	103.14
105	103.315
106	103.343
107	103.49
108	103.492
109	103.661
110	103.645
111	103.797
112	103.26
113	103.436
114	103.371
115	103.525
116	103.447
117	103.597
118	103.565
119	103.712
120	103.684
121	103.85
122	103.855
123	104.013
124	103.913
125	104.065
126	104.024
127	104.146
128	104.16
129	104.281
130	104.031
131	104.159
132	104.02
133	104.048
134	104.065
135	104.198
136	104.141
137	104.263
138	104.265
139	104.375
140	104.334
141	104.198
142	104.155
143	104.276
144	104.27
145	104.392
146	104.311
147	104.392
148	104.317
149	104.447
150	104.38
151	104.503
152	104.43
153	104.553
154	104.626
155	104.744
156	104.753
157	104.733
158	104.847
159	104.717
160	104.69
161	104.801
162	104.746
163	104.85
164	104.768
165	104.852
166	104.852
167	104.934
168	104.691
169	104.785
170	104.695
171	104.788
172	104.786
173	104.892
174	104.877
