frame	x	y	width	height
1	201	48	82	63
2	168	61	89	69
3	126	86	97	79
4	102	90	95	91
5	76	87	96	99
6	59	94	83	100
7	65	115	64	91
8	63	126	73	93
9	64	134	98	96
10	109	156	83	62
11	134	130	94	83
12	168	114	92	95
13	217	121	73	85
14	251	127	63	82
15	258	118	96	104
16	287	126	98	85
17	301	127	103	90
18	293	119	102	107
19	312	130	77	93
20	327	128	90	103
21	355	136	96	102
22	370	151	96	89
23	380	175	83	67
24	384	186	74	60
25	382	173	83	75
26	370	149	86	92
27	352	137	70	85
28	324	127	72	78
29	286	114	85	88
30	270	123	82	81
31	264	136	80	69
32	267	150	65	59
33	249	150	64	54
34	226	143	73	67
35	213	140	68	67
36	202	135	63	68
37	191	138	50	58
38	182	138	48	56
39	176	132	54	62
40	178	125	63	65
41	183	117	63	60
42	191	126	60	51
43	198	140	51	42
44	206	136	61	57
45	223	134	60	56
46	242	142	54	45
47	257	137	54	54
48	286	145	40	49
49	300	144	46	52
50	309	144	55	56
51	307	142	58	54
52	310	146	52	51
53	321	140	51	50
54	337	139	38	50
55	338	156	21	46
56	342	163	22	43
57	350	160	27	44
58	343	158	31	45
59	337	156	39	52
60	332	154	42	47
61	330	149	46	49
62	333	150	44	48
63	333	152	38	48
64	333	156	36	48
65	311	154	63	54
66	309	158	68	54
67	309	161	72	51
68	310	162	67	51
69	330	164	42	48
70	331	168	36	50
71	332	173	31	45
72	323	165	41	55
73	318	163	48	51
74	306	160	68	49
75	306	164	69	48
76	310	161	57	51
77	334	167	28	48
78	333	168	30	49
79	322	174	32	46
80	312	176	31	51
81	293	174	35	55
82	277	173	33	48
83	251	175	42	48
84	235	170	42	51
85	233	166	42	52
86	236	163	42	51
87	249	160	39	54
88	257	152	52	51
89	275	153	55	48
90	300	162	37	45
91	308	161	55	59
92	324	166	46	49
93	332	159	55	57
94	340	155	53	44
95	339	154	60	49
96	344	152	57	64
97	375	165	26	52
98	383	174	42	54
99	404	175	32	53
100	417	178	23	56
101	392	180	45	56
102	374	179	46	57
103	356	174	48	67
104	343	185	39	59
105	287	181	29	58
106	263	188	27	59
107	241	185	24	57
108	218	179	30	61
109	187	181	41	59
110	166	191	40	63
111	163	196	46	62
112	165	202	48	62
113	174	207	53	63
114	194	207	51	68
115	218	214	55	66
116	248	222	39	64
117	276	219	39	70
118	296	217	62	69
119	318	211	61	65
120	317	215	60	60
121	322	208	43	80
122	337	213	28	82
123	341	208	29	85
124	337	190	49	83
125	326	184	66	86
126	303	177	86	96
127	292	182	99	84
128	288	198	100	75
129	282	200	106	77
130	281	200	93	78
131	307	200	60	82
132	320	197	32	81
133	315	201	35	80
134	309	199	45	80
135	301	189	58	85
136	294	177	79	86
137	304	191	74	73
138	299	186	79	72
139	301	184	74	72
140	298	183	72	75
141	299	179	60	68
142	281	173	71	64
143	275	166	68	61
144	276	162	51	62
145	271	155	53	67
146	291	155	38	60
147	303	158	30	58
148	288	155	40	56
149	295	156	33	54
150	292	162	40	49
151	288	159	39	54
152	275	162	49	57
153	265	159	53	59
154	270	157	47	51
155	280	156	41	48
156	285	153	35	47
157	332	139	40	49
158	339	137	54	60
159	377	164	56	39
160	382	138	53	61
161	372	132	74	74
162	382	155	56	47
163	376	164	70	54
164	370	182	72	57
165	367	181	65	48
166	370	177	65	50
167	359	166	75	64
168	352	161	79	71
169	354	160	83	75
170	361	159	85	80
171	361	150	89	87
172	350	143	83	88
173	356	146	70	80
174	373	151	93	100
175	392	158	104	105
