frame	x	y	width	height
2	174	65	82	63
3	164	94	82	63
4	142	116	82	63
5	146	125	82	63
6	126	133	82	63
7	112	149	82	63
8	113	157	86	66
9	106	161	86	66
10	109	150	86	66
11	139	151	86	66
12	121	155	86	66
13	106	146	86	66
14	123	143	86	66
15	139	152	82	63
16	148	153	82	63
17	139	158	82	63
18	117	161	82	63
19	96	162	78	60
20	90	158	78	60
21	84	158	78	60
22	78	165	74	57
23	69	170	78	60
24	69	178	78	60
25	73	185	78	60
26	80	188	78	60
27	78	185	78	60
28	76	179	78	60
29	71	186	78	60
30	72	193	78	60
31	81	196	78	60
32	91	199	78	60
33	83	197	78	60
34	70	200	78	60
35	60	199	78	60
36	46	194	78	60
37	29	194	78	60
38	19	197	82	63
39	18	196	82	63
40	18	190	82	63
41	19	189	82	63
42	18	192	82	63
43	14	201	82	63
44	14	209	82	63
45	20	209	82	63
46	29	212	82	63
47	42	214	82	63
48	62	221	82	63
49	76	217	82	63
50	83	216	82	63
51	75	216	82	63
52	60	216	82	63
53	58	211	82	63
54	61	216	82	63
55	52	225	82	63
56	51	231	82	63
57	62	230	82	63
58	65	231	82	63
59	66	230	82	63
60	66	230	82	63
61	67	227	82	63
62	66	223	82	63
63	66	224	82	63
64	66	225	82	63
65	67	227	82	63
66	67	227	82	63
67	68	230	82	63
68	69	231	82	63
69	69	230	82	63
70	69	229	82	63
71	73	232	82	63
72	75	232	82	63
73	74	228	82	63
74	76	228	82	63
75	79	230	82	63
76	78	231	82	63
77	80	230	82	63
78	82	229	82	63
79	84	230	82	63
80	86	229	82	63
81	86	225	82	63
82	86	226	82	63
83	87	227	82	63
84	86	225	82	63
85	86	223	82	63
86	85	223	82	63
87	87	222	82	63
88	87	222	82	63
89	90	223	82	63
90	91	224	82	63
91	92	223	82	63
92	93	223	82	63
93	95	223	82	63
94	96	220	82	63
95	96	218	82	63
96	97	218	82	63
97	99	217	82	63
98	98	217	82	63
99	99	217	82	63
100	101	218	82	63
101	104	218	82	63
102	113	217	82	63
103	126	215	82	63
104	136	219	78	60
105	134	212	78	60
106	132	218	78	60
107	130	212	78	60
108	130	210	78	60
109	127	212	78	60
110	114	218	78	60
111	111	219	78	60
112	109	221	78	60
113	107	222	78	60
114	99	221	78	60
115	95	219	78	60
116	83	219	82	63
117	71	221	82	63
118	70	221	82	63
119	62	219	82	63
120	49	219	82	63
121	43	219	82	63
122	51	215	82	63
123	66	213	82	63
124	83	211	82	63
125	90	211	82	63
126	90	210	82	63
127	91	210	82	63
128	91	213	82	63
129	92	215	82	63
130	88	218	78	60
131	87	216	78	60
132	87	215	78	60
133	87	215	78	60
134	89	215	78	60
135	91	212	78	60
136	97	207	78	60
137	97	209	78	60
138	98	209	78	60
139	101	210	78	60
140	103	210	78	60
141	105	209	78	60
142	102	208	78	60
143	100	204	78	60
144	98	204	78	60
145	97	202	78	60
146	96	201	78	60
147	97	200	78	60
148	97	198	78	60
149	96	197	78	60
150	98	198	78	60
151	99	198	78	60
152	99	198	78	60
153	101	197	78	60
154	103	196	78	60
155	104	194	78	60
156	100	194	78	60
157	141	185	78	60
158	150	184	78	60
159	174	181	78	60
160	179	178	78	60
161	187	176	78	60
162	194	176	78	60
163	201	179	78	60
164	228	188	78	60
165	234	185	78	60
166	248	182	74	57
167	255	178	74	57
168	261	176	74	57
169	271	172	74	57
170	287	166	74	57
171	301	159	74	57
172	312	160	71	54
173	326	155	71	54
174	338	156	71	54
