frame	PSR
2	4.81157
3	3.47193
4	3.7725
5	3.79633
6	3.39557
7	3.36626
8	4.19047
9	3.00851
10	4.22867
11	5.08159
12	5.73868
13	3.01416
14	2.98296
15	4.1189
16	3.95774
17	4.34404
18	2.67833
19	4.41959
20	2.99272
21	2.92963
22	3.10952
23	4.16045
24	3.85465
25	4.63692
26	4.39876
27	5.6476
28	3.55454
29	3.60975
30	3.72398
31	3.70355
32	3.61484
33	3.64152
34	3.96039
35	3.54821
36	3.46489
37	4.05709
38	4.09075
39	3.57163
40	4.10566
41	5.09127
42	2.93614
43	3.73063
44	2.60039
45	2.58244
46	2.58706
47	4.0748
48	2.37993
49	2.92116
50	2.66455
51	2.83547
52	2.95196
53	1.89941
54	2.72187
55	3.05569
56	3.18329
57	2.97985
58	3.01284
59	3.1768
60	2.58219
61	2.89555
62	3.0179
63	2.96197
64	3.31721
65	3.44217
66	3.49058
67	3.2365
68	3.43764
69	3.90904
70	3.38002
71	3.17783
72	2.83747
73	3.52475
74	2.96233
75	3.11114
76	3.77897
77	2.86517
78	2.59605
79	2.9123
80	4.28237
81	2.75557
82	2.84631
83	3.02978
84	3.11814
85	3.01716
86	3.38192
87	3.43074
88	3.38449
89	3.26014
90	3.10339
91	2.73383
92	2.65596
93	3.15464
94	2.87426
95	3.27578
96	3.39531
97	4.03788
98	2.43644
99	2.42448
100	2.63445
101	2.84247
102	3.14044
103	2.92974
104	2.73052
105	4.30044
106	2.9268
107	3.2975
108	3.62014
109	3.3946
110	3.16674
111	3.48476
112	3.29974
113	3.45593
114	3.24216
115	3.48517
116	3.20451
117	2.96365
118	3.15176
119	3.52706
120	3.06885
121	3.10101
122	2.52874
123	2.29153
124	2.96317
125	2.67959
126	3.25677
127	3.03669
128	2.92358
129	2.8369
130	2.97441
131	3.24539
132	3.34707
133	3.65975
134	3.32401
135	3.34988
136	3.14077
137	3.13876
138	3.07839
139	3.05763
140	2.90255
141	2.78069
142	2.79839
143	3.24408
144	3.90304
145	3.59285
146	3.42696
147	3.34202
148	3.69594
149	3.22628
150	3.85004
