frame	ave_fps
2	41.9456
3	46.4946
4	37.5821
5	31.4275
6	33.9192
7	29.8582
8	29.5857
9	31.2953
10	31.6059
11	32.5684
12	33.9894
13	33.7893
14	34.0993
15	36.0355
16	37.9894
17	39.8876
18	41.7319
19	43.4468
20	45.0892
21	46.7317
22	48.4176
23	49.9734
24	51.1467
25	52.554
26	53.7528
27	55.1054
28	56.2764
29	57.5803
30	58.7573
31	59.8985
32	60.9333
33	61.979
34	62.4466
35	62.0463
36	62.1505
37	62.2354
38	62.6085
39	62.4145
40	62.9555
41	63.4997
42	64.2461
43	65.0759
44	65.6617
45	66.5014
46	67.3747
47	68.2665
48	69.1307
49	70.0148
50	70.8421
51	71.6883
52	72.4845
53	73.3131
54	74.0876
55	74.8746
56	75.5203
57	76.2254
58	76.9819
59	77.6044
60	78.327
61	78.95
62	79.6477
63	80.2761
64	80.9631
65	81.4993
66	82.1152
67	82.5595
68	83.1665
69	83.6818
70	84.3295
71	84.88
72	85.5084
73	86.0508
74	86.6499
75	87.1766
76	87.7818
77	88.2777
78	88.8364
79	89.3054
80	89.8514
81	90.2591
82	90.7376
83	91.2093
84	91.752
85	92.157
86	92.6694
87	92.3899
88	92.8032
89	92.5534
90	92.7183
91	93.1954
92	93.682
93	94.1412
94	94.585
95	95.0421
96	95.5219
97	95.9585
98	96.4218
99	96.848
100	93.9134
101	93.4072
102	92.7506
103	92.9419
104	91.2305
105	90.9054
106	91.0989
107	91.297
108	91.3762
109	91.4392
110	89.9993
111	89.5022
112	89.2892
113	89.1381
114	89.1213
115	89.132
116	88.7405
117	88.5528
118	86.1357
119	86.231
120	86.3895
121	86.7219
122	86.9803
123	87.3018
124	87.5751
125	87.7836
126	87.9928
127	88.2864
128	88.5982
129	88.8393
130	89.1255
131	89.4126
132	89.737
133	90.0146
134	90.2611
135	89.7831
136	89.6905
137	89.507
138	89.4359
139	89.5114
140	89.2162
141	89.3007
142	89.2979
143	89.6188
144	89.8715
145	90.1813
146	90.463
147	90.7763
148	90.6745
149	90.6274
150	90.9127
