frame	x	y	width	height
1	137	336	56	99
2	138	331	60	104
3	131	323	68	104
4	127	330	79	95
5	124	337	86	84
6	123	352	94	58
7	130	356	90	46
8	125	326	95	92
9	124	315	86	68
10	125	272	72	103
11	133	254	65	118
12	139	245	60	112
13	143	241	61	114
14	144	227	60	120
15	141	234	69	100
16	137	236	94	87
17	136	258	127	61
18	145	273	105	50
19	157	260	82	66
20	163	240	78	80
21	171	223	73	75
22	159	207	100	60
23	139	179	118	64
24	145	155	97	80
25	165	131	69	105
26	173	128	58	114
27	177	131	58	111
28	182	135	58	108
29	179	135	67	106
30	182	131	62	110
31	182	134	68	109
32	187	134	63	104
33	186	132	68	104
34	187	131	72	107
35	189	141	76	96
36	185	152	93	78
37	183	153	114	77
38	181	162	126	69
39	181	174	130	65
40	185	182	116	58
41	200	192	101	56
42	210	180	90	71
43	223	173	71	73
44	227	156	69	81
45	216	143	93	80
46	212	122	103	82
47	216	95	95	85
48	232	73	72	104
49	246	58	53	111
50	259	60	43	107
51	245	55	64	106
52	239	77	85	76
53	244	50	126	110
54	243	69	132	96
55	281	86	59	82
56	282	65	62	95
57	282	51	65	93
58	263	34	92	72
59	251	9	108	70
60	253	3	104	54
61	271	1	49	59
62	280	2	40	56
63	276	2	45	57
64	276	2	43	59
65	273	1	45	60
66	268	0	55	60
67	268	0	50	63
68	266	2	51	66
69	266	2	49	73
70	266	4	51	76
71	262	0	52	83
72	254	1	58	82
73	253	1	60	84
74	256	2	59	87
75	253	3	62	88
76	255	3	62	90
77	253	3	65	87
78	249	0	74	86
79	253	3	75	85
80	249	0	91	87
81	251	6	99	87
82	251	11	103	82
83	247	12	112	82
84	246	18	123	72
85	246	20	127	77
86	239	22	134	77
87	243	22	124	75
88	227	24	126	87
89	232	28	120	81
90	234	28	127	83
91	245	25	112	89
92	255	44	93	50
93	255	45	95	58
94	262	42	92	63
95	258	37	99	70
96	265	36	87	65
97	271	32	88	67
98	268	28	90	64
99	266	24	96	56
100	263	19	102	56
101	258	12	105	50
102	258	2	109	54
103	262	5	100	51
104	271	1	81	54
105	268	4	84	48
106	278	2	68	55
107	278	2	68	61
108	280	2	62	61
109	278	0	57	67
110	279	5	57	71
111	279	5	54	69
112	280	2	53	75
113	281	5	47	75
114	278	3	50	83
115	277	5	51	85
116	278	4	48	86
117	277	4	50	93
118	277	5	50	95
119	276	5	56	100
120	279	6	51	101
121	279	12	57	101
122	275	10	62	108
123	271	14	69	114
124	272	18	70	108
125	275	32	78	98
126	268	32	82	100
127	266	41	92	94
128	267	48	94	93
129	268	61	90	85
130	266	71	100	78
131	263	73	108	79
132	266	83	104	74
133	263	93	113	71
134	252	82	121	106
135	263	98	112	96
136	260	86	124	128
137	267	80	124	125
138	306	77	61	101
139	313	82	52	105
140	319	92	51	104
141	320	98	52	108
142	327	106	49	109
143	324	107	56	115
144	321	121	68	105
145	319	130	76	105
146	316	132	88	106
147	320	135	82	106
148	322	144	76	101
149	320	148	80	101
150	327	146	74	104
151	331	152	67	98
