frame	x	y	width	height
2	137	332	59	104
3	133	329	59	104
4	126	332	56	99
5	125	331	56	99
6	120	315	56	99
7	118	293	59	104
8	115	277	59	104
9	121	263	56	99
10	121	266	56	99
11	130	247	56	99
12	140	242	53	94
13	144	242	53	94
14	138	253	51	90
15	137	244	53	94
16	137	241	53	94
17	135	237	53	94
18	136	221	51	90
19	143	207	53	94
20	143	186	56	99
21	147	169	56	99
22	145	152	56	99
23	143	154	56	99
24	146	137	56	99
25	158	138	53	94
26	167	133	56	99
27	177	137	53	94
28	178	140	53	94
29	178	144	53	94
30	180	146	53	94
31	181	152	53	94
32	182	152	53	94
33	181	148	53	94
34	182	151	51	90
35	181	152	51	90
36	179	152	51	90
37	178	153	51	90
38	177	151	53	94
39	179	151	51	90
40	177	146	51	90
41	183	137	53	94
42	184	140	53	94
43	196	130	53	94
44	188	115	53	94
45	182	83	53	94
46	179	57	51	90
47	197	66	51	90
48	191	63	48	86
49	191	66	48	86
50	191	69	48	86
51	189	72	46	81
52	187	70	46	81
53	179	62	46	81
54	181	71	46	81
55	172	75	48	86
56	173	80	46	81
57	172	82	44	78
58	174	84	42	74
59	175	84	42	74
60	178	78	42	74
61	181	78	42	74
62	175	86	42	74
63	170	86	42	74
64	168	86	42	74
65	167	91	40	70
66	166	90	42	74
67	165	90	40	70
68	158	87	42	74
69	156	85	44	78
70	155	83	46	81
71	157	86	44	78
72	158	84	44	78
73	159	85	44	78
74	160	85	44	78
75	160	81	44	78
76	163	81	42	74
77	164	87	40	70
78	164	87	38	67
79	164	88	38	67
80	168	92	40	70
81	168	89	40	70
82	166	89	40	70
83	165	88	40	70
84	162	90	42	74
85	162	90	44	78
86	164	87	42	74
87	169	96	42	74
88	168	94	42	74
89	168	95	40	70
90	171	95	40	70
91	174	101	38	67
92	175	102	38	67
93	175	101	38	67
94	176	108	36	64
95	176	110	36	64
96	174	109	36	64
97	175	103	36	64
98	176	109	36	64
99	174	110	36	64
100	174	111	36	64
101	173	109	36	64
102	168	88	38	67
103	166	88	38	67
104	169	89	36	64
105	173	95	36	64
106	171	92	34	61
107	171	95	34	61
108	171	96	34	61
109	172	93	34	61
110	172	93	36	64
111	169	92	36	64
112	169	91	36	64
113	171	88	36	64
114	170	89	36	64
115	168	88	36	64
116	170	90	34	61
117	171	89	34	61
118	169	90	34	61
119	168	89	34	61
120	171	93	34	61
121	171	95	34	61
122	170	89	34	61
123	171	90	34	61
124	173	94	34	61
125	172	91	34	61
126	171	89	36	64
127	171	90	36	64
128	171	89	36	64
129	170	91	36	64
130	171	91	36	64
131	173	94	34	61
132	172	93	34	61
133	173	93	34	61
134	172	96	34	61
135	173	95	34	61
136	172	95	34	61
137	172	95	34	61
138	172	95	34	61
139	170	94	34	61
140	171	95	34	61
141	170	93	34	61
142	170	90	34	61
143	170	92	34	61
144	170	92	34	61
145	170	91	34	61
146	171	95	34	61
147	172	95	34	61
148	172	95	34	61
149	171	95	34	61
150	170	92	36	64
