frame	PSR
2	4.86298
3	4.65085
4	4.58877
5	4.75774
6	4.65423
7	4.83542
8	4.97212
9	3.97298
10	3.83953
11	2.18418
12	4.21035
13	4.33788
14	4.50035
15	4.62142
16	4.58522
17	4.62339
18	4.52074
19	4.32415
20	4.15199
21	4.48785
22	4.16042
23	3.73126
24	4.0132
25	4.78672
26	4.57757
27	4.41753
28	4.43747
29	4.32818
30	4.54906
31	4.75563
32	4.05829
33	4.70011
34	4.34507
35	4.42796
36	4.40782
37	4.37406
38	4.42879
39	4.56603
40	4.84189
41	4.32144
42	4.48786
43	4.24534
44	4.3205
45	4.72433
46	4.4907
47	4.39503
48	4.76784
49	4.43431
50	4.44561
51	4.58678
52	4.35723
53	4.66601
54	4.60802
55	4.05018
56	4.64857
57	4.58202
58	3.95703
59	3.92794
60	4.56511
61	4.49044
62	4.27734
63	3.72147
64	3.977
65	4.19628
66	4.63972
67	4.41166
68	3.94918
69	4.08452
70	4.20738
71	4.81044
72	4.52017
73	4.53056
74	4.64661
75	4.614
76	4.67924
77	4.62742
78	4.11588
79	4.68804
80	4.24763
81	4.03746
82	4.31725
83	4.3072
84	4.41039
85	4.21395
86	4.53102
87	4.22037
88	4.11615
89	4.59206
90	4.70447
91	4.66086
92	4.53184
93	4.24829
94	4.17004
95	4.12298
96	4.47987
97	4.5905
98	4.46511
99	4.3306
100	4.19726
101	4.41636
102	4.56762
103	4.43165
104	4.35401
105	4.18756
106	4.51556
107	4.49575
108	3.70352
109	3.87306
110	4.17492
111	4.24672
112	4.33058
113	4.52017
114	4.23889
115	4.09947
116	4.47148
117	4.37282
118	4.4125
119	4.51699
120	4.15466
121	4.38534
122	4.58997
123	4.57735
124	4.42215
125	4.32578
126	4.52088
127	4.35553
128	4.69182
129	4.35792
130	4.46382
131	4.5098
132	4.52478
133	4.53696
134	4.29743
135	4.25626
136	4.68693
137	4.31767
138	4.25149
139	4.50258
140	3.97033
141	4.50796
142	4.40884
143	3.94465
144	4.13087
145	3.81499
146	3.4489
147	4.07892
148	4.0655
149	4.15445
150	4.04812
151	3.65246
152	3.62116
153	4.32798
154	4.39995
155	4.16905
156	4.23038
157	4.12398
158	3.99961
159	4.10146
160	4.37259
161	3.73168
162	3.55039
163	4.19044
164	4.31182
165	4.12128
166	4.07123
167	4.37045
168	4.14417
169	4.41208
170	4.15362
171	4.30643
172	4.08244
173	4.04732
174	4.3502
175	4.15547
176	4.36242
177	4.00586
178	4.17313
179	4.13884
180	4.34584
181	4.21456
182	3.76922
183	3.70066
184	4.32991
185	4.21899
186	3.97041
187	3.83316
188	4.48976
189	4.50815
190	4.28477
191	4.40815
192	3.79185
193	3.58998
194	4.27294
195	4.44122
196	4.4312
197	4.27861
198	4.17309
199	4.02305
200	3.8204
201	4.45638
202	4.4314
203	4.43326
204	4.23075
205	4.08365
206	4.35662
207	4.19919
208	4.15572
209	4.24593
210	4.39661
211	4.1682
212	4.28954
213	4.10297
214	4.4317
215	4.44635
216	4.23073
217	4.09513
218	4.30544
219	4.28576
220	4.52065
221	4.50184
222	4.28106
223	4.29362
224	4.27956
225	4.11584
226	4.01947
227	4.17161
228	4.12541
229	4.33401
230	4.41802
231	4.23047
232	4.11881
233	3.8314
234	4.31589
235	3.98807
236	4.34893
237	4.3966
238	4.25721
239	4.23168
240	3.9829
241	4.27947
242	4.10701
243	4.27774
244	4.30008
245	4.61291
246	4.10215
247	4.0301
248	4.46901
249	4.29492
250	4.39965
251	4.29099
252	4.48244
253	4.07314
254	4.46499
255	4.12407
256	4.38484
257	4.17921
258	4.42431
259	4.18962
260	4.16379
261	4.03068
262	4.20637
263	4.35656
264	4.2994
265	4.36449
266	4.61505
267	4.56681
268	4.43483
269	4.19234
270	4.34182
271	4.30038
272	4.12124
273	4.02831
274	4.19622
275	4.26318
276	4.60393
277	4.28499
278	4.2519
279	4.18034
280	4.41975
281	4.25864
282	4.61089
283	4.34295
284	4.37728
285	4.32446
286	4.27298
287	4.3341
288	4.28051
289	3.89167
290	4.26306
291	4.15103
292	4.42299
293	4.24268
294	4.1067
295	4.11861
296	4.30068
297	4.46003
298	4.45029
299	4.05431
300	4.37498
301	4.62472
302	4.41903
303	4.34192
304	4.25413
305	4.37383
306	4.04465
307	4.43895
308	4.23317
309	4.51978
310	4.20632
311	4.45434
312	4.28994
313	4.14474
314	4.07179
315	4.14388
316	4.22837
317	4.24589
318	4.2029
319	4.11395
320	4.21545
321	4.2857
322	4.43648
323	4.22959
324	4.55149
325	4.29628
326	4.22018
327	4.47535
328	4.12103
329	4.41756
330	4.14034
331	4.24611
332	4.12682
333	4.18334
334	4.15615
335	4.61821
336	4.35076
337	4.36811
338	4.29408
339	4.29453
340	4.25148
341	4.07131
342	4.43919
343	4.16124
344	4.22578
345	4.32172
346	4.18665
347	4.55077
348	4.49272
349	4.51122
350	4.30696
351	4.50251
352	4.22896
353	4.47686
354	4.27552
355	4.56569
356	4.2377
357	4.31611
358	4.48838
359	4.59632
360	4.54383
361	4.54014
362	4.39749
363	4.62017
364	4.35498
365	4.71782
366	4.57703
367	4.52568
368	4.37492
369	4.34154
370	4.41832
371	4.03662
372	4.37718
373	4.59701
374	4.16833
375	3.80406
376	4.11376
377	4.38398
378	4.42358
379	4.64789
380	4.36464
381	4.22798
382	4.13153
383	4.08778
384	4.07343
385	3.95677
386	4.46942
387	4.18951
388	4.67031
389	4.05661
390	4.36922
391	4.30513
392	4.53813
393	4.40727
394	4.45449
395	4.39699
396	4.51553
397	4.3265
398	4.38688
399	4.32552
400	4.60038
401	4.07811
402	3.67698
403	4.07665
404	4.25942
405	4.63014
406	4.1842
407	4.35916
408	4.23583
409	4.22529
410	4.4517
411	4.37619
412	4.50868
413	4.45749
414	4.21735
415	3.997
416	4.46637
417	4.61463
418	4.64536
419	4.16437
420	4.53504
421	4.51862
422	4.16307
423	4.03332
424	4.20106
425	4.29826
426	4.20881
427	4.30949
428	4.76915
429	3.73624
430	3.99404
431	4.36028
432	4.18461
433	4.09629
434	4.04995
435	4.15066
436	4.57554
437	4.03868
438	4.13923
439	4.1404
440	4.08681
441	4.2402
442	3.82108
443	4.19187
444	4.14661
445	4.30591
446	4.03862
447	4.47491
448	4.04838
449	4.33113
450	4.41751
451	3.89392
452	4.37639
453	4.3399
454	4.55541
455	4.19779
456	4.35602
457	4.67774
458	4.48639
459	4.49416
460	4.045
461	4.30973
462	3.70762
463	4.09176
464	4.45938
465	4.44284
466	4.37399
467	4.08858
468	4.2039
469	4.07904
470	4.24634
471	4.20274
472	4.35431
473	4.57638
474	3.8731
475	4.22954
476	4.1723
477	4.65084
478	4.53443
479	4.36448
480	4.04123
481	4.20326
482	4.20271
483	4.17644
484	4.07882
485	4.07104
486	4.00241
487	4.30747
488	4.5823
489	4.60162
490	4.43972
491	3.9858
492	4.23548
493	4.37812
494	4.11832
495	3.88817
496	4.29862
497	4.36773
498	4.26941
499	4.47628
500	4.44066
501	3.80331
502	4.08312
503	4.24412
504	4.02111
505	4.34114
506	4.39569
507	4.26664
508	3.80932
509	3.56279
510	3.66807
511	4.18472
512	4.08576
513	3.79214
514	3.97066
515	4.02512
516	3.6638
517	3.08249
518	3.98746
519	3.81072
520	3.34562
521	3.27259
522	3.50392
523	3.89111
524	3.84284
525	3.87347
526	3.94098
527	4.02971
528	4.03496
529	4.07737
530	4.38471
531	4.18091
532	3.92583
533	3.81525
534	4.23747
535	4.25714
536	4.04261
537	4.2296
538	4.32062
539	4.31153
540	3.80673
541	3.48431
542	3.81153
543	4.18887
544	4.18393
545	4.26495
546	4.17416
547	3.77247
548	3.94345
549	3.98143
550	3.95891
551	4.09466
552	4.21605
553	4.16727
554	3.86113
555	3.92758
556	4.37402
557	4.48605
558	4.18468
559	4.1653
560	3.79563
561	4.0834
562	4.07436
563	3.89088
564	4.16781
565	4.25847
566	4.06974
567	3.74587
568	4.33042
569	4.19561
570	3.93795
571	4.3145
572	3.74388
573	4.04341
574	3.9195
575	4.0865
576	4.43032
577	4.11635
578	3.98818
579	4.12667
580	4.21918
581	3.94807
582	4.23317
583	4.23781
584	4.0661
585	4.34623
586	4.23258
587	4.20522
588	4.20788
589	4.09366
590	4.22278
591	4.19569
592	4.10204
593	3.78528
594	4.59146
595	4.62229
596	3.91375
597	4.37359
598	4.5075
599	4.03747
600	4.03143
601	4.34018
602	4.23162
603	4.2006
604	3.94536
605	4.01537
606	4.3958
607	4.12628
608	4.17496
609	4.40796
610	4.28058
611	4.22172
612	4.19584
613	4.32713
614	4.44876
615	4.09533
616	4.29201
617	4.38962
618	4.20034
619	4.29728
620	4.30309
621	4.48017
622	4.14387
623	4.36499
624	4.29964
625	4.53527
626	4.11107
627	4.43582
628	4.21969
629	3.95806
630	4.41097
631	4.25776
632	4.08437
633	4.39895
634	4.11237
635	4.20982
636	3.91419
637	4.26894
638	4.31545
639	4.03888
640	4.01684
641	3.88455
642	4.25799
643	4.26567
644	3.93924
645	4.38557
646	4.23298
647	3.92784
648	4.29576
649	4.1673
650	4.30594
651	4.27742
652	4.21826
653	4.30236
654	4.22901
