frame	x	y	width	height
1	243	165	115	112
2	239	166	124	115
3	229	175	131	113
4	206	195	137	110
5	214	209	112	104
6	212	203	125	105
7	220	200	107	96
8	218	201	109	94
9	186	206	121	101
10	147	261	109	83
11	236	259	102	89
12	250	224	104	94
13	226	211	112	95
14	218	201	110	103
15	209	204	106	96
16	195	213	108	96
17	194	221	109	95
18	200	216	118	91
19	224	189	106	94
20	219	153	107	93
21	198	146	109	94
22	204	164	108	89
23	237	204	106	84
24	266	237	106	89
25	275	245	108	90
26	259	246	114	96
27	246	252	107	92
28	241	252	108	95
29	234	246	108	89
30	230	231	105	91
31	228	221	108	94
32	234	213	110	91
33	244	202	111	90
34	241	181	110	91
35	231	160	104	89
36	224	138	107	89
37	231	124	108	93
38	248	134	109	89
39	257	135	107	94
40	258	142	110	94
41	267	183	109	87
42	270	224	107	90
43	275	235	107	94
44	280	241	106	95
45	273	239	109	92
46	266	227	108	91
47	266	219	108	92
48	272	205	107	90
49	274	160	104	106
50	274	160	107	99
51	275	182	107	97
52	271	184	105	96
53	269	181	107	96
54	272	180	107	99
55	278	185	107	96
56	286	198	108	92
57	285	213	109	93
58	262	213	106	92
59	226	211	109	95
60	204	207	106	95
61	207	209	108	92
62	232	210	113	91
63	272	215	113	90
64	307	216	117	94
65	338	222	105	94
66	331	222	107	95
67	319	213	111	95
68	296	197	113	91
69	263	165	112	99
70	245	160	108	96
71	244	173	108	92
72	254	190	105	91
73	260	207	106	88
74	270	220	113	86
75	298	228	111	89
76	313	234	108	95
77	309	246	107	91
78	302	252	105	96
79	291	250	105	92
80	270	240	101	90
81	231	232	107	89
82	218	230	107	94
83	215	236	104	95
84	221	235	108	92
85	240	222	111	88
86	258	193	104	87
87	270	164	107	86
88	298	143	118	93
89	325	146	103	94
90	333	164	107	87
91	328	178	109	88
92	317	187	108	92
93	296	203	109	84
94	272	222	104	81
95	252	232	108	90
96	236	230	111	90
97	226	222	106	88
98	215	210	107	92
99	208	210	109	89
100	218	205	109	84
101	237	190	107	80
102	252	172	104	91
103	263	179	107	87
104	281	198	102	85
105	304	226	102	82
106	310	224	107	93
107	300	210	107	88
108	265	189	108	93
109	220	193	101	96
110	182	217	106	87
111	173	235	102	93
112	169	240	104	95
113	181	227	110	87
114	201	204	104	90
115	230	176	106	95
116	243	178	100	95
117	236	198	103	93
118	231	208	103	95
119	230	207	102	95
120	233	198	108	93
121	248	195	101	100
122	242	209	104	93
123	229	222	103	97
124	214	227	106	93
125	206	216	107	89
126	202	194	106	96
127	200	190	103	98
128	202	207	107	91
129	211	232	107	92
130	212	255	107	95
131	204	256	107	89
132	205	230	105	88
133	204	206	108	92
134	194	184	111	94
135	175	170	105	101
136	164	183	108	100
137	174	198	105	95
138	187	202	106	98
139	203	204	109	95
140	225	210	112	97
141	250	224	113	99
142	277	237	113	96
143	302	244	103	97
144	285	237	114	96
145	244	227	115	95
146	203	218	111	96
147	170	214	112	98
148	138	219	105	99
149	108	225	104	96
150	112	215	105	97
151	162	202	114	95
152	217	192	114	96
153	233	188	103	98
154	230	187	109	102
155	235	195	111	98
156	241	209	112	99
157	226	217	112	95
158	201	220	105	93
159	173	225	105	96
160	175	226	106	95
