frame	ave_fps
2	85.2047
3	73.2581
4	69.051
5	66.6753
6	69.9479
7	69.0261
8	66.1275
9	65.8669
10	65.246
11	65.2332
12	67.8518
13	70.4901
14	73.091
15	75.1492
16	77.3642
17	79.4445
18	81.2058
19	82.9668
20	84.4591
21	85.9701
22	87.4089
23	88.7077
24	89.9868
25	91.0773
26	92.12
27	92.9298
28	93.9143
29	94.8042
30	95.622
31	96.4427
32	97.2309
33	97.9497
34	98.7214
35	99.3018
36	99.9325
37	100.507
38	101.026
39	101.647
40	102.168
41	99.8977
42	100.4
43	100.948
44	101.377
45	101.851
46	102.381
47	102.531
48	102.999
49	103.054
50	103.446
51	103.856
52	104.196
53	104.584
54	104.953
55	105.263
56	105.459
57	105.759
58	106.062
59	106.413
60	106.665
61	106.968
62	107.294
63	107.548
64	107.828
65	108.092
66	108.306
67	108.571
68	108.679
69	108.75
70	108.891
71	108.709
72	108.934
73	108.993
74	109.242
75	109.5
76	109.586
77	109.817
78	109.995
79	110.189
80	110.417
81	110.57
82	110.763
83	110.948
84	111.064
85	111.234
86	111.451
87	111.556
88	111.727
89	111.871
90	111.996
91	112.178
92	112.341
93	111.231
94	111.38
95	111.547
96	111.721
97	111.875
98	112.002
99	112.085
100	112.217
101	112.359
102	112.483
103	112.592
104	112.744
105	111.833
106	110.931
107	110.03
108	109.185
109	108.328
110	108.086
111	108.187
112	108.16
113	108.32
114	108.43
115	108.588
116	108.715
117	108.852
118	109.012
119	108.197
120	107.32
121	107.317
122	107.442
123	107.467
124	107.571
125	107.733
126	107.792
127	107.916
128	108.034
129	108.109
130	108.233
131	108.372
132	108.497
133	108.643
134	108.765
135	108.866
136	108.995
137	109.116
138	109.215
139	109.343
140	109.459
141	109.578
142	109.696
143	109.82
144	109.925
145	110.053
146	110.125
147	110.238
148	110.34
149	110.438
150	110.549
151	110.658
152	110.685
153	110.774
154	110.797
155	110.367
156	110.463
157	110.558
158	110.664
159	110.761
160	110.868
161	110.952
162	110.987
163	111.093
164	109.973
165	110.061
166	110.141
167	110.232
168	110.339
169	110.415
170	110.517
171	110.619
172	110.674
173	110.781
174	110.883
175	110.961
176	111.06
177	111.138
178	111.201
179	111.287
180	111.369
181	111.432
182	111.526
183	111.598
184	111.667
185	111.755
186	111.838
187	111.9
188	111.982
189	112.043
190	112.091
191	112.17
192	112.227
193	112.295
194	112.378
195	112.242
196	112.296
197	112.315
198	112.38
199	112.434
200	112.475
201	112.554
202	112.62
203	112.69
204	112.768
205	112.801
206	112.876
207	112.938
208	112.996
209	113.046
210	113.108
211	113.167
212	113.234
213	113.286
214	113.352
215	113.419
216	113.475
217	113.545
218	113.553
219	113.612
220	113.68
221	113.724
222	113.785
223	113.854
224	113.899
225	113.959
226	114.019
227	114.077
228	114.119
229	114.121
230	114.179
231	114.213
232	114.268
233	114.318
234	114.352
235	114.39
236	114.411
237	114.458
238	114.489
239	114.379
240	114.422
241	114.424
242	114.474
243	114.517
244	114.571
245	114.619
246	114.654
247	114.713
248	114.755
249	114.808
250	114.863
251	114.899
252	114.941
253	114.981
254	115.023
255	115.08
256	115.11
257	115.163
258	115.215
259	115.251
260	115.299
261	115.324
262	115.373
263	115.423
264	115.445
265	115.496
266	115.533
267	115.576
268	115.618
269	115.647
270	115.672
271	115.708
272	115.731
273	115.773
274	115.812
275	115.83
276	115.87
277	115.902
278	115.948
279	115.984
280	116.012
281	116.052
282	116.077
283	116.062
284	115.957
285	115.896
286	115.933
287	115.967
288	116
289	116.031
290	116.068
291	116.108
292	116.129
293	116.168
294	116.112
295	116.133
296	116.166
297	116.175
298	116.208
299	116.247
300	116.268
301	116.292
302	116.322
303	116.346
304	116.373
305	116.405
306	116.438
307	116.468
308	116.487
309	116.52
310	116.549
311	116.582
312	116.612
313	116.634
314	116.668
315	116.696
316	116.73
317	116.754
318	116.783
319	116.81
320	116.843
321	116.87
322	116.897
323	116.906
324	116.936
325	116.969
326	116.967
327	116.988
328	116.961
329	116.968
330	117.004
331	117.021
332	116.576
333	116.133
334	116.157
335	116.18
336	116.211
337	116.14
338	116.163
339	116.2
340	116.198
341	116.231
342	116.255
343	116.276
344	116.271
345	116.293
346	116.331
347	116.361
348	116.388
349	116.424
350	116.443
351	116.468
352	116.5
353	116.524
354	116.542
355	116.573
356	116.152
357	116.114
358	116.092
359	116.065
360	116.021
361	116.047
362	116.073
363	116.057
364	116.027
365	116.003
366	115.972
367	115.957
368	115.909
369	115.933
370	115.953
371	115.977
372	116.008
373	116.024
374	116.056
375	116.079
376	116.11
377	116.14
378	116.165
379	116.133
380	116.132
381	116.106
382	116.038
383	115.971
384	115.984
385	115.777
386	115.79
387	115.821
388	115.843
389	115.865
390	115.892
391	115.912
392	115.937
