frame	x	y	width	height
2	73	128	30	23
3	74	127	30	23
4	75	128	30	23
5	76	127	30	23
6	77	127	30	23
7	78	127	30	23
8	79	126	30	23
9	79	127	30	23
10	80	126	30	23
11	80	126	30	23
12	80	126	30	23
13	81	126	30	23
14	81	124	31	24
15	82	125	30	23
16	83	125	30	23
17	83	124	30	23
18	82	124	31	24
19	83	123	31	24
20	84	123	31	24
21	85	124	30	23
22	86	124	30	23
23	87	124	30	23
24	87	124	30	23
25	88	124	30	23
26	88	124	30	23
27	88	125	30	23
28	88	125	30	23
29	89	125	30	23
30	90	125	30	23
31	90	125	30	23
32	90	124	30	23
33	91	125	30	23
34	91	125	30	23
35	91	124	30	23
36	92	125	29	22
37	93	125	29	22
38	92	125	29	22
39	93	125	29	22
40	93	126	29	22
41	93	126	29	22
42	94	126	29	22
43	94	126	29	22
44	94	127	29	22
45	95	128	29	22
46	95	128	29	22
47	95	128	29	22
48	96	129	29	22
49	96	129	29	22
50	96	129	29	22
51	96	130	29	22
52	97	130	29	22
53	97	129	29	22
54	97	129	29	22
55	97	129	29	22
56	97	128	30	23
57	97	129	30	23
58	98	128	30	23
59	98	128	30	23
60	98	128	30	23
61	98	128	30	23
62	99	128	30	23
63	99	128	30	23
64	99	127	30	23
65	99	128	30	23
66	99	127	30	23
67	99	127	30	23
68	99	127	30	23
69	100	127	30	23
70	100	127	30	23
71	100	127	30	23
72	100	127	30	23
73	101	127	30	23
74	101	127	30	23
75	101	127	30	23
76	102	127	30	23
77	102	127	30	23
78	101	127	30	23
79	102	127	30	23
80	102	127	30	23
81	102	127	30	23
82	103	127	30	23
83	102	127	30	23
84	103	126	30	23
85	103	127	30	23
86	103	127	30	23
87	103	127	30	23
88	103	127	30	23
89	103	127	30	23
90	103	127	30	23
91	103	127	30	23
92	103	127	30	23
93	103	127	30	23
94	103	127	30	23
95	103	127	30	23
96	103	126	30	23
97	104	127	30	23
98	104	127	30	23
99	104	126	30	23
100	104	127	30	23
101	104	127	30	23
102	104	127	30	23
103	104	126	30	23
104	104	127	30	23
105	105	127	30	23
106	105	126	30	23
107	105	127	30	23
108	105	127	30	23
109	105	126	30	23
110	105	127	30	23
111	105	126	30	23
112	105	126	30	23
113	105	127	30	23
114	105	126	30	23
115	105	126	30	23
116	105	126	30	23
117	105	126	30	23
118	105	126	30	23
119	105	126	30	23
120	105	125	30	23
121	105	125	30	23
122	105	125	30	23
123	105	125	30	23
124	105	125	30	23
125	105	124	30	23
126	105	125	30	23
127	105	125	30	23
128	105	124	30	23
129	105	125	30	23
130	105	124	30	23
131	105	125	30	23
132	105	125	30	23
133	105	125	30	23
134	105	125	30	23
135	105	125	30	23
136	105	125	30	23
137	105	126	30	23
138	105	125	30	23
139	105	125	30	23
140	105	125	30	23
141	105	125	30	23
142	106	125	30	23
143	105	125	30	23
144	105	124	30	23
145	105	125	30	23
146	105	124	30	23
147	105	125	30	23
148	105	124	30	23
149	105	125	30	23
150	105	124	30	23
151	105	124	30	23
152	105	125	30	23
153	105	124	30	23
154	105	125	30	23
155	105	124	30	23
156	105	124	30	23
157	105	125	30	23
158	105	124	30	23
