frame	PSR
2	6.60667
3	9.60651
4	7.18817
5	8.84978
6	7.94788
7	7.7586
8	7.50482
9	6.44242
10	6.85908
11	6.38456
12	5.96248
13	6.55704
14	6.21382
15	6.69947
16	6.65027
17	5.75302
18	6.72359
19	6.03976
20	5.25951
21	5.72674
22	6.02771
23	6.21079
24	5.05003
25	3.0358
26	4.26838
27	3.80789
28	3.64106
29	4.47972
30	4.16941
31	4.55553
32	4.37843
33	3.44078
34	5.06419
35	5.53739
36	4.28025
37	5.21288
38	5.14465
39	5.52457
40	5.25541
41	4.34482
42	4.76822
43	5.3373
44	5.30877
45	5.70202
46	5.69041
47	6.38033
48	6.52452
49	6.32081
50	6.80022
51	5.73886
52	6.34929
53	6.81208
54	6.1997
55	5.48543
56	5.46965
57	4.80031
58	6.13383
59	5.23663
60	5.49994
61	6.31565
62	6.01592
63	5.75819
64	6.31281
65	5.80851
66	5.92932
67	5.58106
68	6.18013
69	6.10231
70	5.77756
71	6.13904
72	6.40956
73	6.15826
74	6.14154
75	6.0069
76	6.65292
77	6.79639
78	6.23845
79	7.04623
80	6.90398
81	6.62371
82	6.17618
83	7.25797
84	7.1833
85	6.93201
86	7.11561
87	7.12893
88	6.93264
89	7.03005
90	6.02167
91	6.3542
92	6.14665
93	6.49335
94	6.46639
95	6.34724
96	6.4831
97	6.53122
98	6.68592
99	6.52884
100	6.52397
101	6.93091
102	5.89288
103	6.29739
104	6.02132
105	6.21054
106	5.98147
107	6.51485
108	6.72197
109	6.69996
110	6.96828
111	6.87152
112	6.876
113	6.85866
114	6.80542
115	7.15637
116	7.28414
117	6.99869
118	6.7872
119	6.78237
120	6.8715
121	6.32669
122	6.33911
123	6.27506
124	6.7815
125	6.64109
126	5.6337
127	4.30119
128	5.47636
129	5.5656
130	4.20057
