frame	ave_fps
2	78.6116
3	77.5125
4	77.3676
5	84.2564
6	81.5502
7	75.2349
8	74.4402
9	77.2332
10	80.7901
11	81.4606
12	79.4607
13	81.4903
14	81.0204
15	82.7828
16	83.7089
17	84.1279
18	84.6739
19	85.8683
20	84.5815
21	86.7591
22	85.9606
23	87.0375
24	88.6591
25	90.835
26	93.0275
27	94.9949
28	96.9805
29	98.8425
30	100.748
31	102.318
32	104.115
33	105.896
34	107.645
35	109.3
36	110.487
37	112.056
38	113.567
39	114.667
40	116.179
41	117.301
42	115.589
43	112.412
44	110.089
45	109.338
46	109.127
47	107.954
48	107.09
49	106.167
50	106.216
51	105.617
52	106.6
53	107.679
54	108.725
55	108.418
56	107.965
57	107.659
58	108.265
59	109.217
60	109.234
61	109.981
62	110.9
63	111.626
64	112.363
65	113.286
66	114.108
67	114.697
68	115.554
69	116.161
70	115.513
71	115.931
72	116.674
73	117.159
74	117.4
75	117.823
76	118.503
77	119.157
78	119.596
79	119.902
80	119.537
81	119.548
82	118.51
83	117.594
84	117.263
85	116.774
86	115
87	114.655
88	113.982
89	114.227
90	114.565
91	115.102
92	115.417
93	115.865
94	116.293
95	116.787
96	117.311
97	117.75
98	118.223
99	118.524
100	119.035
101	119.463
102	119.069
103	119.387
104	119.855
105	120.164
106	119.254
107	119.481
108	119.845
109	118.988
110	118.767
111	118.012
112	117.367
113	116.816
114	116.063
115	115.818
116	115.625
117	114.897
118	115.191
119	115.551
120	115.641
121	115.884
122	116.206
123	116.318
124	116.574
125	116.729
126	117.061
127	117.41
128	117.558
129	116.872
130	116.814
