frame	x	y	width	height
1	486	512	40	121
2	483	494	40	123
3	484	482	40	125
4	487	468	40	126
5	486	453	39	128
6	486	438	39	130
7	485	423	39	132
8	486	411	38	131
9	486	398	38	130
10	487	386	37	129
11	488	374	36	128
12	488	361	36	127
13	489	349	35	126
14	491	338	35	126
15	492	327	34	126
16	486	316	34	125
17	484	305	33	125
18	484	298	32	125
19	498	292	32	124
20	510	293	31	125
21	519	293	31	125
22	526	291	31	125
23	527	292	31	126
24	514	285	31	126
25	489	267	30	126
26	481	263	30	124
27	480	265	30	123
28	487	267	29	121
29	493	269	29	119
30	510	276	28	118
31	521	285	28	116
32	541	299	28	118
33	555	307	28	120
34	559	314	29	121
35	551	313	29	123
36	546	308	29	125
37	542	303	30	127
38	541	298	30	128
39	543	291	30	129
40	545	284	30	130
41	547	277	31	131
42	549	269	31	133
43	551	262	31	134
44	550	257	32	135
45	548	251	32	137
46	547	245	33	138
47	545	240	34	140
48	544	237	35	142
49	542	234	35	143
50	540	232	36	146
51	538	229	36	150
52	530	225	36	153
53	529	230	36	156
54	526	229	36	159
55	522	239	37	163
56	514	248	37	163
57	505	258	38	162
58	503	265	39	162
59	500	265	39	162
60	497	265	40	162
61	494	265	40	162
62	494	264	40	167
63	495	263	40	172
64	495	262	39	177
65	495	261	39	183
66	496	260	38	188
67	496	258	38	193
68	495	254	39	195
69	494	250	40	196
70	494	246	41	198
71	493	242	42	200
72	492	238	43	201
73	492	234	44	203
74	490	232	44	205
75	489	230	45	208
76	488	228	46	210
77	486	225	47	213
78	485	223	47	215
79	484	221	48	217
80	483	221	49	222
81	482	221	51	226
82	481	221	52	231
83	479	221	53	235
84	478	222	54	240
85	477	222	56	244
86	479	221	54	246
87	481	220	52	248
88	483	220	51	250
89	485	219	49	252
90	486	218	48	253
91	488	217	46	255
92	487	217	50	260
93	485	216	54	265
94	484	215	58	270
95	483	215	62	275
96	481	214	66	280
97	480	213	69	285
98	480	210	70	287
99	481	208	70	289
100	481	205	70	291
101	482	202	71	293
102	483	199	71	295
103	483	197	71	297
104	484	194	73	305
105	485	192	74	312
106	486	189	75	320
107	487	187	77	327
108	488	185	78	334
109	489	182	80	342
110	491	184	78	347
111	492	186	77	352
112	494	188	76	358
113	495	190	74	363
114	497	192	73	368
115	498	194	72	374
116	499	191	73	376
117	499	189	74	379
118	499	186	76	382
119	500	183	77	385
120	500	181	78	387
121	500	178	80	390
122	502	175	81	394
123	504	171	82	398
124	494	170	84	402
125	475	182	85	406
126	442	183	86	411
127	409	183	88	415
128	343	163	83	399
129	276	169	78	384
130	216	222	73	369
131	148	316	68	354
