frame	x	y	width	height
2	482	496	40	121
3	481	480	42	127
4	484	469	42	127
5	484	453	44	133
6	484	438	44	133
7	482	419	46	140
8	482	402	49	147
9	483	393	46	140
10	481	374	49	147
11	481	362	49	147
12	482	350	49	147
13	484	341	46	140
14	484	333	46	140
15	486	319	46	140
16	486	309	44	133
17	484	299	44	133
18	485	295	42	127
19	495	293	42	127
20	505	291	42	127
21	515	294	40	121
22	524	290	42	127
23	525	285	44	133
24	517	282	44	133
25	517	241	44	133
26	531	282	46	140
27	537	284	46	140
28	545	288	46	140
29	548	296	49	147
30	556	296	49	147
31	570	308	49	147
32	582	320	49	147
33	593	327	49	147
34	604	339	49	147
35	605	339	46	140
36	604	327	46	140
37	602	325	46	140
38	601	315	49	147
39	603	314	49	147
40	607	312	46	140
41	611	304	46	140
42	613	295	46	140
43	612	289	49	147
44	613	280	49	147
45	613	274	51	154
46	614	273	51	154
47	614	267	54	162
48	613	264	54	162
49	614	265	51	154
50	612	262	54	162
51	609	256	56	170
52	608	256	56	170
53	606	255	56	170
54	604	259	56	170
55	599	267	59	179
56	594	274	62	188
57	589	287	62	188
58	586	288	62	188
59	586	296	62	188
60	587	302	59	179
61	586	303	59	179
62	585	305	59	179
63	584	308	59	179
64	582	304	62	188
65	581	305	62	188
66	579	300	65	197
67	578	302	65	197
68	579	303	65	197
69	581	300	65	197
70	582	298	65	197
71	581	292	68	207
72	579	285	72	217
73	574	280	75	228
74	573	279	75	228
75	572	272	79	240
76	573	272	79	240
77	573	271	79	240
78	576	277	75	228
79	574	274	79	240
80	575	275	79	240
81	573	276	79	240
82	572	281	79	240
83	570	279	83	252
84	570	282	83	252
85	572	285	83	252
86	574	287	83	252
87	575	289	83	252
88	575	286	87	264
89	574	285	92	277
90	580	298	87	264
91	584	301	87	264
92	587	302	87	264
93	587	297	92	277
94	588	292	96	291
95	591	292	96	291
96	592	291	96	291
97	593	291	96	291
98	595	290	96	291
99	596	289	96	291
100	596	289	96	291
101	593	283	101	306
102	596	294	96	291
103	596	295	96	291
104	595	298	96	291
105	595	302	96	291
106	594	306	96	291
107	593	309	96	291
108	591	304	101	306
109	592	308	101	306
110	589	307	106	321
111	590	312	106	321
112	590	318	106	321
113	588	314	111	337
114	586	319	111	337
115	587	326	111	337
116	585	320	117	354
117	585	323	117	354
118	583	316	123	372
119	583	319	123	372
120	584	322	123	372
121	587	326	123	372
122	589	328	123	372
123	589	320	129	390
124	591	318	129	390
125	589	323	129	390
126	583	328	129	390
127	563	309	129	390
128	571	269	129	390
129	577	278	123	372
130	579	313	123	372
