frame	ave_fps
2	55.9165
3	42.8736
4	46.135
5	46.1327
6	48.8179
7	47.969
8	47.9039
9	46.5726
10	46.6872
11	49.4455
12	52.0259
13	54.4059
14	56.5389
15	58.5867
16	60.3828
17	62.1008
18	63.6887
19	65.2367
20	66.6324
21	67.9791
22	69.1861
23	70.3956
24	71.4076
25	72.4243
26	73.3049
27	74.2679
28	75.029
29	75.907
30	76.6416
31	77.4323
32	78.0648
33	78.742
34	79.3515
35	80.003
36	80.5374
37	81.0513
38	80.9133
39	81.3303
40	80.8959
41	81.391
42	81.8877
43	82.1708
44	82.6643
45	83.0684
46	83.5395
47	83.9334
48	84.3356
49	84.7111
50	85.1229
51	85.4394
52	85.7448
53	86.0593
54	86.4215
55	86.7489
56	87.0513
57	87.3639
58	87.6997
59	87.9881
60	88.3065
61	88.5529
62	88.7964
63	89.0582
64	89.3463
65	89.5724
66	89.8111
67	90.0683
68	90.205
69	90.4638
70	90.6636
71	90.8386
72	91.0352
73	91.2393
74	91.3562
75	91.4151
76	91.5817
77	91.2263
78	91.3915
79	91.3201
80	91.5051
81	91.6848
82	91.8483
83	92.0161
84	92.2154
85	92.3808
86	92.516
87	92.6559
88	92.7372
89	92.8679
90	93.0279
91	93.1854
92	93.3299
93	93.4614
94	93.6174
95	93.7739
96	93.8956
97	94.0275
98	94.1446
99	94.2858
100	94.4062
101	94.5112
102	94.6323
103	94.7785
104	94.8706
105	94.991
106	95.092
107	95.2332
108	95.3054
109	95.4338
110	95.5411
111	95.6508
112	95.7567
113	95.8428
114	95.9323
115	96.0317
116	96.0703
117	95.8839
118	95.6863
119	95.6072
120	95.661
121	95.6872
122	95.7821
123	95.8621
124	95.9643
125	96.0341
126	96.1232
127	96.1664
128	96.2405
129	96.2802
130	96.3681
131	96.4374
132	96.5188
133	96.6004
134	96.6795
135	96.7633
136	96.7911
137	96.8464
138	96.9038
139	96.9778
140	97.0487
141	97.0328
142	97.069
143	97.1373
144	97.1956
145	97.2607
146	97.3164
147	97.3691
148	97.3887
149	97.4663
150	97.5162
151	97.5784
152	97.6391
153	97.7124
154	97.7795
155	97.8447
156	97.9011
157	97.962
158	97.8136
159	97.8425
160	97.7997
161	97.8385
162	97.9003
163	97.9618
164	98.021
165	98.0905
166	98.1483
167	98.2106
168	98.2638
169	98.1514
170	98.1995
171	98.2449
172	98.2361
173	98.2911
174	98.3166
175	98.3785
176	98.3357
177	98.3675
178	98.4202
179	98.4809
180	98.526
181	98.5269
182	98.5579
183	98.6117
184	98.6471
185	98.696
186	98.738
187	98.7888
188	98.7937
189	98.8496
190	98.8906
191	98.9463
192	98.9674
193	99.008
194	99.0578
195	99.1041
196	99.1574
197	99.1984
198	99.2314
199	99.1258
200	99.1469
201	99.196
202	99.223
203	99.2749
204	99.315
205	99.3633
206	99.3771
207	99.4255
208	99.4682
209	99.4611
210	99.504
211	99.5186
212	99.5673
213	99.608
214	99.6201
215	99.6497
216	99.6913
217	99.7205
218	99.7485
219	99.7869
220	99.8248
221	99.8681
222	99.8693
223	99.8962
224	99.9033
225	99.9166
226	99.9361
227	99.9765
228	100.022
229	100.037
230	100.082
231	100.104
232	100.132
233	100.165
234	100.2
235	100.192
236	100.194
237	100.128
238	100.123
239	100.143
240	100.153
241	100.188
242	100.223
243	100.235
244	100.241
245	100.266
246	100.302
247	99.8262
248	99.7339
249	99.6424
250	99.543
251	99.4527
252	99.3657
253	99.2528
254	99.1637
255	99.0579
256	98.9654
257	98.8424
258	98.7505
259	98.6538
260	98.5616
261	98.4632
262	98.3814
263	98.2356
264	98.1512
265	98.0698
266	97.9764
267	97.8862
268	97.8172
269	97.8525
270	97.8737
271	97.8678
272	97.8885
273	97.8424
274	97.8347
275	97.8626
276	97.9015
277	97.9336
278	97.9771
279	98.0033
280	98.0444
281	98.0725
282	97.9668
283	97.9932
284	98.022
285	98.0545
286	97.9816
287	98.0148
288	98.0546
289	98.0766
290	98.1163
291	98.1409
292	98.1605
293	98.189
294	98.229
295	98.2604
296	98.2958
297	98.319
298	98.3572
299	98.384
300	98.4204
301	98.4466
302	98.4832
303	98.5215
304	98.5269
305	98.5557
306	98.5825
307	98.618
308	98.6346
309	98.6692
310	98.6894
311	98.7119
312	98.7202
313	98.7329
314	98.7581
315	98.7437
316	98.783
317	98.8072
318	98.8355
319	98.8636
320	98.8943
321	98.9198
322	98.7884
323	98.798
324	98.825
325	98.8391
