frame	x	y	width	height
1	193	27	80	81
2	191	28	89	80
3	191	30	86	76
4	191	27	90	79
5	190	28	86	77
6	190	31	88	75
7	189	30	86	78
8	188	30	84	75
9	187	32	85	74
10	188	30	86	75
11	185	34	88	75
12	185	34	89	75
13	183	37	90	75
14	183	39	83	72
15	182	43	85	70
16	183	43	83	72
17	183	43	82	73
18	182	46	81	71
19	181	46	80	75
20	183	47	75	72
21	181	49	78	74
22	183	53	75	72
23	181	53	76	72
24	181	56	74	69
25	180	57	74	69
26	182	57	71	70
27	183	57	70	71
28	183	57	69	70
29	183	56	72	72
30	186	56	68	70
31	188	58	67	69
32	189	57	66	68
33	189	57	64	67
34	190	55	64	68
35	193	53	59	74
36	196	54	61	75
37	200	55	57	73
38	202	53	61	72
39	205	53	55	70
40	208	53	55	74
41	211	53	52	76
42	215	54	52	78
43	217	52	47	77
44	221	52	47	77
45	224	50	45	80
46	227	49	40	82
47	227	48	40	87
48	227	47	39	88
49	226	46	40	86
50	225	45	40	87
51	225	43	38	89
52	223	41	40	94
53	221	40	39	93
54	218	39	42	93
55	215	38	42	93
56	213	38	42	95
57	209	39	44	94
58	207	39	45	97
59	207	40	44	97
60	207	41	42	93
61	205	44	42	91
62	203	43	44	93
63	203	44	43	93
64	201	43	44	91
65	196	47	45	85
66	191	49	46	89
67	183	52	50	93
68	179	49	55	96
69	174	51	58	94
70	169	49	62	96
71	164	53	61	98
72	156	55	66	97
73	150	56	69	91
74	144	57	72	94
75	140	57	74	98
76	134	59	77	98
77	133	65	77	91
78	129	65	81	92
79	123	65	82	97
80	121	68	82	94
81	117	70	84	91
82	112	71	89	93
83	111	73	86	94
84	106	75	89	91
85	104	77	87	96
86	99	81	90	92
87	94	85	91	88
88	91	87	94	87
89	89	86	96	88
90	85	91	106	86
91	83	93	100	87
92	80	97	108	88
93	75	101	114	88
94	72	105	115	86
95	69	109	115	84
96	69	110	116	85
97	67	116	112	75
98	65	117	116	78
99	63	123	117	75
100	60	120	122	88
101	63	123	117	78
102	62	125	115	80
103	63	127	114	81
104	61	127	116	85
105	65	129	114	84
106	67	133	114	82
107	73	131	108	85
108	79	133	106	84
109	86	137	99	75
110	90	136	95	75
111	95	130	94	85
112	98	127	90	86
113	107	123	79	75
114	111	120	76	77
115	115	115	76	78
116	118	111	72	78
117	121	113	72	80
118	127	109	72	79
119	135	110	66	75
120	145	102	64	79
121	155	96	60	86
122	160	87	55	91
123	166	80	59	97
124	172	72	53	101
125	180	65	48	102
126	187	61	46	100
127	194	57	42	100
128	199	49	41	106
129	203	44	41	103
130	200	43	46	106
131	203	42	48	107
132	210	42	45	105
133	211	41	44	108
134	223	45	42	102
135	218	47	48	103
136	226	43	41	102
137	225	45	42	108
138	227	53	43	106
139	225	53	45	106
140	233	58	44	103
141	232	56	46	108
142	234	57	43	116
143	234	63	45	111
144	236	65	43	108
145	234	64	40	108
146	232	67	42	102
147	234	71	36	95
148	231	75	42	96
149	231	78	41	94
150	231	79	39	92
151	227	83	40	108
152	227	90	39	102
153	218	99	45	89
154	223	99	39	95
155	220	103	41	92
156	219	107	40	90
157	213	111	46	91
158	215	121	41	88
159	212	125	45	86
160	215	130	45	79
161	215	131	43	80
162	215	134	44	78
163	214	133	45	82
164	214	139	43	76
165	215	141	42	72
166	216	141	39	70
167	217	143	37	67
168	216	141	39	67
169	217	145	40	70
170	217	147	40	71
171	215	145	42	72
172	218	146	39	71
173	218	146	38	69
174	213	143	45	75
175	209	143	48	73
176	209	143	43	70
177	205	141	46	71
178	201	135	45	70
179	194	129	50	76
180	191	127	51	77
181	189	128	52	71
182	189	125	46	81
183	184	123	51	70
184	181	122	49	79
185	174	120	55	79
186	169	120	55	74
187	165	120	60	73
188	165	116	56	74
189	165	113	53	69
190	164	109	53	77
191	159	103	60	89
192	157	97	60	92
193	156	93	57	92
194	148	87	63	96
195	141	83	66	98
196	139	77	67	100
197	134	73	70	103
198	128	73	71	95
199	121	70	73	97
200	112	67	75	98
201	105	66	82	96
202	99	63	83	100
203	94	63	83	99
204	84	63	88	98
205	85	62	90	95
206	74	57	99	98
207	73	53	94	96
208	69	45	96	96
209	67	37	96	104
210	65	37	102	96
211	61	35	105	100
212	59	35	106	98
213	57	31	104	96
214	56	29	106	100
215	53	32	110	95
216	48	35	115	89
217	43	38	114	87
218	36	39	121	86
219	35	40	124	87
220	32	41	121	88
221	30	45	123	86
222	29	46	124	85
223	30	48	123	84
224	29	51	125	82
225	29	55	126	81
226	31	57	125	81
227	33	58	124	80
228	36	61	125	71
229	34	65	127	80
230	39	67	124	80
231	40	69	123	82
232	46	74	107	63
233	49	73	120	71
234	54	75	117	71
235	58	77	95	58
236	61	75	98	64
237	65	75	93	70
238	65	73	98	75
239	71	73	96	74
240	77	75	94	70
241	84	75	95	68
242	83	73	99	72
243	88	73	93	68
244	91	73	93	74
245	95	73	91	79
246	95	75	94	80
247	97	74	90	85
248	99	72	88	86
249	101	73	92	86
250	100	75	94	82
251	103	73	91	87
252	107	77	92	82
253	109	76	93	83
254	114	79	92	78
255	120	80	94	84
256	126	79	92	85
