frame	x	y	width	height
2	193	27	80	81
3	194	28	80	81
4	194	27	80	81
5	194	27	80	81
6	192	28	80	81
7	192	28	80	81
8	192	28	80	81
9	191	28	80	81
10	190	29	80	81
11	190	30	80	81
12	190	30	80	81
13	189	32	80	81
14	188	33	80	81
15	188	35	80	81
16	189	38	76	77
17	189	39	76	77
18	188	40	76	77
19	187	42	76	77
20	187	44	76	77
21	186	44	76	77
22	185	48	76	77
23	184	50	76	77
24	183	51	76	77
25	183	52	76	77
26	183	53	76	77
27	183	52	76	77
28	184	53	76	77
29	184	53	76	77
30	185	53	76	77
31	188	56	73	73
32	188	55	73	73
33	189	56	73	73
34	190	56	73	73
35	193	55	73	73
36	194	55	73	73
37	196	55	73	73
38	199	54	73	73
39	202	54	73	73
40	204	56	73	73
41	207	56	73	73
42	209	57	73	73
43	211	57	73	73
44	212	57	73	73
45	213	57	73	73
46	215	57	73	73
47	215	56	73	73
48	214	56	73	73
49	214	56	73	73
50	214	56	73	73
51	213	55	73	73
52	211	53	73	73
53	210	53	73	73
54	208	52	73	73
55	206	51	73	73
56	205	51	73	73
57	201	50	76	77
58	200	49	76	77
59	199	50	76	77
60	200	51	76	77
61	198	52	76	77
62	197	53	76	77
63	196	53	76	77
64	195	54	76	77
65	192	55	76	77
66	189	56	76	77
67	185	58	76	77
68	181	60	76	77
69	176	62	73	73
70	172	63	73	73
71	168	65	73	73
72	163	66	73	73
73	158	67	73	73
74	153	69	73	73
75	148	69	73	73
76	146	69	73	73
77	144	70	73	73
78	140	70	76	77
79	137	70	76	77
80	135	73	76	77
81	133	74	76	77
82	130	76	76	77
83	127	77	76	77
84	124	79	76	77
85	122	81	76	77
86	119	84	76	77
87	117	85	76	77
88	115	86	76	77
89	112	88	76	77
90	109	91	76	77
91	106	93	76	77
92	104	94	76	77
93	101	97	76	77
94	99	100	76	77
95	97	102	76	77
96	96	104	76	77
97	94	108	76	77
98	92	112	76	77
99	92	115	76	77
100	91	117	76	77
101	91	119	76	77
102	90	120	76	77
103	89	121	76	77
104	89	124	76	77
105	90	126	76	77
106	93	128	76	77
107	97	129	76	77
108	101	128	76	77
109	104	130	76	77
110	108	129	76	77
111	111	128	76	77
112	114	125	76	77
113	118	122	76	77
114	122	121	73	73
115	125	120	73	73
116	126	118	73	73
117	129	116	73	73
118	132	116	73	73
119	137	114	73	73
120	145	113	73	73
121	153	106	73	73
122	160	100	73	73
123	165	94	73	73
124	170	88	73	73
125	174	86	73	73
126	178	82	73	73
127	183	79	73	73
128	189	75	73	73
129	194	67	73	73
130	199	67	69	70
131	204	62	69	70
132	203	62	73	73
133	204	66	73	73
134	202	66	73	73
135	205	69	73	73
136	205	70	73	73
137	209	72	73	73
138	210	75	73	73
139	212	77	73	73
140	214	82	73	73
141	217	82	73	73
142	219	88	73	73
143	219	90	73	73
144	220	90	73	73
145	219	91	73	73
146	218	93	73	73
147	217	94	73	73
148	217	96	73	73
149	216	98	73	73
150	216	99	73	73
151	216	101	73	73
152	214	100	76	77
153	215	105	76	77
154	217	108	80	81
155	216	109	84	85
156	217	112	84	85
157	217	111	84	85
158	218	113	84	85
159	215	110	88	89
160	215	109	88	89
161	213	108	93	94
162	213	109	93	94
163	209	106	97	98
164	208	103	97	98
165	207	104	97	98
166	207	104	97	98
167	208	103	97	98
168	211	105	93	94
169	208	104	97	98
170	209	104	97	98
171	209	105	97	98
172	208	105	97	98
173	209	104	97	98
174	208	105	97	98
175	209	104	97	98
176	208	103	97	98
177	207	103	97	98
178	207	103	97	98
179	207	103	97	98
180	207	103	97	98
181	207	103	97	98
182	205	102	97	98
183	206	101	97	98
184	207	101	97	98
185	205	102	97	98
186	206	101	97	98
187	207	101	97	98
188	206	102	97	98
189	207	102	97	98
190	207	102	97	98
191	207	103	97	98
192	208	102	97	98
193	208	102	97	98
194	208	103	97	98
195	212	104	93	94
196	211	105	93	94
197	211	105	93	94
198	212	105	93	94
199	212	106	93	94
200	211	106	93	94
201	211	106	93	94
202	211	106	93	94
203	211	105	93	94
204	210	105	93	94
205	211	105	93	94
206	211	105	93	94
207	210	105	93	94
208	211	105	93	94
209	211	105	93	94
210	211	105	93	94
211	212	105	93	94
212	211	105	93	94
213	211	105	93	94
214	211	105	93	94
215	211	105	93	94
216	211	105	93	94
217	212	105	93	94
218	209	104	97	98
219	208	104	97	98
220	209	104	97	98
221	208	104	97	98
222	209	103	97	98
223	208	104	97	98
224	209	103	97	98
225	208	104	97	98
226	208	103	97	98
227	211	106	93	94
228	211	106	93	94
229	211	106	93	94
230	211	106	93	94
231	211	106	93	94
232	211	106	93	94
233	211	106	93	94
234	211	106	93	94
235	211	106	93	94
236	211	106	93	94
237	212	106	93	94
238	212	107	93	94
239	212	107	93	94
240	213	106	93	94
241	213	106	93	94
242	212	106	93	94
243	212	107	93	94
244	213	106	93	94
245	212	106	93	94
246	212	105	93	94
247	211	105	93	94
248	211	105	93	94
249	211	105	93	94
250	211	105	93	94
251	211	105	93	94
252	211	105	93	94
253	211	105	93	94
254	211	106	93	94
255	211	106	93	94
256	210	106	93	94
257	211	106	93	94
258	212	106	93	94
259	212	107	93	94
260	212	107	93	94
261	212	107	93	94
262	212	107	93	94
263	212	107	93	94
264	213	107	93	94
265	214	107	93	94
266	215	108	93	94
267	214	108	93	94
268	214	109	93	94
269	214	108	93	94
270	214	108	93	94
271	212	108	93	94
272	212	108	93	94
273	211	107	93	94
274	211	106	93	94
275	211	105	93	94
276	211	105	93	94
277	210	105	93	94
278	212	105	93	94
279	211	105	93	94
280	212	105	93	94
281	212	106	93	94
282	211	106	93	94
283	211	106	93	94
284	211	105	93	94
285	210	105	93	94
286	211	104	93	94
287	211	103	93	94
288	209	103	93	94
