frame	PSR
2	10.0987
3	9.40319
4	9.03926
5	8.82458
6	8.50009
7	8.39614
8	8.01677
9	7.67315
10	7.66821
11	7.04733
12	7.32557
13	6.22796
14	6.56822
15	5.96122
16	6.24142
17	6.56042
18	6.2772
19	6.71929
20	6.87544
21	6.6446
22	7.6503
23	6.78541
24	7.28184
25	7.54148
26	7.01572
27	7.43811
28	7.26294
29	7.2819
30	7.56523
31	7.37801
32	7.30176
33	7.48389
34	7.52973
35	7.9207
36	7.66613
37	7.69582
38	7.93196
39	7.51469
40	8.17577
41	8.35275
42	8.15226
43	8.12059
44	8.3423
45	8.1893
46	8.16646
47	8.24679
48	7.08016
49	6.8225
50	6.83095
51	6.20323
52	5.05037
53	5.22082
54	5.39487
55	5.79102
56	6.30522
57	5.75941
58	5.57932
59	6.08218
60	6.25876
61	6.44282
62	6.6961
63	6.97548
64	6.7952
65	6.82541
66	6.90076
67	6.61932
68	7.07845
69	6.9666
70	6.57311
71	6.58853
72	6.54789
73	6.64207
74	6.72267
75	6.56146
76	6.61635
77	6.70616
78	6.80993
79	6.92669
80	7.09218
81	7.1042
82	7.03564
83	6.85647
84	7.26219
85	7.29884
86	7.45643
87	7.21411
88	7.34945
89	7.314
90	7.16874
91	7.59059
92	7.66597
93	7.56143
94	7.28363
95	7.46892
96	7.59957
97	7.72901
98	7.71758
99	7.60093
100	7.67819
101	7.56828
102	8.01203
103	7.82798
104	7.62108
105	7.98994
106	8.08113
107	8.10345
108	7.89674
109	8.18645
110	8.17758
111	8.11928
112	8.00808
113	8.29234
114	8.3056
115	8.25977
116	8.3422
117	8.16785
118	8.30716
119	8.43638
120	8.33424
121	8.28982
122	8.39303
123	8.42068
124	8.44984
125	8.21459
126	8.40629
127	8.42077
128	8.24212
129	8.58535
130	8.36461
131	8.56845
132	8.32282
133	8.53971
134	7.80853
135	8.11073
136	7.84581
137	7.70446
138	7.76626
139	7.47277
140	7.68371
141	7.42368
142	6.79244
143	6.70586
144	6.64754
145	6.20512
146	6.46301
147	6.73406
148	6.74359
149	5.95944
150	6.06704
151	6.01302
152	6.22392
153	6.4602
154	6.56121
155	6.80398
156	7.30559
157	7.19277
158	7.4478
159	7.48634
160	7.57694
161	7.83444
162	7.93991
163	8.00669
164	7.85456
165	7.99765
166	7.50175
167	7.13712
168	6.72202
169	6.184
170	6.05472
171	5.64409
172	4.99819
173	5.49965
174	5.36523
175	5.45302
176	4.96037
177	5.12436
178	5.12929
179	4.80737
180	4.40406
181	4.55292
182	4.99652
183	4.30559
184	4.15666
185	3.49837
186	4.25117
187	3.62973
188	3.84516
189	3.90814
190	4.17237
191	4.66158
192	4.87612
193	5.56434
194	4.98313
195	5.17202
196	5.25874
197	5.6882
198	5.48432
199	4.82804
200	5.21677
201	5.01629
202	5.30392
203	5.38465
204	5.73954
205	5.51642
206	5.29105
207	4.67954
208	4.6432
209	4.55439
210	4.00535
211	4.6048
212	4.80505
213	4.94915
214	5.32047
215	5.61377
216	5.25659
217	5.07387
218	4.84031
219	4.64383
220	4.34262
221	4.78938
222	4.75
223	4.83095
224	4.88721
225	4.79984
226	4.65706
227	4.72522
228	4.88993
229	4.96066
230	5.05797
231	5.27662
232	5.46927
233	5.61362
234	5.80447
235	5.87289
236	5.9847
237	6.08732
238	6.00512
239	5.93534
240	6.01431
241	5.94604
242	5.21419
243	4.38526
244	4.42395
245	4.42685
246	4.96694
247	4.93068
248	4.82668
249	4.9868
250	5.20937
251	5.58309
252	5.29775
253	4.78685
254	3.90738
255	4.43586
256	4.30264
257	4.5751
258	5.51814
259	5.38101
260	5.38503
261	5.41133
262	5.53521
263	5.65479
264	5.62487
265	5.63389
266	5.40322
267	5.55207
268	5.22347
269	5.34748
270	5.4239
271	5.45166
272	5.83471
273	6.00981
274	5.92807
275	6.21044
276	6.22154
277	6.21324
278	6.19453
279	5.9267
280	5.45551
281	5.56305
282	5.61493
283	5.45632
284	5.45259
285	5.34899
286	6.06368
287	5.56243
288	5.35517
289	4.74135
290	4.97042
291	4.65153
