frame	ave_fps
2	107.101
3	99.4656
4	82.8833
5	86.4877
6	84.6588
7	86.2275
8	83.8888
9	90.1511
10	95.6847
11	99.6351
12	103.65
13	103.513
14	106.529
15	109.627
16	112.986
17	115.344
18	114.319
19	113.896
20	112.685
21	113.421
22	115.648
23	117.765
24	119.057
25	120.881
26	121.876
27	123.591
28	125.139
29	126.021
30	127.501
31	127.216
32	128.129
33	129.228
34	129.735
35	131.07
36	132.063
37	132.73
38	133.867
39	134.827
40	135.857
41	136.346
42	136.614
43	137.447
44	137.337
45	137.022
46	136.338
47	136.802
48	136.964
49	137.29
50	137.581
51	138.28
52	138.669
53	139.362
54	139.643
55	139.91
56	140.589
57	141.284
58	141.441
59	140.584
60	141.199
61	141.25
62	141.775
63	140.733
64	139.387
65	139.984
66	140.299
67	139.609
68	140.023
69	140.289
70	139.706
71	139.596
72	140.043
73	140.475
74	140.257
75	140.65
76	140.918
77	140.874
78	141.226
79	141.075
80	141.305
81	141.371
82	141.671
83	141.937
84	142.024
85	142.315
86	142.607
87	142.488
88	142.858
89	143.09
90	142.91
91	143.237
92	143.569
93	143.592
94	143.23
95	143.516
96	143.307
97	143.338
98	143.531
99	142.644
100	142.711
101	142.67
102	142.991
103	142.194
104	141.538
105	140.352
106	140.645
107	140.421
108	140.033
109	140.241
110	140.578
111	140.784
112	141.138
113	141.368
114	141.666
115	141.922
116	142.135
117	141.34
118	141.642
119	141.884
120	142.203
121	142.452
122	142.661
123	142.824
124	143.141
125	143.238
126	143.258
127	143.064
128	142.677
129	142.893
130	143.174
131	143.028
132	143.264
133	143.535
134	143.802
135	143.649
136	143.641
137	143.895
138	144.15
139	144.39
140	144.644
141	144.195
142	144.307
143	144.323
144	144.483
145	144.651
146	144.826
147	144.91
148	144.808
149	144.973
150	144.395
151	143.153
152	142.197
153	141.859
154	142.018
155	141.985
156	142.036
157	141.655
158	141.516
159	141.098
160	141.153
161	141.329
162	141.409
163	141.083
164	141.176
165	140.785
166	140.78
167	140.746
168	140.727
169	140.853
170	140.886
171	140.759
172	140.766
173	140.905
174	140.899
175	140.65
176	140.403
177	140.308
178	140.418
179	140.421
180	140.409
181	140.337
182	139.811
183	139.304
184	138.984
185	136.613
186	134.33
187	133.047
188	133.157
189	132.986
190	132.954
191	133.044
192	132.669
193	132.815
194	132.577
195	131.837
196	131.214
197	130.607
198	129.58
199	127.941
200	122.944
201	122.237
202	122.338
203	121.648
204	120.428
205	119.966
206	119.951
207	119.958
208	120.124
209	120.236
210	120.212
211	119.524
212	119.441
213	118.507
214	117.495
215	114.31
216	114.146
217	113.493
218	112.882
219	112.797
220	112.955
221	113.086
222	113.26
223	113.371
224	113.538
225	113.625
226	113.746
227	113.918
228	114.117
229	114.275
230	114.463
231	114.638
232	114.828
233	114.863
234	114.899
235	114.744
236	114.841
237	114.962
238	115.148
239	115.334
240	115.219
241	115.399
242	115.535
243	115.665
244	115.837
245	116.005
246	116.19
247	116.354
248	116.481
249	116.538
250	116.675
251	116.824
252	117.004
253	117.06
254	117.239
255	117.413
256	117.553
257	117.731
258	117.52
259	117.401
260	117.556
261	117.684
262	117.855
263	117.967
264	117.989
265	118.147
266	118.279
267	118.443
268	118.549
269	118.676
270	118.83
271	118.935
272	119.1
273	119.265
274	119.369
275	119.531
276	119.58
277	119.728
278	119.882
279	119.894
280	120.018
281	120.176
282	120.283
283	120.446
284	120.596
285	120.712
286	120.868
287	120.968
288	120.963
289	121.089
290	121.17
291	121.316
