frame	x	y	width	height
1	149	132	78	189
2	144	134	78	177
3	139	131	86	177
4	138	129	86	176
5	133	128	85	177
6	133	127	80	178
7	133	131	83	176
8	136	135	74	164
9	129	147	78	153
10	126	144	75	161
11	122	147	75	168
12	121	146	74	163
13	118	138	72	160
14	126	123	62	206
15	114	142	69	170
16	109	141	71	172
17	110	150	69	163
18	105	152	71	159
19	103	154	75	153
20	97	155	80	155
21	99	154	79	160
22	100	160	76	150
23	97	157	79	150
24	94	160	81	140
25	93	160	81	141
26	93	162	81	151
27	100	164	75	148
28	103	161	72	152
29	99	161	74	150
30	97	159	78	151
31	96	156	78	152
32	96	157	79	152
33	94	159	78	160
34	94	161	79	174
35	100	167	75	166
36	100	164	75	172
37	106	166	69	164
38	109	167	68	160
39	101	168	76	156
40	101	171	75	144
41	100	170	77	148
42	103	170	74	150
43	100	171	78	155
44	104	172	76	152
45	106	172	72	158
46	107	168	70	165
47	111	165	70	167
48	102	162	81	147
49	103	160	80	149
50	104	162	87	145
51	105	159	97	145
52	103	162	115	127
53	69	144	191	183
54	68	156	198	168
55	62	155	211	177
56	66	158	204	170
57	74	165	185	151
58	84	181	177	124
59	70	162	198	152
60	80	171	179	133
61	93	159	159	133
62	87	163	173	133
63	89	157	175	134
64	74	148	194	161
65	89	149	170	153
66	83	147	182	159
67	86	140	173	174
68	78	134	177	188
69	78	135	177	185
70	83	136	171	190
71	75	142	182	173
72	74	137	176	185
73	74	134	182	191
74	75	142	186	186
75	67	138	191	189
76	71	137	185	190
77	76	141	179	186
78	72	138	180	191
79	72	144	180	184
80	81	142	165	180
81	81	144	160	178
82	78	144	172	180
83	75	141	171	187
84	69	144	177	192
85	71	148	174	178
86	73	144	174	186
87	76	152	170	179
88	72	147	180	190
89	77	147	177	196
90	66	147	187	188
91	76	147	179	183
92	74	152	179	186
93	70	154	181	186
94	71	156	179	180
95	75	160	172	175
96	72	158	176	181
97	77	162	170	174
98	83	154	169	192
99	74	152	193	203
100	81	151	186	193
101	81	155	181	191
102	79	157	171	183
103	79	158	175	186
104	91	163	157	176
105	91	163	158	178
106	90	161	163	190
107	89	159	166	191
108	93	162	162	185
109	95	161	161	188
110	100	159	149	183
111	106	160	142	179
112	107	156	142	187
113	104	160	148	186
114	108	159	142	189
115	106	163	147	181
116	100	156	152	190
117	107	160	143	181
118	106	159	148	182
119	107	159	147	182
120	110	160	142	180
121	111	157	143	185
122	107	158	147	185
123	111	161	142	177
124	102	157	152	185
125	113	162	136	176
126	117	159	134	181
127	109	157	151	186
128	111	157	145	181
129	110	161	143	180
130	114	165	135	169
131	110	160	143	175
132	112	157	140	172
133	114	155	143	178
134	111	154	146	177
135	108	153	150	177
136	106	151	153	177
137	108	153	146	171
138	102	147	157	181
139	108	144	148	172
140	101	141	160	176
141	103	139	154	174
142	101	146	154	162
143	103	147	152	164
144	84	141	174	171
145	91	145	162	162
146	93	143	161	156
147	86	146	163	164
148	84	155	162	151
149	84	151	159	161
150	81	156	152	153
151	82	155	149	154
152	79	158	149	143
153	75	153	155	158
154	73	152	155	154
155	68	143	164	174
156	65	147	166	162
157	63	140	171	177
158	71	145	157	157
159	73	144	152	165
160	76	147	144	161
161	79	149	139	161
162	81	151	133	158
163	85	156	124	150
164	91	162	111	140
165	95	169	103	129
166	93	163	107	139
167	94	160	107	141
168	100	161	97	136
169	97	148	104	148
170	96	146	95	141
171	98	140	90	139
172	101	139	85	137
173	95	141	79	131
174	87	140	88	137
175	75	134	104	145
176	75	141	94	127
177	76	143	93	130
178	68	144	101	133
179	53	143	123	138
180	52	144	104	126
181	50	136	109	154
182	44	137	116	145
183	36	138	114	142
184	19	129	155	167
185	14	136	162	138
186	25	142	132	84
187	21	143	127	77
188	15	132	139	87
189	12	128	147	95
190	5	120	157	112
191	14	125	159	94
