frame	x	y	width	height
2	149	133	78	189
3	148	132	78	189
4	146	132	78	189
5	144	132	78	189
6	141	129	78	189
7	140	128	78	189
8	139	127	78	189
9	139	128	78	189
10	138	132	78	189
11	135	135	78	189
12	134	136	78	189
13	130	134	78	189
14	129	129	82	198
15	127	130	82	198
16	126	129	82	198
17	121	123	86	208
18	118	123	86	208
19	120	127	82	198
20	119	126	82	198
21	118	131	82	198
22	118	134	82	198
23	118	135	82	198
24	119	134	82	198
25	116	129	86	208
26	116	129	86	208
27	112	122	90	219
28	112	122	90	219
29	112	122	90	219
30	112	122	90	219
31	112	122	90	219
32	112	123	90	219
33	112	125	90	219
34	112	125	90	219
35	113	126	90	219
36	114	127	90	219
37	114	128	90	219
38	113	128	90	219
39	116	135	86	208
40	116	137	86	208
41	117	138	86	208
42	117	139	86	208
43	117	139	86	208
44	116	140	86	208
45	117	139	86	208
46	117	138	86	208
47	117	136	86	208
48	118	129	86	208
49	119	125	86	208
50	118	124	86	208
51	117	115	90	219
52	110	122	90	219
53	110	126	86	208
54	108	130	86	208
55	105	140	86	208
56	108	147	82	198
57	110	148	82	198
58	108	155	82	198
59	107	154	82	198
60	109	155	82	198
61	110	153	82	198
62	112	144	86	208
63	115	149	82	198
64	115	147	82	198
65	114	150	82	198
66	112	149	82	198
67	113	155	78	189
68	114	158	78	189
69	114	158	78	189
70	115	162	78	189
71	114	163	78	189
72	113	164	78	189
73	114	165	78	189
74	114	165	78	189
75	115	165	78	189
76	115	165	78	189
77	116	165	78	189
78	116	166	78	189
79	117	165	78	189
80	117	166	78	189
81	117	166	78	189
82	116	166	78	189
83	115	168	78	189
84	116	168	78	189
85	116	168	78	189
86	115	170	78	189
87	115	170	78	189
88	116	172	78	189
89	116	173	78	189
90	117	173	78	189
91	117	175	78	189
92	117	175	78	189
93	118	176	78	189
94	119	177	78	189
95	120	178	78	189
96	121	179	78	189
97	121	180	78	189
98	122	181	78	189
99	123	182	78	189
100	124	182	78	189
101	125	183	78	189
102	125	184	78	189
103	126	184	78	189
104	127	185	78	189
105	128	185	78	189
106	128	184	78	189
107	129	184	78	189
108	130	185	78	189
109	131	183	78	189
110	131	183	78	189
111	131	184	78	189
112	131	184	78	189
113	131	184	78	189
114	132	184	78	189
115	132	184	78	189
116	133	184	78	189
117	133	184	78	189
118	133	183	78	189
119	134	183	78	189
120	134	184	78	189
121	135	183	78	189
122	135	183	78	189
123	136	183	78	189
124	136	184	78	189
125	136	183	78	189
126	137	182	78	189
127	138	182	78	189
128	138	181	78	189
129	138	181	78	189
130	139	180	78	189
131	139	180	78	189
132	140	179	78	189
133	139	173	82	198
134	139	171	82	198
135	138	171	82	198
136	138	171	82	198
137	137	170	82	198
138	137	168	82	198
139	137	166	82	198
140	136	164	82	198
141	135	164	82	198
142	134	161	82	198
143	132	160	82	198
144	131	160	82	198
145	129	159	82	198
146	125	157	82	198
147	120	158	82	198
148	118	160	82	198
149	116	161	82	198
150	116	167	78	189
151	114	172	74	180
152	111	171	74	180
153	109	171	74	180
154	107	170	74	180
155	106	169	74	180
156	107	173	71	171
157	106	172	71	171
158	105	171	71	171
159	104	169	71	171
160	104	168	71	171
161	105	168	71	171
162	106	168	71	171
163	107	167	71	171
164	108	167	71	171
165	109	166	71	171
166	110	165	71	171
167	112	164	71	171
168	112	161	71	171
169	110	152	74	180
170	109	139	78	189
171	103	134	78	189
172	98	137	82	198
173	95	141	78	189
174	92	141	78	189
175	91	140	78	189
176	90	135	78	189
177	91	133	78	189
178	89	123	82	198
179	90	121	82	198
180	89	120	82	198
181	86	120	82	198
182	84	111	86	208
183	81	113	82	198
184	82	110	82	198
185	66	80	86	208
186	59	83	86	208
187	56	82	86	208
188	54	81	86	208
189	48	83	86	208
190	47	104	90	219
191	45	97	95	230
192	43	96	95	230
193	39	96	95	230
194	35	98	95	230
195	34	97	100	241
196	33	105	95	230
197	32	98	100	241
198	31	95	100	241
199	33	97	100	241
200	36	99	100	241
201	43	104	100	241
202	48	110	95	230
203	52	109	95	230
204	55	108	95	230
205	60	114	90	219
206	60	106	95	230
207	61	107	95	230
208	64	106	95	230
209	65	100	95	230
210	62	63	95	230
211	66	68	95	230
212	72	80	90	219
213	75	84	90	219
214	77	97	90	219
215	77	98	90	219
216	82	105	86	208
217	84	112	82	198
218	84	116	82	198
219	83	117	82	198
220	82	123	82	198
221	81	113	86	208
222	79	102	90	219
223	81	106	86	208
224	79	106	86	208
225	80	106	86	208
226	81	109	86	208
227	83	113	82	198
228	84	112	82	198
229	86	112	82	198
230	87	109	82	198
231	89	109	82	198
232	92	108	82	198
233	93	107	82	198
234	95	112	78	189
235	94	111	78	189
236	93	111	78	189
237	94	115	74	180
238	93	116	74	180
239	92	112	78	189
240	92	115	78	189
241	93	116	78	189
242	95	121	78	189
243	100	130	78	189
244	105	132	82	198
245	109	141	82	198
246	110	144	82	198
247	108	139	86	208
248	110	146	86	208
249	107	145	90	219
250	104	143	90	219
251	103	145	90	219
252	107	147	86	208
253	108	141	86	208
254	111	149	82	198
255	116	146	82	198
256	120	134	86	208
257	122	133	90	219
258	121	137	90	219
259	119	138	90	219
260	117	131	90	219
261	112	122	95	230
262	111	118	95	230
263	108	118	95	230
264	108	115	95	230
265	104	108	100	241
266	102	103	100	241
267	98	101	100	241
268	94	100	100	241
269	91	100	100	241
270	92	100	100	241
271	91	96	100	241
272	92	96	100	241
273	94	96	100	241
274	96	99	100	241
275	98	100	100	241
276	99	102	100	241
277	101	105	100	241
278	104	108	100	241
279	109	113	100	241
280	117	124	95	230
281	122	132	95	230
282	126	139	95	230
283	131	146	95	230
284	136	153	95	230
285	142	161	95	230
286	142	160	95	230
287	143	159	95	230
288	147	157	95	230
289	141	170	100	241
290	136	170	100	241
291	135	165	100	241
