frame	x	y	width	height
2	267	126	103	70
3	268	129	98	67
4	268	131	98	67
5	267	132	98	67
6	267	133	98	67
7	269	134	98	67
8	269	135	98	67
9	272	136	98	67
10	271	137	98	67
11	265	136	103	70
12	263	136	103	70
13	257	136	103	70
14	257	137	103	70
15	258	138	103	70
16	257	137	103	70
17	257	137	103	70
18	255	134	108	74
19	255	134	108	74
20	253	134	108	74
21	254	133	108	74
22	255	133	108	74
23	256	132	108	74
24	256	131	108	74
25	257	131	108	74
26	253	130	114	77
27	251	131	114	77
28	249	131	114	77
29	247	133	108	74
30	248	131	108	74
31	245	132	108	74
32	240	128	108	74
33	237	126	108	74
34	234	125	108	74
35	230	123	108	74
36	228	121	108	74
37	228	121	103	70
38	224	120	103	70
39	221	118	103	70
40	216	114	108	74
41	213	113	108	74
42	211	113	108	74
43	207	111	108	74
44	207	111	108	74
45	204	111	108	74
46	202	111	108	74
47	200	110	108	74
48	202	113	103	70
49	201	112	103	70
50	199	112	103	70
51	197	112	103	70
52	196	112	103	70
53	195	112	103	70
54	194	112	103	70
55	193	111	103	70
56	191	109	103	70
57	190	108	103	70
58	186	106	103	70
59	184	103	103	70
60	180	100	103	70
61	178	96	103	70
62	171	92	103	70
63	169	90	103	70
64	164	87	103	70
65	156	81	103	70
66	154	79	103	70
67	149	76	103	70
68	144	73	103	70
69	138	68	108	74
70	133	66	108	74
71	129	64	108	74
72	125	63	108	74
73	120	61	108	74
74	114	60	108	74
75	111	60	108	74
76	106	61	108	74
77	102	61	108	74
78	98	61	108	74
79	94	61	108	74
80	91	61	108	74
81	86	62	108	74
82	84	61	108	74
83	81	61	108	74
84	78	60	114	77
85	76	59	114	77
86	74	60	114	77
87	72	61	114	77
88	72	63	114	77
89	71	64	114	77
90	71	64	114	77
91	70	66	114	77
92	70	67	114	77
93	70	69	114	77
94	70	71	114	77
95	69	73	114	77
96	72	76	108	74
97	72	80	108	74
98	71	83	108	74
99	71	85	108	74
100	71	86	108	74
101	70	88	108	74
102	69	90	108	74
103	69	92	108	74
104	69	94	108	74
105	69	96	108	74
106	68	97	108	74
107	69	98	108	74
108	69	99	108	74
109	68	102	108	74
110	68	102	108	74
111	68	103	108	74
112	69	105	108	74
113	69	106	108	74
114	69	107	108	74
115	68	109	108	74
116	67	109	108	74
117	68	110	108	74
118	67	111	108	74
119	65	110	114	77
120	66	111	114	77
121	65	112	114	77
122	65	114	114	77
123	65	117	114	77
124	65	117	114	77
125	65	119	114	77
126	64	120	114	77
127	65	122	114	77
128	64	123	114	77
129	64	124	114	77
130	63	126	114	77
131	64	128	114	77
132	63	129	114	77
133	64	130	114	77
134	64	132	114	77
135	63	132	114	77
136	63	134	114	77
137	63	135	114	77
138	63	136	114	77
139	62	136	114	77
140	61	137	114	77
141	59	139	114	77
142	58	138	114	77
143	55	139	114	77
144	52	140	114	77
145	50	142	114	77
146	48	142	114	77
147	46	142	114	77
148	45	143	114	77
149	40	142	119	81
150	39	143	119	81
151	37	145	119	81
152	36	145	119	81
153	35	146	119	81
154	34	148	119	81
155	34	149	119	81
156	34	150	119	81
157	33	153	119	81
158	30	155	119	81
159	28	157	119	81
160	27	159	119	81
161	25	160	119	81
162	23	161	119	81
163	24	165	114	77
164	23	166	114	77
165	21	167	114	77
166	20	168	114	77
167	18	170	114	77
168	18	170	114	77
169	17	171	114	77
170	15	169	119	81
171	14	169	119	81
172	14	169	119	81
173	15	169	119	81
174	15	170	119	81
175	14	170	119	81
176	15	170	119	81
177	14	170	119	81
178	14	171	119	81
179	14	172	119	81
180	14	171	119	81
181	15	172	119	81
182	14	173	119	81
183	14	172	119	81
184	14	173	119	81
185	13	173	119	81
186	13	174	119	81
187	13	174	119	81
188	12	173	119	81
189	12	174	119	81
190	12	174	119	81
191	12	173	119	81
192	11	174	119	81
193	11	175	119	81
194	9	174	119	81
195	10	174	119	81
196	10	175	119	81
197	10	174	119	81
198	9	175	119	81
199	7	176	119	81
200	5	177	119	81
201	0	178	119	81
202	-5	182	119	81
203	-10	184	119	81
204	-17	186	119	81
205	-23	189	119	81
206	-31	190	119	81
207	-33	191	119	81
208	-35	192	119	81
209	-41	192	119	81
210	-40	197	114	77
211	-43	200	114	77
212	-44	200	114	77
213	-45	202	114	77
214	-46	204	114	77
215	-49	204	114	77
216	-51	206	114	77
217	-53	207	114	77
218	-53	209	114	77
219	-56	212	114	77
220	-57	214	114	77
221	-58	216	114	77
222	-60	218	114	77
223	-64	220	114	77
224	-65	222	114	77
225	-64	223	114	77
226	-65	224	114	77
227	-65	225	114	77
228	-66	228	114	77
229	-66	227	114	77
230	-66	228	114	77
231	-67	229	114	77
232	-69	230	114	77
233	-69	231	114	77
234	-72	230	114	77
235	-74	229	114	77
236	-71	231	108	74
237	-73	232	108	74
238	-70	235	103	70
239	-70	237	103	70
240	-75	239	108	74
241	-75	242	108	74
242	-72	245	103	70
243	-73	248	103	70
244	-73	250	103	70
245	-75	254	103	70
246	-80	255	108	74
247	-81	257	108	74
248	-81	259	108	74
249	-75	262	103	70
250	-76	266	103	70
251	-72	268	98	67
252	-74	270	98	67
253	-71	272	98	67
254	-71	275	98	67
255	-71	275	98	67
256	-72	276	98	67
257	-72	280	98	67
258	-68	283	98	67
259	-65	287	93	63
260	-66	291	93	63
261	-66	291	93	63
262	-64	290	93	63
263	-65	292	93	63
264	-65	291	93	63
265	-65	291	93	63
266	-64	291	93	63
267	-67	291	98	67
268	-68	291	98	67
269	-68	291	98	67
270	-68	291	98	67
271	-67	291	98	67
272	-71	289	103	70
273	-71	288	103	70
274	-72	287	103	70
275	-71	288	103	70
276	-75	287	108	74
277	-75	285	108	74
278	-73	286	108	74
279	-75	287	108	74
280	-75	286	108	74
281	-71	287	103	70
282	-71	287	103	70
283	-72	287	103	70
284	-75	284	108	74
285	-76	286	108	74
286	-76	285	108	74
287	-75	286	108	74
288	-74	286	108	74
289	-75	286	108	74
290	-75	286	108	74
291	-74	285	108	74
292	-75	285	108	74
293	-74	287	108	74
294	-74	286	108	74
295	-74	285	108	74
296	-74	285	108	74
297	-73	284	108	74
298	-73	285	108	74
299	-72	285	108	74
300	-72	284	108	74
301	-76	281	114	77
302	-75	281	114	77
303	-74	279	114	77
304	-75	277	114	77
305	-71	275	108	74
306	-71	274	108	74
307	-71	271	108	74
308	-72	269	108	74
309	-73	268	108	74
