frame	ave_fps
2	14.6766
3	22.8231
4	26.7502
5	28.7355
6	27.5056
7	29.6533
8	32.0593
9	34.0145
10	35.3052
11	35.9927
12	37.6482
13	37.3181
14	38.4433
15	38.6689
16	39.0449
17	39.7858
18	39.3913
19	39.9377
20	40.5766
21	41.3132
22	41.8733
23	42.3779
24	42.7148
25	42.9269
26	43.3732
27	43.6519
28	44.2898
29	44.1682
30	44.7018
31	44.5874
32	45.0185
33	45.3696
34	45.2834
35	45.4876
36	45.4152
37	45.8332
38	46.2012
39	46.6484
40	46.3505
41	46.1014
42	45.9802
43	45.3502
44	44.8702
45	44.4725
46	44.2987
47	44.1847
48	43.1257
49	42.8363
50	42.7694
51	42.8553
52	42.8854
53	42.976
54	41.8326
55	41.0983
56	40.111
57	40.0047
58	39.6657
59	39.7493
60	39.9874
61	40.0399
62	40.2653
63	40.5975
64	40.9725
65	41.2885
66	41.5296
67	41.7489
68	41.9709
69	41.9701
70	42.2763
71	42.5899
72	42.9677
73	43.1649
74	43.4876
75	43.7382
76	43.978
77	44.2732
78	44.6157
79	44.9263
80	45.248
81	45.612
82	45.9236
83	46.2089
84	46.5457
85	46.7463
86	46.9732
87	47.0991
88	47.2755
89	47.4193
90	47.584
91	47.8935
92	48.1583
93	48.4658
94	48.6557
95	48.7877
96	48.9551
97	49.1232
98	49.3206
99	49.4487
100	49.5699
101	49.7458
102	49.9248
103	49.9457
104	50.0088
105	50.2368
106	50.419
107	50.6057
108	50.7235
109	50.8611
110	50.9592
111	51.0895
112	51.2281
113	51.3405
114	51.5011
115	51.6777
116	51.8633
117	52.0653
118	52.1754
119	52.1316
120	52.1549
121	52.2042
122	52.4512
123	52.5608
124	52.7572
125	52.9519
126	53.2156
127	53.4635
128	53.551
129	53.7025
130	53.8941
131	54.1385
132	54.3502
133	54.5754
134	54.7619
135	54.9219
136	55.0186
137	55.2252
138	55.4304
139	55.5493
140	55.7434
141	55.9884
142	56.2112
143	56.4439
144	56.6177
145	56.8117
146	56.9512
147	57.0813
148	57.2248
149	57.4422
150	57.6261
151	57.7083
152	57.8614
153	58.0386
154	58.1942
155	58.1588
156	58.2011
157	58.2832
158	58.3444
159	58.4168
160	58.4945
161	58.5872
162	58.6347
163	58.7355
164	58.8578
165	58.9738
166	59.085
167	59.1961
168	59.3286
169	59.3859
170	59.5066
171	59.677
172	59.8592
173	60.0452
174	60.0003
175	59.9905
176	59.9696
177	60.0659
178	60.104
179	60.1994
180	60.3432
181	60.5244
182	60.6845
183	60.8527
184	61.0127
185	61.1442
186	61.2557
187	61.3211
188	61.4078
189	61.4885
190	61.606
191	61.7171
192	61.5969
193	61.6555
194	61.8072
195	61.9683
196	61.8946
197	61.9956
198	61.9792
199	62.0462
200	62.1198
201	62.1629
202	62.2773
203	62.4389
204	62.6029
205	62.7429
206	62.8864
207	62.8979
208	63.0446
209	63.2033
210	63.0253
211	63.0605
212	63.0321
213	62.9092
214	62.9579
215	62.9374
216	62.5776
217	61.955
218	61.7507
219	61.568
220	61.3084
221	61.196
222	61.1369
223	61.2127
224	61.1355
225	61.0467
226	60.9723
227	60.8577
228	60.7419
229	60.6266
230	60.5325
231	60.5232
232	60.403
233	60.239
234	60.1169
235	60.246
236	60.3764
237	60.5145
238	60.6311
239	60.7167
240	60.8206
241	60.9282
242	60.6899
243	60.7803
244	60.8646
245	60.9814
246	61.0791
247	61.1828
248	61.2737
249	61.361
250	61.4635
251	61.5632
252	61.6913
253	61.7419
254	61.8212
255	61.9565
256	62.0712
257	62.1757
258	62.2959
259	62.4272
260	62.5493
261	62.6667
262	62.8002
263	62.9134
264	62.9678
265	63.0869
266	63.0776
267	63.1262
268	63.1157
269	63.2138
270	63.0935
271	63.1762
272	63.2629
273	63.3521
274	63.4637
275	63.5663
276	63.6863
277	63.7879
278	63.8916
279	63.9655
280	64.0144
281	64.1077
282	63.9855
283	64.0395
284	64.1447
285	64.2584
286	64.3543
287	64.4574
288	64.5159
289	64.607
290	64.7301
291	64.8546
292	64.9704
293	65.0958
294	65.1735
295	65.2837
296	65.3113
297	65.3748
298	65.4728
299	65.4907
300	65.5031
301	65.558
302	65.6565
303	65.7278
304	65.7789
305	65.7845
306	65.881
307	65.9004
308	65.7817
309	65.8812
310	65.9754
311	66.0886
312	66.1786
313	66.2617
314	66.3633
315	66.4457
316	66.5253
317	66.607
318	66.7072
319	66.7862
320	66.8003
321	66.8239
322	66.8841
323	66.9524
324	67.026
325	67.0834
326	67.1575
327	67.2547
328	67.3565
329	67.4472
330	67.5254
331	67.6172
332	67.6943
333	67.7491
334	67.8157
335	67.9167
336	67.9886
337	68.0611
338	68.063
339	68.1296
340	68.1331
341	68.2315
342	68.3133
343	68.4099
344	68.4973
345	68.5547
346	68.639
347	68.7208
348	68.7973
349	68.8122
350	68.9047
351	68.9851
352	69.0771
353	69.1737
354	69.2589
355	69.3384
356	69.4168
357	69.5128
358	69.5425
359	69.6346
360	69.7309
361	69.812
362	69.9078
363	69.9583
364	70.0368
365	70.1098
366	70.1732
367	70.2049
368	70.2254
369	70.2254
370	70.254
371	70.29
372	70.3159
373	70.3927
374	70.4805
375	70.5671
376	70.6258
377	70.7141
378	70.7996
379	70.8827
380	70.9737
381	71.0671
382	71.1026
383	71.1703
384	71.2556
385	71.3118
386	71.3988
387	71.4971
388	71.5859
389	71.6665
390	71.7587
391	71.8434
392	71.9097
393	71.9933
394	72.0623
395	72.1495
396	72.2342
397	72.3266
398	72.4129
399	72.503
400	72.592
401	72.634
402	72.6763
403	72.7591
404	72.8484
405	72.9223
406	72.9979
407	73.0718
408	73.135
409	73.1986
410	73.2857
411	73.3421
412	73.4153
413	73.4125
414	73.4815
415	73.5575
416	73.6451
417	73.708
418	73.7898
419	73.852
420	73.6397
421	73.5865
422	73.5638
423	73.4972
424	73.4461
425	73.4017
426	73.3721
427	73.3023
428	73.2882
429	73.2912
430	73.3119
431	73.2922
432	73.2699
433	73.3002
434	73.3009
435	73.236
436	73.2731
437	73.2092
438	73.1612
439	73.095
440	73.0178
441	72.8758
442	72.7749
443	72.7006
444	72.6299
445	72.4586
446	72.3828
447	72.2364
448	72.1407
449	72.0717
450	72.0564
451	71.9868
452	71.9419
453	71.8276
454	71.7855
455	71.7154
456	71.6026
457	71.5722
458	71.4883
459	71.3881
460	71.3208
461	71.2095
462	71.1284
463	71.1106
464	71.0129
465	70.9883
466	70.9239
467	70.8514
468	70.8224
469	70.8352
470	70.8103
471	70.8087
472	70.7933
473	70.8034
474	70.6774
475	70.523
476	70.4678
477	70.3713
478	70.3199
479	70.325
480	70.2267
481	70.1249
482	70.1349
483	70.1809
484	70.1621
485	70.0367
486	69.9828
487	69.9105
488	69.8027
489	69.7972
490	69.8602
491	69.9222
492	69.981
493	70.0232
494	70.0558
495	70.0894
496	70.0123
497	70.0841
498	70.1432
499	70.2058
500	70.2773
501	70.3204
502	70.2539
503	70.2876
504	70.273
505	70.3012
506	70.2269
507	70.2847
508	70.3583
509	70.4294
510	70.4998
511	70.572
512	70.6389
513	70.7102
514	70.7811
515	70.8225
516	70.8902
517	70.9631
518	71.0284
