frame	x	y	width	height
1	217	141	82	49
2	215	141	84	50
3	211	141	87	48
4	207	142	91	47
5	209	141	84	48
6	205	147	88	44
7	202	147	89	42
8	202	146	90	47
9	202	147	88	46
10	199	146	88	48
11	199	148	86	46
12	193	147	90	51
13	195	149	86	45
14	191	147	87	49
15	189	151	88	45
16	190	150	92	49
17	187	151	90	49
18	185	153	94	48
19	185	153	93	47
20	186	156	89	47
21	184	156	94	48
22	185	156	92	52
23	182	158	94	51
24	178	160	96	49
25	178	161	92	54
26	177	164	87	48
27	172	162	96	52
28	172	163	98	52
29	169	162	96	52
30	168	165	87	50
31	170	167	87	47
32	165	167	92	48
33	165	166	87	52
34	158	167	87	53
35	158	168	86	50
36	156	170	91	50
37	157	170	86	50
38	154	171	90	51
39	156	178	85	43
40	157	172	85	47
41	157	169	78	47
42	159	170	74	46
43	155	166	80	49
44	157	168	75	47
45	161	168	69	47
46	155	165	76	47
47	157	167	75	49
48	157	166	78	52
49	158	164	73	53
50	159	166	71	49
51	158	161	78	54
52	161	164	74	51
53	160	168	72	46
54	160	167	68	50
55	161	167	69	48
56	159	165	74	51
57	162	167	72	48
58	162	166	68	47
59	164	166	74	50
60	163	166	68	47
61	163	164	68	50
62	166	163	68	49
63	166	163	65	52
64	165	166	66	48
65	168	166	67	51
66	166	167	69	46
67	167	166	70	49
68	166	166	68	46
69	165	163	67	49
70	165	169	69	44
71	166	166	67	46
72	164	167	68	45
73	161	164	65	47
74	162	165	66	47
75	163	167	63	46
76	162	166	64	47
77	160	169	66	44
78	159	167	71	48
79	159	169	60	44
80	159	166	54	47
81	155	166	56	45
82	156	165	50	44
83	156	163	50	48
84	154	165	49	45
85	152	167	52	45
86	154	168	48	43
87	151	165	51	46
88	152	164	47	48
89	149	164	48	50
90	151	164	42	48
91	151	164	43	46
92	150	164	43	49
93	149	165	42	47
94	150	165	38	46
95	151	164	36	47
96	151	163	35	49
97	148	163	38	49
98	151	164	38	48
99	152	168	34	45
100	153	165	35	49
101	155	165	34	48
102	155	165	36	49
103	156	165	35	48
104	159	159	33	54
105	163	163	32	51
106	165	161	30	52
107	165	162	32	52
108	169	162	28	50
109	168	162	28	54
110	169	162	27	53
111	167	162	28	54
112	167	159	30	57
113	169	160	27	58
114	167	160	27	55
115	168	159	24	54
116	167	161	26	51
117	165	162	25	48
118	165	162	28	51
119	163	161	31	53
120	162	157	30	57
121	165	160	28	55
122	168	161	25	54
123	168	161	26	53
124	166	160	27	55
125	166	160	31	56
126	168	161	28	57
127	168	163	29	55
128	170	163	27	52
129	168	160	28	52
130	168	163	28	48
131	168	162	27	51
132	171	166	26	51
133	172	164	26	50
134	171	160	27	56
135	173	161	26	50
136	175	162	26	54
137	175	161	28	52
138	175	161	26	50
139	176	162	29	47
140	178	160	29	46
141	176	159	32	48
142	179	160	30	51
143	177	164	37	44
144	178	162	36	44
145	178	161	38	48
146	177	163	41	48
147	182	163	40	49
148	179	166	43	45
149	179	165	43	45
150	180	165	44	51
151	180	168	44	44
152	183	167	43	41
153	180	166	45	44
154	181	168	47	42
155	181	169	47	43
156	175	169	53	45
157	176	171	52	39
158	174	172	58	39
159	172	173	59	40
160	173	174	55	39
161	169	174	62	40
162	171	173	62	43
163	168	173	63	42
164	166	175	67	36
165	169	171	66	42
166	172	175	68	40
167	172	175	68	38
168	177	175	68	37
169	174	176	73	37
170	179	175	68	36
171	180	175	68	36
172	182	177	70	37
173	183	179	68	35
174	182	177	73	42
175	183	182	74	39
176	187	184	68	40
177	182	186	79	39
178	185	187	73	37
179	183	190	74	38
180	181	190	75	39
181	181	193	78	39
182	180	195	78	39
183	179	198	78	36
184	179	197	75	34
185	176	202	77	28
186	172	201	79	33
187	175	202	78	33
188	176	205	75	32
189	177	203	76	35
190	177	204	75	35
191	177	203	79	34
192	173	200	81	40
193	176	202	77	38
194	172	204	80	35
195	174	198	71	43
196	169	204	82	38
197	176	206	75	39
198	169	202	86	38
199	175	200	77	46
200	172	203	88	40
201	169	201	85	44
202	171	203	86	47
203	172	199	81	45
204	171	205	78	40
205	170	204	86	44
206	170	203	81	42
207	171	204	79	43
208	170	206	87	39
209	174	209	79	38
210	170	209	89	39
211	176	211	77	37
212	170	209	89	37
213	176	209	83	37
214	175	211	78	40
215	175	212	82	38
216	177	211	73	38
217	177	212	79	40
218	176	208	82	40
219	174	208	83	41
220	178	208	75	38
221	177	209	74	40
222	177	210	70	39
223	177	212	74	39
224	178	211	70	39
225	179	211	67	39
226	179	210	67	38
227	178	209	65	39
228	177	206	65	43
229	182	210	61	36
230	177	212	67	36
231	178	211	61	40
232	176	212	59	37
233	180	209	58	41
234	180	209	55	38
235	178	208	54	41
236	179	208	51	42
237	182	210	46	37
238	183	207	47	38
239	183	205	46	42
240	181	206	47	41
241	181	207	50	38
242	186	205	41	41
243	183	206	45	43
244	184	207	43	41
245	183	206	41	41
246	184	207	35	37
247	185	205	33	45
248	185	209	35	37
249	189	208	23	42
250	190	209	26	41
251	193	207	24	42
252	192	208	31	40
253	195	208	32	44
254	193	202	39	48
255	196	204	41	45
256	199	205	37	45
257	198	205	41	44
258	199	204	44	45
259	199	202	45	45
260	197	203	48	45
261	197	205	52	42
262	196	207	53	42
263	194	205	56	41
264	197	204	55	44
265	196	201	59	41
266	197	204	57	36
267	193	205	61	36
268	191	202	67	39
269	195	199	63	43
270	194	201	64	39
271	192	198	66	41
272	192	200	70	40
273	197	202	64	36
274	198	202	64	33
275	191	201	76	37
276	194	202	72	33
277	197	203	70	37
278	201	205	71	34
279	205	201	71	40
280	203	202	69	38
281	200	200	76	35
282	202	200	76	35
283	202	200	75	37
284	207	201	72	36
285	207	200	74	38
286	205	198	77	38
287	207	198	77	41
288	207	199	77	39
289	203	200	83	37
290	207	196	79	44
291	211	198	80	37
292	210	197	83	37
293	209	199	84	38
294	212	197	85	38
295	217	199	82	37
296	220	202	81	35
297	218	200	85	38
298	223	201	86	35
299	222	199	86	36
300	227	199	84	35
301	226	196	89	38
302	228	196	87	38
303	227	200	88	33
304	233	195	80	35
305	234	195	81	38
306	234	192	85	39
307	240	195	79	37
308	237	195	83	34
309	241	193	82	38
310	242	193	82	40
311	247	195	80	37
312	246	193	82	42
313	253	197	77	37
314	250	194	80	40
315	252	197	78	38
316	251	197	82	38
317	254	198	82	41
318	255	199	80	38
319	260	199	78	40
320	262	200	79	40
321	267	199	74	41
322	266	198	77	41
323	274	198	73	40
324	278	199	75	43
325	280	202	76	42
326	283	201	76	41
327	282	200	79	43
328	291	202	72	44
329	286	200	78	41
330	290	203	77	41
331	293	201	77	42
332	293	200	78	42
333	298	204	75	39
334	297	201	80	42
335	300	202	78	39
336	295	200	83	41
337	295	197	85	42
338	300	196	83	41
339	304	191	79	43
340	305	190	78	41
341	306	188	80	43
342	307	186	80	41
343	307	182	81	44
344	307	184	82	40
345	311	190	80	37
346	313	184	78	41
347	314	182	81	43
348	315	183	79	38
349	318	180	79	41
350	325	180	75	38
351	319	179	81	41
352	319	180	84	42
353	325	179	80	41
354	327	180	78	41
355	327	181	83	40
356	326	177	82	43
357	328	181	79	38
358	330	178	77	41
359	332	178	76	39
360	331	179	77	38
361	328	180	81	37
362	333	177	75	41
363	332	179	79	40
364	332	179	80	39
365	332	175	83	40
366	331	175	84	42
367	332	177	80	39
368	329	178	83	37
369	329	178	86	37
370	331	181	80	36
371	331	179	84	36
372	328	177	86	40
373	330	178	84	39
374	334	176	84	39
375	332	176	85	42
376	332	178	84	39
377	334	174	83	42
378	332	176	82	40
379	333	176	82	41
380	333	175	83	41
381	333	175	80	42
382	334	176	77	40
383	334	177	78	39
384	332	176	83	42
385	335	178	81	38
386	335	179	81	39
387	344	181	73	43
388	340	180	80	43
389	341	178	79	45
390	349	177	73	47
391	347	183	75	41
392	342	186	79	39
393	351	186	71	39
394	348	187	80	42
395	348	188	80	39
396	353	189	78	37
397	351	187	84	44
398	355	188	83	43
399	361	190	77	43
400	363	189	77	44
401	364	187	77	43
402	368	187	77	45
403	371	186	82	46
404	378	187	74	45
405	381	191	76	38
406	376	186	86	47
407	383	186	83	46
408	387	187	84	44
409	389	184	82	47
410	393	186	84	47
411	395	186	82	45
412	394	183	86	47
413	395	180	84	49
414	399	182	81	46
415	400	180	80	48
416	398	180	83	46
417	403	180	77	45
418	400	180	79	45
419	402	179	76	45
420	405	180	73	44
421	405	178	72	41
422	408	179	70	41
423	408	178	66	41
424	410	176	63	42
425	405	175	64	42
426	401	174	70	43
427	403	177	63	40
428	399	176	68	39
429	398	175	67	42
430	400	176	62	39
431	400	176	63	40
432	396	176	66	44
433	393	177	70	40
434	395	176	68	42
435	400	178	65	39
436	403	176	63	39
437	405	177	62	39
438	412	177	60	37
439	411	175	63	42
440	416	176	59	35
441	418	179	60	36
442	421	175	58	36
443	424	176	60	39
444	430	174	54	40
445	432	173	54	40
446	426	174	58	39
447	429	171	55	41
448	430	172	54	42
449	427	173	57	37
450	430	171	52	41
451	428	171	50	42
452	431	167	44	45
453	432	162	42	51
454	423	164	48	50
455	426	160	43	57
456	427	158	41	53
457	430	157	36	56
458	424	158	37	52
459	420	158	38	56
460	424	160	32	52
461	417	157	37	53
462	420	156	30	54
463	418	155	30	57
464	418	154	32	55
465	420	159	26	57
466	418	161	28	57
467	416	161	25	55
468	413	164	30	57
469	414	163	26	53
470	410	163	25	56
471	410	165	25	52
472	407	164	28	58
473	407	162	26	57
474	406	162	27	57
475	406	166	25	51
476	406	164	25	56
477	403	164	27	56
478	402	166	28	51
479	403	163	28	53
480	402	161	27	55
481	402	162	30	56
482	407	167	22	48
483	407	163	25	53
484	404	163	27	53
485	407	163	27	52
486	407	163	22	57
487	407	165	22	53
488	406	163	25	56
489	409	164	22	55
490	406	164	26	52
491	408	166	25	52
492	408	167	24	51
493	407	165	26	54
494	409	166	26	54
495	407	162	28	58
496	406	164	28	58
497	409	163	25	59
498	410	167	25	54
499	408	164	27	60
500	405	166	29	53
501	406	166	25	51
502	405	163	30	54
503	408	164	28	55
504	406	163	25	51
505	406	161	28	59
506	407	160	25	57
507	407	164	26	50
508	408	161	28	56
509	406	163	32	55
510	406	160	32	64
511	408	162	30	59
512	410	161	32	58
513	407	160	28	57
514	409	158	29	58
515	410	160	27	59
516	406	155	33	62
517	405	157	36	58
518	403	155	40	63
519	404	156	42	59
