frame	PSR
2	9.64671
3	8.93446
4	9.49697
5	9.4835
6	9.39022
7	9.33859
8	9.24382
9	8.43061
10	8.01028
11	8.42159
12	9.01336
13	9.15729
14	9.28806
15	8.48041
16	8.71592
17	8.57403
18	8.06228
19	8.55339
20	8.85492
21	8.87582
22	8.80541
23	8.72513
24	8.68011
25	8.68025
26	8.26823
27	8.02088
28	8.39353
29	9.08298
30	9.04282
31	8.22095
32	8.49827
33	8.4094
34	8.34779
35	8.52565
36	8.50113
37	7.94918
38	8.03635
39	8.47167
40	8.13287
41	7.87284
42	7.47802
43	7.79021
44	8.10873
45	8.36454
46	8.05788
47	8.41824
48	8.39738
49	8.12864
50	8.70634
51	8.22559
52	8.34464
53	8.19487
54	8.043
55	7.80265
56	8.14313
57	8.43014
58	8.29969
59	8.53142
60	8.16572
61	7.89598
62	7.81569
63	7.5332
64	8.21781
65	8.3639
66	7.95841
67	8.43368
68	8.39062
69	8.02273
70	8.24665
71	8.34655
72	8.02725
73	8.15301
74	8.2968
75	8.41951
76	8.4002
77	8.51112
78	8.5524
79	8.5525
80	8.72551
81	8.67665
82	8.53219
83	8.33739
84	7.98453
85	8.02483
86	7.89436
87	7.90986
88	7.70694
89	7.79069
90	7.89544
91	7.89318
92	7.98434
93	8.0039
94	7.79497
95	7.84318
96	7.80544
97	7.66733
98	7.67453
99	7.46729
100	7.42513
101	7.46479
102	7.12692
103	6.8124
104	5.91185
105	4.7194
106	3.90308
107	3.34122
108	3.48976
109	3.66321
110	4.20372
111	5.45839
112	5.92363
113	5.34664
114	5.65736
115	4.58261
116	4.67217
117	3.83477
118	5.34674
119	5.36144
120	4.88127
121	4.67611
122	5.22858
123	5.00229
124	5.67439
125	5.73609
126	5.60544
127	6.48598
128	6.2327
129	6.09785
130	6.75707
131	6.58925
132	6.31434
133	6.33846
134	6.43884
135	6.27157
136	6.81564
137	7.00973
138	6.73338
139	6.78349
140	6.47963
141	6.35848
142	6.99913
143	6.76068
144	6.43984
145	6.73191
146	6.35778
147	6.83176
148	6.85126
149	6.52496
150	6.69411
151	6.3233
152	5.83371
153	4.94349
154	4.59393
155	4.64464
156	4.49105
157	4.26239
158	4.77062
159	5.55244
160	4.8647
161	5.73204
162	5.6239
163	5.60578
164	5.65803
165	5.65531
166	6.12644
167	5.75015
168	5.69922
169	6.06433
170	6.49648
171	6.36393
172	6.31146
173	6.10556
174	6.30009
175	6.57765
176	6.81092
177	6.33441
178	5.97397
179	5.23319
180	5.46937
181	5.63192
182	5.53184
183	5.69987
184	5.02941
185	5.08764
186	5.00024
187	4.54966
188	5.02093
189	5.04398
190	5.0864
191	4.9148
192	5.07505
193	5.26094
194	5.07658
195	5.37716
196	5.30855
197	5.20627
198	5.34584
199	5.04029
200	4.95885
201	4.95401
202	4.41545
203	4.75321
204	4.6556
205	4.97838
206	5.19394
207	5.1635
208	5.1581
209	5.38866
210	5.02498
211	4.92764
212	5.06378
213	4.91785
214	5.25967
215	4.94675
216	5.06211
217	4.81964
218	4.84707
219	5.03565
220	5.24126
221	5.34429
222	5.34502
223	5.31079
224	5.17753
225	5.36947
226	5.09314
227	5.15423
228	5.2082
229	5.13786
230	5.19995
231	5.40213
232	5.81939
233	5.87019
234	5.90171
