frame	ave_fps
2	62.6993
3	83.7107
4	81.0782
5	87.2687
6	86.5672
7	92.7087
8	94.2195
9	100.775
10	105.724
11	111.3
12	115.7
13	120.559
14	123.247
15	126.901
16	129.285
17	132.683
18	134.918
19	137.708
20	138.092
21	140.689
22	142.325
23	144.602
24	144.277
25	146.285
26	147.907
27	149.875
28	150.525
29	152.27
30	153.316
31	154.954
32	156.119
33	157.697
34	158.468
35	159.896
36	160.855
37	162.112
38	162.951
39	164.131
40	165.303
41	165.759
42	166.542
43	167.543
44	168.6
45	169.479
46	170.23
47	171.142
48	171.99
49	171.971
50	170.195
51	168.358
52	169.102
53	169.826
54	170.556
55	170.635
56	171.389
57	172.138
58	172.699
59	172.783
60	173.423
61	173.798
62	174.446
63	174.56
64	170.886
65	170.392
66	170.989
67	171.655
68	172.22
69	172.794
70	173.185
71	173.747
72	174.047
73	174.547
74	173.938
75	174.467
76	174.352
77	174.801
78	174.958
79	175.477
80	175.741
81	176.205
82	176.175
83	176.602
84	176.581
85	176.211
86	174.852
87	174.748
88	175.16
89	175.025
90	175.058
91	175.046
92	175.444
93	175.618
94	175.877
95	175.977
96	176.371
97	176.743
98	176.732
99	177.086
100	177.241
101	177.421
102	177.75
103	178.12
104	178.42
105	178.769
106	179.069
107	177.688
108	176.735
109	176.573
110	176.835
111	176.842
112	177.159
113	177.289
114	177.586
115	177.596
116	177.938
117	178.058
118	178.216
119	178.025
120	176.258
121	176.486
122	176.72
123	177.006
124	177.298
125	177.531
126	177.782
127	178.101
128	178.279
129	178.469
130	178.479
131	178.729
132	178.987
133	179.205
134	179.426
135	179.689
136	179.802
137	180.023
138	180.135
139	180.349
140	180.43
141	180.696
142	180.305
143	180.49
144	180.583
145	180.827
146	180.91
147	181.012
148	181.085
149	181.347
150	181.433
151	181.69
152	181.78
153	181.982
154	182.13
155	182.232
156	182.391
157	182.568
158	182.771
159	182.948
160	183.084
161	183.277
162	183.455
163	183.607
164	182.536
165	179.901
166	179.923
167	179.985
168	179.572
169	179.75
170	179.922
171	180.056
172	179.759
173	179.886
174	180.063
175	180.173
176	180.222
177	178.299
178	178.479
179	178.581
180	178.764
181	178.904
182	179.082
183	179.259
184	179.4
185	179.555
186	179.55
187	179.726
188	179.474
189	179.606
190	179.729
191	179.9
192	179.993
193	180.13
194	180.261
195	180.36
196	180.466
197	180.377
198	180.512
199	180.379
200	179.999
201	179.871
202	179.635
203	179.783
204	179.665
205	179.747
206	179.764
207	179.898
208	179.854
209	179.991
210	179.772
211	179.864
212	179.852
213	179.941
214	179.867
215	179.954
216	180.007
217	179.336
218	177.855
219	177.905
220	177.835
221	177.944
222	178.052
223	178.182
224	178.326
225	178.421
226	178.541
227	178.678
228	178.816
229	178.956
230	179.001
231	178.475
232	178.211
233	178.312
234	178.312
235	178.436
236	178.463
237	178.596
238	178.654
239	178.676
240	178.727
241	178.86
242	178.779
243	178.761
244	178.831
245	178.97
246	178.954
247	179.083
248	179.034
249	179.115
250	179.226
251	179.349
252	179.463
253	179.582
254	179.455
255	179.579
256	179.688
257	179.819
258	179.868
259	179.991
260	180.055
261	180.154
262	180.168
263	180.295
264	180.349
265	180.467
266	180.428
267	180.53
268	180.545
269	180.658
270	180.606
271	180.69
272	180.665
273	180.726
274	179.67
275	179.614
276	179.515
277	179.47
278	179.572
279	179.572
280	179.708
281	179.671
282	179.072
283	179.159
284	179.211
285	179.292
286	178.262
287	178.358
288	178.353
289	178.441
290	178.523
291	178.613
292	178.694
293	178.789
294	178.88
295	178.984
296	179.078
297	179.059
298	179.131
299	179.158
300	179.271
301	179.353
302	179.463
303	179.513
304	179.605
305	179.358
306	179.447
