frame	x	y	width	height
1	293	133	46	173
2	292	134	48	170
3	293	134	48	169
4	294	134	47	169
5	295	135	47	169
6	295	135	47	169
7	296	135	46	169
8	297	135	46	169
9	296	135	45	169
10	295	135	45	169
11	293	135	45	168
12	292	135	45	168
13	291	135	44	168
14	290	135	44	168
15	289	135	44	167
16	288	134	44	167
17	286	134	43	167
18	284	134	43	167
19	283	134	43	166
20	281	134	42	166
21	279	134	42	166
22	277	134	42	166
23	277	135	41	165
24	277	137	41	164
25	276	138	40	163
26	276	139	40	162
27	276	141	39	161
28	275	142	38	160
29	275	143	38	159
30	273	144	38	158
31	272	145	39	157
32	270	147	40	156
33	269	149	40	155
34	268	151	40	154
35	266	150	42	157
36	264	149	43	161
37	262	148	45	165
38	260	147	47	168
39	262	149	42	163
40	264	150	37	158
41	265	152	33	153
42	263	153	34	152
43	261	153	36	150
44	257	150	43	159
45	253	147	49	168
46	255	148	47	166
47	257	148	45	164
48	259	149	43	161
49	261	149	41	159
50	263	150	38	157
51	265	150	36	154
52	261	144	38	162
53	261	145	37	159
54	262	146	35	157
55	262	147	34	154
56	262	148	33	151
57	260	147	34	153
58	259	145	36	155
59	257	144	37	158
60	255	142	38	160
61	254	142	38	159
62	254	141	38	159
63	254	140	38	159
64	253	139	39	159
65	253	138	39	158
66	252	137	39	158
67	252	136	39	158
68	253	136	39	158
69	254	136	39	157
70	254	136	39	157
71	255	136	39	157
72	256	136	39	156
73	257	136	39	156
74	257	136	39	156
75	257	135	39	158
76	256	134	40	160
77	256	132	41	162
78	255	131	41	164
79	255	130	42	166
80	255	130	41	166
81	256	130	41	165
82	256	131	40	165
83	257	131	40	165
84	257	131	39	165
85	258	132	39	164
86	258	132	38	164
87	259	132	38	164
88	260	133	38	164
89	260	132	38	163
90	261	132	38	163
91	261	132	38	162
92	262	132	38	162
93	262	132	38	161
94	263	132	38	161
95	263	132	38	160
96	264	132	39	160
97	264	132	45	158
98	264	132	51	157
99	264	131	50	157
100	264	131	50	158
101	265	131	49	159
102	265	131	49	160
103	270	131	49	161
104	273	131	46	160
105	276	131	43	160
106	280	131	40	160
107	279	131	40	160
108	279	132	41	160
109	279	133	42	160
110	279	134	43	160
111	278	134	44	160
112	278	135	44	160
113	278	136	45	160
114	278	137	46	160
115	278	138	47	160
116	277	138	48	161
117	277	139	49	161
118	277	140	49	161
119	277	141	50	161
120	277	141	51	161
121	276	142	52	161
122	276	141	52	162
123	276	140	53	163
124	276	139	54	164
125	276	139	54	165
126	275	139	56	166
