frame	x	y	width	height
2	294	132	46	173
3	295	136	44	165
4	294	131	46	173
5	295	131	46	173
6	296	131	46	173
7	297	131	46	173
8	296	127	48	182
9	296	126	48	182
10	297	131	46	173
11	298	135	44	165
12	298	135	44	165
13	297	136	44	165
14	295	135	44	165
15	294	135	44	165
16	292	135	44	165
17	290	134	44	165
18	290	140	42	157
19	288	141	42	157
20	285	137	44	165
21	284	137	44	165
22	283	137	44	165
23	282	137	44	165
24	281	138	44	165
25	280	138	44	165
26	279	139	44	165
27	279	140	44	165
28	279	146	42	157
29	278	147	42	157
30	278	147	42	157
31	276	148	42	157
32	275	149	42	157
33	274	150	42	157
34	273	150	42	157
35	273	152	42	157
36	272	152	42	157
37	271	151	42	157
38	270	152	42	157
39	269	151	42	157
40	266	148	44	165
41	264	148	44	165
42	263	149	44	165
43	263	153	42	157
44	262	154	42	157
45	262	153	42	157
46	262	154	42	157
47	262	154	42	157
48	263	154	42	157
49	264	156	40	149
50	264	155	40	149
51	264	155	40	149
52	264	154	40	149
53	264	154	40	149
54	263	154	40	149
55	263	157	38	142
56	261	153	40	149
57	261	152	40	149
58	261	150	40	149
59	261	149	40	149
60	261	149	40	149
61	261	148	40	149
62	261	146	40	149
63	260	145	40	149
64	261	148	38	142
65	259	143	40	149
66	259	141	40	149
67	259	140	40	149
68	258	140	40	149
69	259	142	38	142
70	260	141	38	142
71	260	140	38	142
72	261	139	38	142
73	261	140	38	142
74	262	141	38	142
75	261	138	40	149
76	261	138	40	149
77	261	137	40	149
78	261	137	40	149
79	261	137	40	149
80	261	136	40	149
81	261	136	40	149
82	260	132	42	157
83	261	132	42	157
84	261	133	42	157
85	261	133	42	157
86	262	134	42	157
87	262	135	42	157
88	262	135	42	157
89	263	134	42	157
90	264	138	40	149
91	265	137	40	149
92	265	136	40	149
93	265	137	40	149
94	266	136	40	149
95	266	136	40	149
96	266	136	40	149
97	266	136	40	149
98	267	136	40	149
99	267	137	40	149
100	268	136	40	149
101	268	132	42	157
102	269	132	42	157
103	272	134	42	157
104	275	135	42	157
105	280	137	42	157
106	284	144	40	149
107	287	103	38	142
108	293	101	38	142
109	296	103	38	142
110	296	54	40	149
111	296	52	40	149
112	298	51	40	149
113	302	53	40	149
114	305	50	42	157
115	309	50	42	157
116	315	50	42	157
117	310	82	42	157
118	310	85	40	149
119	312	92	38	142
120	316	91	38	142
121	325	95	36	136
122	329	92	38	142
123	337	89	38	142
124	342	84	40	149
125	346	81	40	149
126	354	80	40	149
127	358	80	40	149
128	362	80	40	149
129	367	79	40	149
130	370	80	40	149
131	373	75	42	157
