frame	PSR
2	5.46978
3	7.60861
4	7.47566
5	7.98116
6	7.65085
7	8.08876
8	6.59714
9	4.02417
10	3.37435
11	3.22499
12	4.04899
13	3.4965
14	6.1888
15	3.67081
16	4.75851
17	3.21807
18	3.27362
19	2.86228
20	4.01013
21	3.69767
22	3.67937
23	3.64778
24	3.41946
25	3.10225
26	3.37619
27	3.59747
28	4.22433
29	3.64529
30	3.12233
31	4.02237
32	3.443
33	3.59193
34	3.96545
35	3.96991
36	4.0755
37	4.39252
38	4.06392
39	3.74202
40	4.24714
41	4.90825
42	4.63153
43	4.40673
44	5.67843
45	4.09946
46	4.823
47	4.30163
48	5.15937
49	3.58905
50	3.21631
51	3.0509
52	3.70636
53	4.87386
54	4.14272
55	3.404
56	3.07435
57	3.68372
58	4.3127
59	3.95427
60	4.67742
61	3.3091
62	4.10793
63	4.55024
64	5.09667
65	3.47385
66	4.09205
67	3.60422
68	3.09568
69	2.95174
70	3.6247
71	3.84826
72	3.67807
73	2.72266
74	3.52481
75	3.70344
76	3.3042
77	2.95116
78	3.42775
79	3.01277
80	3.86555
81	3.13979
82	3.34777
83	4.49468
84	3.47128
85	3.30908
86	3.63498
87	4.12269
88	4.96754
89	5.09344
90	4.95238
91	5.58773
92	5.63985
93	4.97588
94	4.88149
95	4.7661
96	5.46661
97	5.08039
98	4.28111
99	3.81313
100	4.26474
101	3.74427
102	3.92337
103	3.95863
104	4.28659
105	3.845
106	3.71826
107	4.0114
108	4.0832
109	4.0041
110	4.28015
111	4.46161
112	4.91622
113	4.39797
114	4.54042
115	4.82994
116	4.71821
117	4.97002
118	4.18783
119	4.20316
