frame	ave_fps
2	83.4169
3	66.9866
4	66.5839
5	70.0022
6	67.4235
7	63.8531
8	65.1433
9	64.0396
10	68.6583
11	71.215
12	74.6943
13	77.9011
14	81.4168
15	84.2041
16	87.2341
17	88.2701
18	90.4858
19	92.8674
20	93.6114
21	95.5992
22	97.6818
23	99.51
24	101.116
25	101.916
26	103.648
27	103.605
28	104.825
29	106.358
30	106.926
31	108.33
32	109.283
33	110.264
34	111.193
35	112.093
36	113.311
37	114.098
38	114.753
39	115.686
40	116.457
41	117.452
42	118
43	118.913
44	119.776
45	120.684
46	121.511
47	120.81
48	117.807
49	118.483
50	118.914
51	119.651
52	120.213
53	120.968
54	121.567
55	122.263
56	122.633
57	123.317
58	123.931
59	124.558
60	123.147
61	123.684
62	123.957
63	124.531
64	125.092
65	125.617
66	125.923
67	126.339
68	125.517
69	126.096
70	126.472
71	126.985
72	127.237
73	127.287
74	127.776
75	127.95
76	128.411
77	128.694
78	129.213
79	129.616
80	130.052
81	130.475
82	130.91
83	131.332
84	131.503
85	131.941
86	132.055
87	132.426
88	132.682
89	133.093
90	133.439
91	133.831
92	134.16
93	134.437
94	134.067
95	134.425
96	134.492
97	133.601
98	133.373
99	133.622
100	133.427
101	133.421
102	133.642
103	133.771
104	134.054
105	134.047
106	134.293
107	134.422
108	134.547
109	133.467
110	133.768
111	133.962
112	134.027
113	134.329
114	134.331
115	134.615
116	134.883
117	135.167
118	135.06
119	135.22
