frame	x	y	width	height
1	218	157	33	66
2	234	166	31	61
3	238	166	29	60
4	231	166	29	61
5	231	171	32	63
6	236	178	24	60
7	235	187	22	63
8	220	192	30	58
9	227	205	30	55
10	244	234	31	48
11	267	269	26	49
12	259	287	31	51
13	249	290	20	48
14	236	294	28	56
15	206	309	38	56
16	161	307	67	62
17	141	302	62	60
18	123	295	60	58
19	99	284	66	66
20	90	286	63	61
21	70	273	67	64
22	56	276	66	60
23	57	275	56	50
24	40	266	59	57
25	52	260	48	41
26	48	247	49	50
27	124	251	36	33
28	174	246	61	59
29	203	250	62	63
30	234	269	43	35
31	235	265	53	48
32	238	262	55	50
33	243	262	56	54
34	250	270	56	51
35	249	272	69	56
36	264	282	65	51
37	273	280	64	56
38	287	283	64	58
39	309	291	63	56
40	324	294	70	56
41	336	303	66	54
42	339	305	62	57
43	333	305	63	56
44	348	313	65	57
45	374	329	62	59
46	367	326	64	59
47	363	315	66	59
48	379	323	59	57
49	392	326	71	66
50	405	330	76	71
51	423	333	71	66
52	433	349	74	66
53	438	349	76	75
54	413	343	70	67
55	390	319	68	73
56	376	295	68	74
57	368	284	68	69
58	360	275	64	65
59	340	271	65	62
60	324	268	64	59
61	302	257	74	68
62	288	259	64	61
63	282	249	66	58
64	262	234	73	70
65	242	224	67	60
66	226	204	72	68
67	214	196	69	67
68	197	191	70	68
69	169	174	66	68
70	150	166	64	65
71	128	157	68	67
72	125	156	65	67
73	117	144	55	56
74	103	132	65	68
75	91	135	73	73
76	105	154	65	69
77	123	183	62	73
78	119	179	66	73
79	115	164	72	74
80	109	161	79	78
81	117	181	71	73
82	117	197	74	77
83	135	220	71	73
84	169	229	64	69
85	185	207	45	56
86	209	170	41	79
87	202	109	67	81
88	187	60	55	82
89	173	44	40	80
90	164	57	50	89
91	160	67	34	66
92	137	60	63	89
93	132	65	73	81
94	147	76	64	70
95	152	80	62	67
96	154	75	64	73
97	150	71	73	82
98	163	77	66	77
99	182	79	63	74
100	192	76	56	69
101	190	71	52	71
102	182	70	51	68
103	176	74	49	62
104	172	70	56	67
105	159	80	41	56
106	136	78	46	65
107	124	88	49	63
108	120	91	57	67
109	110	104	56	70
110	99	113	57	69
111	92	114	60	72
112	90	112	61	76
113	95	125	60	74
114	90	132	69	79
115	92	133	70	83
116	104	136	67	78
117	109	124	68	78
118	105	119	67	77
119	97	111	73	83
120	99	106	58	66
