frame	x	y	width	height
2	232	159	35	69
3	234	162	35	69
4	231	162	35	69
5	232	168	35	69
6	232	172	35	69
7	230	181	35	69
8	221	188	35	69
9	232	203	35	69
10	244	228	35	69
11	241	263	33	66
12	235	269	33	66
13	249	289	33	66
14	239	290	33	66
15	247	283	33	66
16	249	296	31	63
17	245	295	31	63
18	238	304	31	63
19	234	287	31	63
20	234	280	31	63
21	231	277	31	63
22	231	270	31	63
23	231	263	31	63
24	227	280	31	63
25	227	287	31	63
26	221	294	31	63
27	219	325	33	66
28	212	315	33	66
29	212	334	33	66
30	213	309	33	66
31	206	317	33	66
32	200	310	33	66
33	195	322	33	66
34	194	316	33	66
35	198	322	35	69
36	198	310	35	69
37	201	309	33	66
38	195	327	33	66
39	207	339	33	66
40	213	338	35	69
41	221	343	33	66
42	218	342	35	69
43	211	341	35	69
44	211	341	35	69
45	219	344	35	69
46	220	342	35	69
47	217	326	36	73
48	220	323	38	76
49	234	318	38	76
50	249	312	38	76
51	262	305	38	76
52	276	310	38	76
53	282	307	38	76
54	270	300	38	76
55	276	315	40	80
56	274	299	40	80
57	287	307	40	80
58	287	298	40	80
59	285	299	40	80
60	284	302	38	76
61	284	332	38	76
62	280	332	40	80
63	281	325	42	84
64	279	315	42	84
65	273	299	42	84
66	266	280	42	84
67	257	269	42	84
68	253	252	40	80
69	265	293	42	84
70	267	300	42	84
71	267	301	40	80
72	268	294	40	80
73	268	270	40	80
74	264	270	40	80
75	258	277	42	84
76	264	285	42	84
77	266	267	42	84
78	266	267	42	84
79	265	242	42	84
80	264	232	44	88
81	264	246	44	88
82	267	256	42	84
83	268	251	42	84
84	263	233	42	84
85	264	250	42	84
86	269	253	42	84
87	263	238	42	84
88	265	240	42	84
89	265	243	42	84
90	262	243	42	84
91	262	244	42	84
92	260	244	42	84
93	260	247	44	88
94	264	256	42	84
95	268	256	42	84
96	270	254	42	84
97	272	251	42	84
98	280	243	42	84
99	283	246	40	80
100	276	253	40	80
101	274	247	40	80
102	273	244	40	80
103	272	244	40	80
104	270	246	40	80
105	265	249	40	80
106	264	236	42	84
107	265	241	42	84
108	262	245	44	88
109	261	261	46	93
110	260	278	46	93
111	258	284	46	93
112	260	285	46	93
113	261	300	44	88
114	264	311	42	84
115	267	318	42	84
116	267	317	44	88
117	269	314	44	88
118	266	316	44	88
119	260	309	44	88
