frame	PSR
2	4.91622
3	4.82134
4	4.59038
5	4.33748
6	4.43813
7	4.42894
8	4.18233
9	3.89626
10	3.95183
11	4.00154
12	3.8554
13	3.97413
14	3.8271
15	3.74979
16	3.67366
17	3.63635
18	3.65319
19	3.69422
20	3.73803
21	3.71367
22	3.62049
23	3.91948
24	3.6951
25	3.70046
26	3.86514
27	3.79888
28	3.55105
29	3.40338
30	3.47542
31	3.19582
32	3.38359
33	3.5155
34	3.64773
35	3.73532
36	3.77463
37	4.1042
38	3.7483
39	3.62299
40	3.60194
41	3.36598
42	3.57901
43	3.51067
44	3.65834
45	3.69909
46	3.75232
47	3.76111
48	3.63145
49	3.51827
50	3.71955
51	3.6348
52	3.4781
53	3.58314
54	3.71429
55	3.74427
56	3.74752
57	3.37274
58	3.4412
59	3.48769
60	3.39434
61	3.16348
62	3.37728
63	3.24806
64	3.27925
65	3.3193
66	3.07364
67	3.1721
68	3.12813
69	3.27692
70	3.34276
71	3.38861
72	3.52723
73	3.50679
74	3.54107
75	3.70172
76	3.68983
77	3.75227
78	3.8106
79	3.75727
80	3.82053
81	3.88859
82	3.93316
83	3.87326
84	3.93039
85	4.00294
86	3.95878
87	3.80262
88	3.72871
89	3.76998
90	3.70902
91	3.66715
92	3.65668
93	3.64884
94	3.7255
95	3.73838
96	3.78812
97	3.72033
98	3.77657
99	3.84376
100	3.87202
101	3.83492
102	3.79302
103	3.73178
104	3.53837
105	3.51784
106	3.33377
107	3.43785
108	3.51789
109	3.64368
110	3.8017
111	3.91535
112	4.06279
113	3.97369
114	3.67998
115	3.6936
116	3.52964
117	3.58278
118	3.61346
119	3.56291
120	3.59503
121	3.5194
122	3.3416
123	3.1907
124	3.13787
125	3.18076
126	3.28449
127	3.3207
128	3.38564
129	3.51031
130	3.44736
131	3.52727
132	3.48913
133	3.60067
134	3.61128
135	3.39947
136	3.42971
137	3.24186
138	3.48433
139	3.53296
140	3.43994
141	3.51937
142	3.52637
143	3.53563
144	3.46205
145	3.38207
146	3.19398
147	3.30232
148	3.33877
149	3.22063
150	3.42083
151	3.57592
152	3.69954
153	3.77967
154	3.7345
155	3.71507
156	3.61857
157	3.65289
158	3.63931
159	3.63519
160	3.69364
161	3.79901
162	3.83378
163	3.89204
164	3.91201
165	3.93822
166	3.94776
167	3.94426
168	3.97624
169	4.01511
170	3.91063
171	3.96355
172	4.11678
173	4.05112
174	4.23868
175	4.11102
176	4.22303
177	4.08254
178	4.04228
179	3.98065
180	3.86477
181	3.86628
182	3.92434
183	3.84311
184	3.77789
185	3.64938
186	3.53451
187	3.47812
188	3.40449
189	3.32764
190	3.76539
191	3.86083
192	3.60483
193	3.44703
194	3.3691
195	3.2054
196	3.08387
197	3.09034
198	2.99074
199	3.15232
200	3.08084
201	3.14554
202	3.09626
203	3.01125
204	3.00279
205	3.14603
206	3.06203
207	3.311
208	3.04122
209	3.02503
210	2.9741
211	3.0607
212	2.74268
213	2.5968
214	2.93331
215	3.2031
216	3.34691
217	3.49695
218	3.55186
219	3.53511
220	3.57085
221	3.62085
222	3.73649
223	3.76928
224	3.86633
225	3.90701
226	3.88755
227	3.94562
228	3.93111
229	3.83674
230	3.93221
231	3.79255
232	3.71534
233	3.51322
234	3.56768
235	3.66987
236	3.83638
237	3.75262
238	3.943
239	3.92911
240	3.81033
241	3.79681
242	3.86458
243	3.76153
244	3.66296
245	3.63855
246	3.40784
247	3.25188
248	3.17287
249	3.15586
250	3.31566
251	3.27146
252	3.51382
253	3.64182
254	3.68418
255	3.87984
256	3.94536
257	3.9749
258	3.84887
259	4.07267
260	4.05786
261	3.76991
262	3.89299
263	3.85134
264	3.96639
265	3.74413
266	4.04837
267	3.80607
268	3.78439
269	3.50468
270	3.89168
271	3.72476
272	3.92291
273	3.91221
274	3.98124
275	3.82612
276	3.70239
277	3.60321
278	3.7038
279	3.59309
280	3.76932
281	3.89091
282	3.81658
283	3.94145
284	3.8881
285	3.95105
286	4.04221
287	4.04426
288	4.08777
289	4.11352
290	4.09523
291	4.11977
292	4.08084
293	4.22546
294	4.28081
295	4.30847
296	4.29288
297	4.30112
298	4.27766
299	4.30241
300	4.26331
301	4.23603
302	4.2628
303	4.16906
304	4.22224
305	4.13704
306	4.15685
307	4.1181
308	4.11908
309	4.25628
310	4.34123
311	4.37995
312	4.32836
313	4.35699
314	4.37392
315	4.35756
316	4.30109
317	4.38148
318	4.39902
319	4.40244
320	4.33977
321	4.47771
322	4.48023
323	4.41065
324	4.33692
325	4.34182
326	4.09279
327	4.24468
328	4.34893
329	4.31427
330	4.34688
331	4.30297
332	4.2403
333	4.12667
334	4.15404
335	3.88058
336	3.64477
337	3.46769
338	3.39071
339	3.4844
340	3.46421
341	3.44341
342	3.31197
343	3.31968
344	3.20778
345	3.307
346	3.25991
347	3.26474
348	3.30812
349	3.42547
350	3.41051
351	3.54832
352	3.53939
353	3.56732
354	3.46432
355	3.52167
356	3.48164
357	3.54555
358	3.47262
359	3.5105
360	3.51903
361	3.64851
362	3.57323
363	3.46982
364	3.77337
365	3.73317
