frame	ave_fps
2	36.363
3	39.4009
4	36.0096
5	37.6296
6	37.8335
7	41.4636
8	45.2753
9	48.5529
10	51.7305
11	52.7616
12	52.3642
13	54.5815
14	56.4988
15	58.5752
16	60.4216
17	61.9309
18	62.8446
19	64.1877
20	63.7125
21	64.6861
22	65.7095
23	66.7008
24	67.7835
25	68.7688
26	69.7512
27	70.5779
28	71.4408
29	72.3203
30	73.1514
31	73.7714
32	74.0532
33	74.7364
34	75.4005
35	76.1356
36	76.7934
37	77.3497
38	77.9441
39	78.5076
40	78.9694
41	79.455
42	79.8252
43	80.2519
44	80.53
45	80.7625
46	80.5815
47	80.0526
48	80.2534
49	80.5004
50	80.9353
51	81.3439
52	81.6344
53	81.9081
54	82.2747
55	81.0615
56	81.323
57	81.6147
58	81.9705
59	82.3171
60	82.4779
61	82.382
62	82.6153
63	82.8961
64	83.1998
65	83.2149
66	82.9473
67	83.1054
68	83.1958
69	82.5251
70	82.8008
71	82.8647
72	83.0833
73	83.184
74	83.4211
75	83.6846
76	83.9661
77	84.1496
78	84.3527
79	84.523
80	83.658
81	83.8507
82	83.9895
83	84.1648
84	84.2986
85	84.4639
86	84.3332
87	84.5104
88	84.0386
89	84.2192
90	84.3605
91	84.1454
92	84.0069
93	84.146
94	84.306
95	84.4937
96	84.6488
97	84.8337
98	84.9992
99	85.0935
100	85.3014
101	85.5001
102	85.6055
103	85.7406
104	85.8459
105	86.0334
106	86.208
107	86.2414
108	86.3214
109	86.4485
110	86.6069
111	86.7512
112	86.6231
113	86.6933
114	86.1069
115	86.1132
116	86.2504
117	86.3807
118	86.4698
119	86.5378
120	86.5827
121	86.7004
122	86.3217
123	86.3605
124	86.4441
125	86.5937
126	86.7174
127	86.7575
128	86.8179
129	86.9245
130	87.0615
131	87.2076
132	87.0956
133	87.1389
134	87.1671
135	87.0978
136	87.0414
137	87.0196
138	87.0797
139	87.1999
140	87.2964
141	87.3166
142	87.3659
143	87.4543
144	87.5795
145	87.6924
146	87.7814
147	87.6696
148	86.9806
149	87.043
150	87.1501
151	87.2578
152	87.3165
153	87.399
154	87.4369
155	87.548
156	87.6275
157	87.2979
158	87.3632
159	87.4612
160	87.5563
161	87.6205
162	87.6188
163	87.7061
164	87.8082
165	87.8855
166	87.9676
167	88.0308
168	88.1095
169	88.2129
170	88.1438
171	88.2208
172	88.2722
173	88.3463
174	88.4493
175	88.5454
176	88.6003
177	88.6374
178	88.698
179	88.7934
180	88.8729
181	88.7409
182	88.8023
183	88.4574
184	88.3543
185	88.4319
186	88.5047
187	88.5812
188	88.6492
189	88.6934
190	88.7832
191	88.8211
192	88.3528
193	88.4215
194	88.4744
195	88.0183
196	88.0649
197	88.1529
198	88.225
199	88.2721
200	88.3012
201	88.298
202	88.3282
203	88.3764
204	88.238
205	88.2787
206	88.354
207	88.4079
208	88.4447
209	88.462
210	88.5125
211	88.5589
212	88.6308
213	88.6602
214	88.7103
215	88.7902
216	88.8484
217	88.4492
218	88.4496
219	88.4875
220	88.5504
221	88.6289
222	88.7043
223	88.7556
224	88.7882
225	88.8658
226	88.6335
227	88.6636
228	88.7217
229	88.8036
230	88.8674
231	88.835
232	88.8648
233	88.9198
234	88.9718
235	89.0393
236	89.0817
237	89.1185
238	89.1845
239	89.2078
240	89.2747
241	89.3232
242	89.3511
243	89.4072
244	89.4737
245	89.5379
246	89.5749
247	89.6043
248	89.6627
249	89.732
250	89.6893
251	89.746
252	89.3936
253	89.4411
254	89.4871
255	89.5462
256	89.5905
257	89.6253
258	89.6077
259	89.6588
260	89.6777
261	89.2774
262	89.2871
263	89.3222
264	89.3803
265	89.4241
266	89.4573
267	89.4944
268	89.5467
269	89.6154
270	89.6355
271	89.6545
272	89.6639
273	89.7076
274	89.7548
275	89.7155
276	89.7159
277	89.7292
278	89.7548
279	89.804
280	89.842
281	89.8578
282	89.8607
283	89.897
284	89.9117
285	89.971
286	90.0233
287	89.7667
288	89.6866
289	89.717
290	89.7687
291	89.8154
292	89.8483
293	89.8707
294	89.8962
295	89.8877
296	89.6872
297	89.7005
298	89.72
299	89.7674
300	89.8268
301	89.8734
302	89.8662
303	89.8899
304	89.8852
305	89.9337
306	89.9849
307	89.9995
308	90.0248
309	90.054
310	90.0935
311	90.1383
312	90.172
313	90.2069
314	90.2565
315	90.3084
316	90.3457
317	90.3708
318	90.4191
319	90.4753
320	90.397
321	90.4343
322	90.3512
323	90.2745
324	90.2812
325	90.3271
326	90.3555
327	90.3851
328	90.429
329	90.4812
330	90.484
331	90.4061
332	90.3091
333	90.2988
334	90.3172
335	90.3332
336	90.3505
337	90.401
338	90.4239
339	90.4612
340	90.4903
341	90.4953
342	90.5287
343	90.5519
344	90.4992
345	90.466
346	90.4727
347	90.4827
348	90.5195
349	90.552
350	90.5988
351	90.6098
352	90.6228
353	90.6415
354	90.6701
355	90.7143
356	90.7537
357	90.6531
358	90.546
359	90.5679
360	90.6122
361	90.6583
362	90.6772
363	90.7011
364	90.7442
365	90.7926
